top_k,accuracy,f1,auc,target_mode,estimator_mode,box_width,sample_count,seed,lag,diag_mean,off_mean,diag_off_ratio,output_dir
4,0.75,0.75,0.896484375,next,observed,1.0,1000,0,1,1.143750602716894,0.026600784796591274,42.996874395354624,exp/TM/lorzen/results_lag_sweep/observed_next_lag1
4,0.96875,0.96875,0.9931640625,next,observed,1.0,999,0,2,0.5441714373286084,0.035113427021793195,15.497531385668157,exp/TM/lorzen/results_lag_sweep/observed_next_lag2
4,1.0,1.0,1.0,next,observed,1.0,998,0,3,0.2572257805300894,0.04435752655316735,5.798920736073418,exp/TM/lorzen/results_lag_sweep/observed_next_lag3
4,1.0,1.0,0.998046875,next,observed,1.0,997,0,4,0.11311141677722598,0.04849269769885516,2.3325453551720297,exp/TM/lorzen/results_lag_sweep/observed_next_lag4
4,0.875,0.875,0.94921875,next,observed,1.0,996,0,5,0.04625000434559021,0.04639045148430333,0.9969724989902147,exp/TM/lorzen/results_lag_sweep/observed_next_lag5
4,0.6875,0.6875,0.8125,next,observed,1.0,995,0,6,0.02056841950415552,0.041243865216198196,0.4987025196677599,exp/TM/lorzen/results_lag_sweep/observed_next_lag6
4,0.5625,0.5625,0.6728515625,next,observed,1.0,994,0,7,0.014334185722779579,0.03598359843087477,0.3983533150614673,exp/TM/lorzen/results_lag_sweep/observed_next_lag7
4,0.53125,0.53125,0.5419921875,next,observed,1.0,993,0,8,0.015322574668974343,0.03181326751030742,0.48164102175326273,exp/TM/lorzen/results_lag_sweep/observed_next_lag8
4,0.46875,0.46875,0.46630859375,next,observed,1.0,992,0,9,0.0174520561849858,0.028788811986209473,0.6062096689973089,exp/TM/lorzen/results_lag_sweep/observed_next_lag9
4,0.4375,0.4375,0.40673828125,next,observed,1.0,991,0,10,0.018545724886269106,0.0265056835445823,0.6996886103720124,exp/TM/lorzen/results_lag_sweep/observed_next_lag10
4,0.375,0.375,0.34765625,next,observed,1.0,990,0,11,0.018470589192130397,0.024476422293282618,0.7546278198182388,exp/TM/lorzen/results_lag_sweep/observed_next_lag11
4,0.375,0.375,0.30712890625,next,observed,1.0,989,0,12,0.017807946862135597,0.02242868617371859,0.7939808299160444,exp/TM/lorzen/results_lag_sweep/observed_next_lag12
4,0.34375,0.34375,0.287109375,next,observed,1.0,988,0,13,0.01700451064573721,0.020285547657083684,0.8382574103095146,exp/TM/lorzen/results_lag_sweep/observed_next_lag13
4,0.3125,0.3125,0.2861328125,next,observed,1.0,987,0,14,0.016184969153925248,0.01829921632329162,0.8844624200285935,exp/TM/lorzen/results_lag_sweep/observed_next_lag14
4,0.40625,0.40625,0.3291015625,next,observed,1.0,986,0,15,0.015404821027300302,0.01669716583196461,0.9226009481087935,exp/TM/lorzen/results_lag_sweep/observed_next_lag15
4,0.4375,0.4375,0.376953125,next,observed,1.0,985,0,16,0.014598919206826598,0.0155719961981842,0.9375110949827313,exp/TM/lorzen/results_lag_sweep/observed_next_lag16
4,0.5,0.5,0.4560546875,next,observed,1.0,984,0,17,0.013768455831808805,0.014742757583129828,0.9339131946091335,exp/TM/lorzen/results_lag_sweep/observed_next_lag17
4,0.5,0.5,0.5078125,next,observed,1.0,983,0,18,0.012933931048264641,0.013986419852357438,0.9247492342427146,exp/TM/lorzen/results_lag_sweep/observed_next_lag18
4,0.5625,0.5625,0.53955078125,next,observed,1.0,982,0,19,0.011926817366852506,0.013241176169494032,0.9007370050955413,exp/TM/lorzen/results_lag_sweep/observed_next_lag19
4,0.5625,0.5625,0.5537109375,next,observed,1.0,981,0,20,0.01058336354649719,0.012411379654083494,0.8527145121223598,exp/TM/lorzen/results_lag_sweep/observed_next_lag20
4,0.4375,0.4375,0.43408203125,next,observed,1.0,976,0,25,0.008755217693330809,0.009516071583289687,0.9200453797242399,exp/TM/lorzen/results_lag_sweep/observed_next_lag25
4,0.5,0.5,0.44873046875,next,observed,1.0,971,0,30,0.005077660001931774,0.008951162739897187,0.5672626171010824,exp/TM/lorzen/results_lag_sweep/observed_next_lag30
4,0.59375,0.59375,0.5830078125,next,observed,1.0,966,0,35,0.011662700338108088,0.007466431673493465,1.562017955580009,exp/TM/lorzen/results_lag_sweep/observed_next_lag35
4,0.5625,0.5625,0.53759765625,next,observed,1.0,961,0,40,0.009270618259457897,0.008859840345409476,1.0463640311827127,exp/TM/lorzen/results_lag_sweep/observed_next_lag40
4,0.5625,0.5625,0.58203125,next,observed,1.0,951,0,50,0.004259240931444381,0.006695146117012268,0.6361684804192268,exp/TM/lorzen/results_lag_sweep/observed_next_lag50
4,0.53125,0.53125,0.5810546875,next,observed,1.0,926,0,75,0.002990074385734116,0.006216865856450747,0.4809617023715501,exp/TM/lorzen/results_lag_sweep/observed_next_lag75
4,0.46875,0.46875,0.376953125,next,observed,1.0,901,0,100,0.0025903563122938343,0.006696889406156591,0.38679992384411566,exp/TM/lorzen/results_lag_sweep/observed_next_lag100
