top_k,accuracy,f1,auc,target_mode,estimator_mode,box_width,sample_count,seed,output_dir
4,1.0,1.0,1.0,delta,surrogate_intervention,1.0,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p0_n4000
4,1.0,1.0,1.0,delta,surrogate_intervention,1.5,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p5_n2000
4,1.0,1.0,1.0,delta,surrogate_intervention,1.5,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p5_n4000
4,1.0,1.0,1.0,delta,surrogate_intervention,2.0,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L2p0_n2000
4,1.0,1.0,1.0,delta,surrogate_intervention,2.0,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L2p0_n4000
4,1.0,1.0,0.9990234375,delta,surrogate_intervention,1.0,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p0_n2000
4,1.0,1.0,0.99609375,delta,surrogate_intervention,0.75,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p75_n2000
4,1.0,1.0,0.99609375,delta,surrogate_intervention,0.75,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p75_n4000
4,1.0,1.0,0.9912109375,delta,surrogate_intervention,0.5,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p5_n4000
4,0.96875,0.96875,0.986328125,delta,surrogate_intervention,0.5,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p5_n2000
4,0.96875,0.96875,0.98046875,delta,surrogate_intervention,0.5,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p5_n1000
4,0.96875,0.96875,0.9765625,delta,surrogate_intervention,2.0,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L2p0_n1000
4,0.96875,0.96875,0.97412109375,delta,surrogate_intervention,0.25,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p25_n1000
4,0.96875,0.96875,0.9697265625,delta,surrogate_intervention,1.5,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p5_n1000
4,0.96875,0.96875,0.96875,delta,surrogate_intervention,1.0,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p0_n1000
4,0.96875,0.96875,0.96875,delta,surrogate_intervention,1.5,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p5_n512
4,0.9375,0.9375,0.9794921875,delta,surrogate_intervention,0.25,4000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p25_n4000
4,0.9375,0.9375,0.9775390625,delta,surrogate_intervention,0.75,1000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p75_n1000
4,0.9375,0.9375,0.97265625,delta,surrogate_intervention,0.25,2000,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p25_n2000
4,0.9375,0.9375,0.958984375,delta,surrogate_intervention,1.0,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p0_n512
4,0.90625,0.90625,0.9580078125,delta,surrogate_intervention,0.75,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p75_n512
4,0.90625,0.90625,0.95751953125,delta,surrogate_intervention,0.5,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p5_n512
4,0.90625,0.90625,0.9296875,delta,surrogate_intervention,0.25,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p25_n512
4,0.90625,0.90625,0.921875,delta,surrogate_intervention,0.25,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p25_n256
4,0.875,0.875,0.9462890625,delta,surrogate_intervention,2.0,512,17,exp/TM/lorzen/results_sweep/surrogate_delta_L2p0_n512
4,0.875,0.875,0.91015625,delta,surrogate_intervention,0.5,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p5_n256
4,0.8125,0.8125,0.89990234375,delta,surrogate_intervention,1.0,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p0_n256
4,0.8125,0.8125,0.86279296875,delta,surrogate_intervention,1.5,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L1p5_n256
4,0.78125,0.78125,0.91015625,delta,surrogate_intervention,0.75,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L0p75_n256
4,0.75,0.75,0.9228515625,delta,observed,1.0,1000,0,exp/TM/lorzen/results_sweep/observed_delta
4,0.75,0.75,0.8974609375,next,observed,1.0,1000,0,exp/TM/lorzen/results_sweep/observed_next
4,0.71875,0.71875,0.7822265625,delta,surrogate_intervention,2.0,256,17,exp/TM/lorzen/results_sweep/surrogate_delta_L2p0_n256
