target,term,left_source,right_source,left_ei,right_ei,joint_ei,syn
M1,positive_product,M2,M8,0.0,0.0,8.750981803762667,8.750981803762667
M1,negative_product,M7,M8,0.0,0.0,8.725655967722446,8.725655967722446
M1,full_interaction_pos_pair,M2,M8,0.0,0.0,0.346193035817662,0.346193035817662
M1,full_interaction_neg_pair,M7,M8,0.0,0.0,0.32126830347620783,0.32126830347620783
M2,positive_product,M3,M1,0.0018221633217490186,0.0006606770788177193,8.739890427859093,8.737407587458526
M2,negative_product,M8,M1,0.0009546525594547702,0.0,8.729358389280142,8.728403736720686
M2,full_interaction_pos_pair,M3,M1,0.0008015308105017128,0.0,0.3456085283496994,0.3448069975391977
M2,full_interaction_neg_pair,M8,M1,0.0,0.0,0.33590930586697154,0.33590930586697154
M3,positive_product,M4,M2,8.679692590710767e-05,0.0002536231970105944,8.736083249898604,8.735742829775685
M3,negative_product,M1,M2,0.0005668247602507354,4.5246970663286903e-05,8.736553290956222,8.735941219225309
M3,full_interaction_pos_pair,M4,M2,0.0,9.368166919800143e-05,0.34309832087613834,0.34300463920694035
M3,full_interaction_neg_pair,M1,M2,0.0,9.368166919800143e-05,0.3438680713321428,0.3437743896629448
M4,positive_product,M5,M3,0.0,5.807514648969736e-05,8.750741638215395,8.750683563068906
M4,negative_product,M2,M3,0.0001893106619250459,0.003277027815249831,8.746023746626395,8.74255740814922
M4,full_interaction_pos_pair,M5,M3,0.0,0.0026713204435433488,0.36493372757082254,0.3622624071272792
M4,full_interaction_neg_pair,M2,M3,0.0,0.0026713204435433488,0.35873805988699764,0.3560667394434543
M5,positive_product,M6,M4,0.0012746224625651353,0.0,8.717966994559506,8.71669237209694
M5,negative_product,M3,M4,0.0,0.0,8.742919564362934,8.742919564362934
M5,full_interaction_pos_pair,M6,M4,0.0,0.0,0.34608520214929067,0.34608520214929067
M5,full_interaction_neg_pair,M3,M4,0.0,0.0,0.37131545421516754,0.37131545421516754
M6,positive_product,M7,M5,0.0,0.0,8.744935363283133,8.744935363283133
M6,negative_product,M4,M5,0.0,0.0011411817465984079,8.740102600259704,8.738961418513105
M6,full_interaction_pos_pair,M7,M5,0.0,0.0009154042144308944,0.3619055821469184,0.36099017793248755
M6,full_interaction_neg_pair,M4,M5,0.0,0.0009154042144308944,0.356173185293528,0.3552577810790971
M7,positive_product,M8,M6,0.00098780281290482,0.0012747844871409868,8.728160099563759,8.725897512263714
M7,negative_product,M5,M6,0.0,0.0,8.743685775888768,8.743685775888768
M7,full_interaction_pos_pair,M8,M6,0.0007367458444778553,0.0005898938964976136,0.34359506097334663,0.34226842123237117
M7,full_interaction_neg_pair,M5,M6,0.0,0.0005898938964976136,0.3590173854100415,0.3584274915135439
M8,positive_product,M1,M7,0.0,0.0017155730134271808,8.734742342533707,8.73302676952028
M8,negative_product,M6,M7,0.0,0.00011348002164421918,8.72902418602518,8.728910706003536
M8,full_interaction_pos_pair,M1,M7,9.866379059714881e-06,0.0019472004850249987,0.35437352580274756,0.35241645893866286
M8,full_interaction_neg_pair,M6,M7,0.0,0.0019472004850249987,0.35047155238459593,0.34852435189957093
