target,rhs_component,sources,ei,joint_ei,synergy
M1,linear_self,M1,0.03569426639509873,0.03569426639509873,0.0
M1,positive_product_pair,M2+M8,0.3047544216807405,0.3047544216807405,0.3047544216807405
M1,negative_product_pair,M7+M8,0.28161779506898815,0.28161779506898815,0.28161779506898815
M2,linear_self,M2,0.04379238958005031,0.04379238958005031,0.0
M2,positive_product_pair,M3+M1,0.2945309147630325,0.2945309147630325,0.2943511378300827
M2,negative_product_pair,M8+M1,0.3045381136866237,0.3045381136866237,0.3045381136866237
M3,linear_self,M3,0.05375780979678052,0.05375780979678052,0.0
M3,positive_product_pair,M4+M2,0.29979676489227225,0.29979676489227225,0.29972394803136115
M3,negative_product_pair,M1+M2,0.306796991148505,0.306796991148505,0.30646939797471784
M4,linear_self,M4,0.03788602951823331,0.03788602951823331,0.0
M4,positive_product_pair,M5+M3,0.3233162207440392,0.3233162207440392,0.32061709357602874
M4,negative_product_pair,M2+M3,0.3176795880335633,0.3176795880335633,0.3153047474916477
M5,linear_self,M5,0.04809391374361089,0.04809391374361089,0.0
M5,positive_product_pair,M6+M4,0.30372289942267283,0.30372289942267283,0.30372289942267283
M5,negative_product_pair,M3+M4,0.32738160730998184,0.32738160730998184,0.32738160730998184
M6,linear_self,M6,0.04023655569448011,0.04023655569448011,0.0
M6,positive_product_pair,M7+M5,0.31957776998595483,0.31957776998595483,0.31820388249832277
M6,negative_product_pair,M4+M5,0.3158107772801373,0.3158107772801373,0.31445761009982576
M7,linear_self,M7,0.03917096141278479,0.03917096141278479,0.0
M7,positive_product_pair,M8+M6,0.29517753373422284,0.29517753373422284,0.29405510110641203
M7,negative_product_pair,M5+M6,0.3239179275142096,0.3239179275142096,0.3232793312182418
M8,linear_self,M8,0.05757972552656325,0.05757972552656325,0.0
M8,positive_product_pair,M1+M7,0.31195103562332976,0.31195103562332976,0.30997728022286386
M8,negative_product_pair,M6+M7,0.3112904664564323,0.3112904664564323,0.3093167110559664
