matrix_index,critical_G,max_mean_rate_hz,stabilization_detected_any,earliest_stabilization_start_s,max_j_fic_error_hz,connectivity_csv,results_npz,mean_rate_figure,trace_figure
0,1.8,20.439278319033825,True,0.2,0.04637898551240216,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_00_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_00_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_00_fig6b_mean_rate.png,
1,2.2,15.395999212235933,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_01_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_01_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_01_fig6b_mean_rate.png,
2,2.2,15.401798215129654,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_02_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_02_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_02_fig6b_mean_rate.png,
3,2.5,15.385954727743998,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_03_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_03_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_03_fig6b_mean_rate.png,
4,2.4000000000000004,15.392599666008817,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_04_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_04_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_04_fig6b_mean_rate.png,
5,2.3,15.373915727466352,True,0.25,0.021689394536370532,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_05_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_05_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_05_fig6b_mean_rate.png,
6,2.2,15.364895140475918,True,0.25,0.021689394536370532,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_06_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_06_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_06_fig6b_mean_rate.png,
7,2.4000000000000004,15.373236050421001,True,0.25,0.021689394536370532,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_07_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_07_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_07_fig6b_mean_rate.png,
8,2.3,15.39722173059693,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_08_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_08_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_08_fig6b_mean_rate.png,
9,2.5,15.399923671076877,True,0.25,0.02163696265618542,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_09_connectivity.csv,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_09_fig6b_mean_rate.npz,/Users/yangmingzhe/Desktop/code/github/EISyn/exp/brain/result_lausanne_fig6/count_09_fig6b_mean_rate.png,
