datetime_utc,dst_nT,status
2024-05-01T00:29:30Z,-19,10
2024-05-01T01:29:30Z,-26,10
2024-05-01T02:29:30Z,-21,10
2024-05-01T03:29:30Z,-7,10
2024-05-01T04:29:30Z,-5,10
2024-05-01T05:29:30Z,-3,10
2024-05-01T06:29:30Z,-5,10
2024-05-01T07:29:30Z,-4,10
2024-05-01T08:29:30Z,-2,10
2024-05-01T09:29:30Z,0,10
2024-05-01T10:29:30Z,-3,10
2024-05-01T11:29:30Z,-4,10
2024-05-01T12:29:30Z,-6,10
2024-05-01T13:29:30Z,-5,10
2024-05-01T14:29:30Z,-4,10
2024-05-01T15:29:30Z,1,10
2024-05-01T16:29:30Z,3,10
2024-05-01T17:29:30Z,6,10
2024-05-01T18:29:30Z,1,10
2024-05-01T19:29:30Z,5,10
2024-05-01T20:29:30Z,12,10
2024-05-01T21:29:30Z,11,10
2024-05-01T22:29:30Z,13,10
2024-05-01T23:29:30Z,10,10
2024-05-02T00:29:30Z,7,10
2024-05-02T01:29:30Z,5,10
2024-05-02T02:29:30Z,12,10
2024-05-02T03:29:30Z,13,10
2024-05-02T04:29:30Z,13,10
2024-05-02T05:29:30Z,13,10
2024-05-02T06:29:30Z,8,10
2024-05-02T07:29:30Z,6,10
2024-05-02T08:29:30Z,10,10
2024-05-02T09:29:30Z,16,10
2024-05-02T10:29:30Z,13,10
2024-05-02T11:29:30Z,3,10
2024-05-02T12:29:30Z,-3,10
2024-05-02T13:29:30Z,-11,10
2024-05-02T14:29:30Z,-11,10
2024-05-02T15:29:30Z,-43,10
2024-05-02T16:29:30Z,-71,10
2024-05-02T17:29:30Z,-70,10
2024-05-02T18:29:30Z,-82,10
2024-05-02T19:29:30Z,-89,10
2024-05-02T20:29:30Z,-88,10
2024-05-02T21:29:30Z,-67,10
2024-05-02T22:29:30Z,-44,10
2024-05-02T23:29:30Z,-53,10
2024-05-03T00:29:30Z,-55,10
2024-05-03T01:29:30Z,-53,10
2024-05-03T02:29:30Z,-47,10
2024-05-03T03:29:30Z,-54,10
2024-05-03T04:29:30Z,-51,10
2024-05-03T05:29:30Z,-49,10
2024-05-03T06:29:30Z,-47,10
2024-05-03T07:29:30Z,-44,10
2024-05-03T08:29:30Z,-38,10
2024-05-03T09:29:30Z,-36,10
2024-05-03T10:29:30Z,-33,10
2024-05-03T11:29:30Z,-32,10
2024-05-03T12:29:30Z,-31,10
2024-05-03T13:29:30Z,-29,10
2024-05-03T14:29:30Z,-30,10
2024-05-03T15:29:30Z,-27,10
2024-05-03T16:29:30Z,-27,10
2024-05-03T17:29:30Z,-29,10
2024-05-03T18:29:30Z,-30,10
2024-05-03T19:29:30Z,-32,10
2024-05-03T20:29:30Z,-28,10
2024-05-03T21:29:30Z,-22,10
2024-05-03T22:29:30Z,-17,10
2024-05-03T23:29:30Z,-17,10
2024-05-04T00:29:30Z,-18,10
2024-05-04T01:29:30Z,-18,10
2024-05-04T02:29:30Z,-17,10
2024-05-04T03:29:30Z,-13,10
2024-05-04T04:29:30Z,-10,10
2024-05-04T05:29:30Z,-8,10
2024-05-04T06:29:30Z,-7,10
2024-05-04T07:29:30Z,-8,10
2024-05-04T08:29:30Z,-9,10
2024-05-04T09:29:30Z,-10,10
2024-05-04T10:29:30Z,-10,10
2024-05-04T11:29:30Z,-9,10
2024-05-04T12:29:30Z,-9,10
2024-05-04T13:29:30Z,-11,10
2024-05-04T14:29:30Z,-11,10
2024-05-04T15:29:30Z,-12,10
2024-05-04T16:29:30Z,-12,10
2024-05-04T17:29:30Z,-10,10
2024-05-04T18:29:30Z,-9,10
2024-05-04T19:29:30Z,-8,10
2024-05-04T20:29:30Z,-9,10
2024-05-04T21:29:30Z,-8,10
2024-05-04T22:29:30Z,-3,10
2024-05-04T23:29:30Z,2,10
2024-05-05T00:29:30Z,4,10
2024-05-05T01:29:30Z,2,10
2024-05-05T02:29:30Z,3,10
2024-05-05T03:29:30Z,0,10
2024-05-05T04:29:30Z,-5,10
2024-05-05T05:29:30Z,-7,10
2024-05-05T06:29:30Z,-5,10
2024-05-05T07:29:30Z,2,10
2024-05-05T08:29:30Z,7,10
2024-05-05T09:29:30Z,6,10
2024-05-05T10:29:30Z,8,10
2024-05-05T11:29:30Z,13,10
2024-05-05T12:29:30Z,18,10
2024-05-05T13:29:30Z,19,10
2024-05-05T14:29:30Z,22,10
2024-05-05T15:29:30Z,22,10
2024-05-05T16:29:30Z,18,10
2024-05-05T17:29:30Z,15,10
