case_key,case_title,q1_noise_std,L,nis_ei_mean,nis_syn_mean,tm_ei_mean,tm_syn_mean,tm_single_q2_mean,tm_single_q3_mean,nis_syn_ratio,tm_syn_ratio
moderate,Moderate synergy,0.08,0.8,0.3145059471387151,-0.3960819110671898,0.6436286779715273,0.20014529708636294,0.22241755838682878,0.22106582249833565,-1.2593781283649146,0.3109639205592031
moderate,Moderate synergy,0.08,1.6,1.0075479079034901,0.6217636927039746,1.2383227811475976,0.6579339959430635,0.290573741597747,0.28981504360678706,0.6171058346969754,0.5313105806979765
moderate,Moderate synergy,0.08,3.2,1.7059998482822873,1.9073864473254651,1.7968242532659897,1.195180315656769,0.30114412263715384,0.3004998149720668,1.1180460826218401,0.6651626131405756
moderate,Moderate synergy,0.08,6.4,2.4444753102511014,3.3688384217450102,1.7330969276887906,1.0720787098502793,0.3230383212138019,0.3379798966247094,1.3781437708196596,0.6185913163437278
moderate,Moderate synergy,0.08,12.8,3.4440023276098386,4.984854484799338,2.383049081672738,1.6998369517003808,0.3371400887050673,0.34607204126729024,1.4474016015717566,0.7133033745604648
moderate,Moderate synergy,0.08,25.6,4.646645666235082,6.842722856649869,3.072437544655839,2.3829270965276357,0.3420650087011512,0.3474454394270517,1.4726155915809578,0.7755819481741689
moderate,Moderate synergy,0.08,51.2,5.948562605663664,8.824877496212572,3.7710315973422692,3.0799299103462716,0.3420034801327369,0.34909820686326015,1.483531078215492,0.816734050310512
moderate,Moderate synergy,0.08,102.4,7.036078664888616,10.60006573390923,4.461019108649418,3.7695565034491243,0.3421159393818884,0.3493466658184053,1.5065303045580762,0.8449989591258139
strong,Strong synergy,0.001,0.8,0.9279190046718129,-0.32853334184177774,3.7625281220094515,3.7611976119730532,0.0011240756303119014,0.00020643440608653164,-0.354053899303392,0.9996463787131277
strong,Strong synergy,0.001,1.6,0.9270462680835845,0.33872650410207167,4.102160604224762,4.100860110088228,0.001098405133374966,0.00020208900315917173,0.36538252271086363,0.9996829733737888
strong,Strong synergy,0.001,3.2,1.3643567048932848,1.464343736534002,1.2860126867877069,1.285100652775073,0.000826549007779185,8.548500485458276e-05,1.0732851103249703,0.9992908048093118
strong,Strong synergy,0.001,6.4,2.3875566003261537,3.178625128384789,0.004690610208181813,0.004519972730500051,0.0003055370290440718,-0.00013489955136230963,1.3313297485599171,0.9636214756484944
strong,Strong synergy,0.001,12.8,3.704372223760325,5.188304024567457,-0.00041002783161958183,-0.00014958014025662705,6.427098207397687e-06,-0.0002668747895703524,1.4005892796865824,0.3648048466997856
strong,Strong synergy,0.001,25.6,5.152104269518564,7.328749714952626,-4.218095629182392e-05,-0.00013231046527979165,2.843518848093895e-05,6.169432050702878e-05,1.422476978641866,3.136734605171525
strong,Strong synergy,0.001,51.2,6.544048357667641,9.413827160062267,-0.0005491365033982609,6.213364449877725e-05,-0.00034334699675955767,-0.00026792315113748056,1.4385326399723368,-0.11314790423559744
strong,Strong synergy,0.001,102.4,8.17196005491852,11.734878739075748,-8.969663828783176e-05,-6.158736796357403e-05,-0.00020535595889093744,0.0001772466885666797,1.4359931595618591,0.6866184635141334
zero,Zero synergy,0.001,0.8,5.042529643139487,0.0,5.045086828922266,0.00025183453847739005,5.04512709011371,-0.00029209572992153275,0.0,4.9916789743574554e-05
zero,Zero synergy,0.001,1.6,5.735676823711779,0.0,5.738219926350308,0.0002454809845219682,5.738266008416765,-0.0002915630509789221,0.0,4.2779988859385175e-05
zero,Zero synergy,0.001,3.2,6.428824004243096,0.0,6.431362613869773,0.00024314965771358695,6.43141076047806,-0.0002912962660013671,0.0,3.780686493857683e-05
zero,Zero synergy,0.001,6.4,7.121971184857386,0.0,7.124508189657992,0.00024219216907387145,7.124557159911262,-0.0002911624223432029,0.0,3.3994229864938614e-05
zero,Zero synergy,0.001,12.8,7.815118365473847,0.0,7.81765472900798,0.00024176544527947487,7.817704058950182,-0.00029109538748137083,0.0,3.0925572138967265e-05
zero,Zero synergy,0.001,25.6,8.508265545729374,0.0,8.510801628521786,0.00024156503617831738,8.510851125327413,-0.00029106184180432846,0.0,2.838334703616797e-05
zero,Zero synergy,0.001,51.2,9.201412726684696,0.0,9.203948677416015,0.0002414693767414599,9.203998253101178,-0.0002910450619044472,0.0,2.623541103982468e-05
zero,Zero synergy,0.001,102.4,9.89455990635215,0.0,9.89709578771304,0.0002414143439561173,9.897145410039272,-0.000291036670189962,0.0,2.439244290793126e-05
