alpha,repeat,L,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
0.0,0,2.0,0.05,2.455583643596311,0.001722426336018752,2.45381152981457,4.968744572249478e-05
0.0,1,2.0,0.05,2.442969858824956,-0.00014250234407864326,2.443112361169035,0.0
0.0,2,2.0,0.05,2.4393774056979955,0.0001690007410879138,2.43905084218176,0.00015756277514780898
0.0,3,2.0,0.05,2.4517636917360135,-2.885053915768765e-07,2.451763980241405,0.0
0.2,0,2.0,0.05,2.237209770325193,0.48688926318345316,1.7503205071417398,0.0
0.2,1,2.0,0.05,2.2180140950298166,0.44516554890308274,1.7728366341963055,1.1911930428315121e-05
0.2,2,2.0,0.05,2.222680154308815,0.4737969448255135,1.748342291409903,0.0005409180733986353
0.2,3,2.0,0.05,2.2395570295123695,0.469833944530742,1.7697230849816274,0.0
0.4,0,2.0,0.05,2.021023683835158,1.0005803642481832,1.0204433195869747,0.0
0.4,1,2.0,0.05,2.001568095986507,0.9822863977761476,1.0192816982103594,0.0
0.4,2,2.0,0.05,1.993260970521581,0.9996189259107036,0.993197263583886,0.00044478102699145616
0.4,3,2.0,0.05,1.981630024052305,0.9713311081892761,1.010298915863029,0.0
0.6,0,2.0,0.05,1.7801658248600383,1.3455460242654458,0.4346198005945924,0.0
0.6,1,2.0,0.05,1.7894544750292312,1.3482872222854974,0.4411672527437338,0.0
0.6,2,2.0,0.05,1.7587472345501458,1.3092298181934698,0.4488561160886491,0.0006613002680270186
0.6,3,2.0,0.05,1.788733771707728,1.341439781453555,0.44729399025417294,0.0
0.8,0,2.0,0.05,1.7064928610781422,1.610570804515237,0.09592205656290531,0.0
0.8,1,2.0,0.05,1.7058238279489666,1.6169060507482542,0.08891777720071246,0.0
0.8,2,2.0,0.05,1.7319052952989002,1.633530461849682,0.09769931292765031,0.0006755205215681291
0.8,3,2.0,0.05,1.718431469404097,1.6143304861016874,0.10406993458368305,3.1048718726453676e-05
1.0,0,2.0,0.05,1.804215936823513,1.8040955310577211,0.0,0.00012040576579175633
1.0,1,2.0,0.05,1.8002623790587742,1.7999401735669789,0.00022219874726744107,0.0001000067445277935
1.0,2,2.0,0.05,1.83273900599563,1.83273900599563,0.0,0.0
1.0,3,2.0,0.05,1.8148756803924984,1.8138928091834472,6.8717710370996e-06,0.0009759994380140637
