alpha,repeat,L,q1_noise_std,shap_mean_abs_q2,shap_mean_abs_q3,shap_pair_interaction,shap_q2_share,shap_q3_share,shap_interaction_share,model_r2
0.0,0,2.0,0.05,0.5045562335006707,0.004337160018544606,0.004225841151544032,0.9914772719123917,0.00852272808760847,0.008235592949961278,0.9919348536652466
0.0,1,2.0,0.05,0.5158140752435517,0.004724604451260572,0.004319422576862604,0.9909236246304876,0.009076375369512541,0.008229695908603509,0.9919263540016098
0.2,0,2.0,0.05,0.3994272510357799,0.023347108085559058,0.023245736632730347,0.9447764331449006,0.05522356685509938,0.05211813739788935,0.9879918911665312
0.2,1,2.0,0.05,0.3865656830782052,0.02272051691888189,0.02274775170289746,0.9444874590957536,0.05551254090424645,0.05265269457038895,0.9844158226831391
0.4,0,2.0,0.05,0.3035945257792654,0.049254627290175636,0.048971871624885095,0.8604088266566357,0.13959117334336432,0.12187483634570652,0.9794342963865361
0.4,1,2.0,0.05,0.3008596572962256,0.04659412627187265,0.04728379022596284,0.8658983482827995,0.13410165171720043,0.11978537987020031,0.978342582157118
0.6,0,2.0,0.05,0.21350038386489925,0.07510847868677849,0.07439131949544178,0.739756852846715,0.26024314715328506,0.20493466167404117,0.9698605808421026
0.6,1,2.0,0.05,0.19422928219305755,0.0696122284822346,0.06976715595694756,0.7361589224376983,0.26384107756230163,0.20912872756347425,0.9673383086535393
0.8,0,2.0,0.05,0.11837755192577412,0.09204044451807297,0.0921196652983132,0.5625828300164657,0.43741716998353425,0.30448990967882467,0.9615368490792054
0.8,1,2.0,0.05,0.12112070508514065,0.0988370166224779,0.09906971817753991,0.550654480983131,0.44934551901686903,0.31053666798442925,0.957858865325286
1.0,0,2.0,0.05,0.11321994994354669,0.11407396606256784,0.1131994641643449,0.4981213396864565,0.5018786603135434,0.3324571658564241,0.9577599679410369
1.0,1,2.0,0.05,0.11551561511825392,0.11760532844662938,0.1159738381616055,0.49551796313016844,0.5044820368698315,0.33221303849929645,0.9653506476487989
