beta,repeat,L,q1_noise_std,shap_mean_abs_q2,shap_mean_abs_q3,shap_pair_interaction,shap_q2_share,shap_q3_share,shap_interaction_share,model_r2
0.0,0,2.0,0.05,0.0036488403886880175,0.4761634425608022,0.0033511264431804605,0.007604724844178553,0.9923952751558215,0.0069358034528996665,0.990346806612669
0.0,1,2.0,0.05,0.0041803673345883275,0.468132429488434,0.0040288283741433265,0.0088508449542491,0.991149155045751,0.008457854953313661,0.9906631466878126
0.2,0,2.0,0.05,0.2115934831191019,0.21159871898329066,0.21094761348049557,0.49999381384609315,0.5000061861539068,0.33265158297401165,0.9719435273894386
0.2,1,2.0,0.05,0.21225588189316347,0.21568545188037966,0.21275317897470775,0.49599294375589453,0.5040070562441055,0.33206649150482925,0.9813564486298698
0.4,0,2.0,0.05,0.19853966222752958,0.19544491561544203,0.19811226678287472,0.5039274971485318,0.49607250285146826,0.33459436337321546,0.9825877209665812
0.4,1,2.0,0.05,0.2069747407534035,0.20530117292228792,0.20339487582446594,0.5020296696649033,0.49797033033509686,0.330363043518104,0.9818381789904137
0.6,0,2.0,0.05,0.20543516302870013,0.20713286719290916,0.20716505105996252,0.49794251609450074,0.5020574839054993,0.33428109183966315,0.9862693126403698
0.6,1,2.0,0.05,0.20836242827133064,0.21028392880779484,0.21034609112126,0.4977051030016475,0.5022948969983525,0.3344175144281662,0.9857316588584356
0.8,0,2.0,0.05,0.2118150976721114,0.21040372284373762,0.21059489749622487,0.5016713783940865,0.49832862160591346,0.33279129624084225,0.9863877787318763
0.8,1,2.0,0.05,0.21103157271567569,0.21318842983588338,0.21269723720508243,0.49745785546740506,0.5025421445325949,0.3339479981517717,0.9861892982739928
1.0,0,2.0,0.05,0.457593574459677,0.003995561778757786,0.0033805923723510844,0.9913438998774576,0.008656100122542464,0.0072705644353482,0.9893083579979337
1.0,1,2.0,0.05,0.44572086580984377,0.004180248187596262,0.004045609281735587,0.990708517810827,0.009291482189172903,0.008912079489221363,0.9895176617220752
