dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,baseline,baseline_ei_tm,baseline_metadata
identity,x,4.0,-8.0,20760429,0,0.05,4096,1,1,variance_matched,3.1376877682557134,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760429,0,0.05,4096,1,1,identity,3.151575427178801,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760446,1,0.05,4096,1,1,variance_matched,3.126072573895078,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760446,1,0.05,4096,1,1,identity,3.16125770233986,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760463,2,0.05,4096,1,1,variance_matched,3.1406833168843393,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760463,2,0.05,4096,1,1,identity,3.1157181801239764,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760480,3,0.05,4096,1,1,variance_matched,3.1483827461561367,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760480,3,0.05,4096,1,1,identity,3.166896552610016,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760497,4,0.05,4096,1,1,variance_matched,3.133997761510117,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760497,4,0.05,4096,1,1,identity,3.1338550951654245,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760514,5,0.05,4096,1,1,variance_matched,3.1527872345501864,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760514,5,0.05,4096,1,1,identity,3.1325174117088395,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760531,6,0.05,4096,1,1,variance_matched,3.1029321551795332,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760531,6,0.05,4096,1,1,identity,3.1412856988887436,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760548,7,0.05,4096,1,1,variance_matched,3.143209626709065,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760548,7,0.05,4096,1,1,identity,3.1195859994189625,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760565,8,0.05,4096,1,1,variance_matched,3.142453362199313,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760565,8,0.05,4096,1,1,identity,3.150584427812998,"{""projection"": [[1.0]]}"
identity,x,4.0,-8.0,20760582,9,0.05,4096,1,1,variance_matched,3.131425122584761,"{""direction"": [1.0]}"
identity,x,4.0,-8.0,20760582,9,0.05,4096,1,1,identity,3.1505252756325106,"{""projection"": [[1.0]]}"
identity,x,4.0,-7.0,20761429,0,0.05,4096,1,1,variance_matched,3.1323889608478463,"{""direction"": [1.0]}"
identity,x,4.0,-7.0,20761429,0,0.05,4096,1,1,identity,3.159706875685489,"{""projection"": [[1.0]]}"
identity,x,4.0,-7.0,20761446,1,0.05,4096,1,1,variance_matched,3.134568552460957,"{""direction"": [1.0]}"
identity,x,4.0,-7.0,20761446,1,0.05,4096,1,1,identity,3.134739495013415,"{""projection"": [[1.0]]}"
identity,x,4.0,-7.0,20761463,2,0.05,4096,1,1,variance_matched,3.165722240267203,"{""direction"": [1.0]}"
identity,x,4.0,-7.0,20761463,2,0.05,4096,1,1,identity,3.1629415392955993,"{""projection"": [[1.0]]}"
identity,x,4.0,-7.0,20761480,3,0.05,4096,1,1,variance_matched,3.132317055375707,"{""direction"": [1.0]}"
identity,x,4.0,-7.0,20761480,3,0.05,4096,1,1,identity,3.1678270010896554,"{""projection"": [[1.0]]}"
