label,center,series,series_kind,baseline,ei_mean,n_repeats
x,-8.0,identity,baseline,identity,3.1423801770880133,10
x,-7.0,identity,baseline,identity,3.1439659983692074,10
x,-6.0,identity,baseline,identity,3.144622736310401,10
x,-5.0,identity,baseline,identity,3.1404624149616227,10
x,-4.0,identity,baseline,identity,3.141445935107241,10
x,-3.0,identity,baseline,identity,3.14306971433485,10
x,-2.0,identity,baseline,identity,3.1477639400388604,10
x,-1.0,identity,baseline,identity,3.133644019132647,10
x,0.0,identity,baseline,identity,3.1395426100198427,10
x,1.0,identity,baseline,identity,3.140971541491937,10
x,2.0,identity,baseline,identity,3.146167350526677,10
x,3.0,identity,baseline,identity,3.138571239776283,10
x,4.0,identity,baseline,identity,3.1414092149342094,10
x,5.0,identity,baseline,identity,3.137990536691855,10
x,6.0,identity,baseline,identity,3.140656128255907,10
x,7.0,identity,baseline,identity,3.1350675569632225,10
x,8.0,identity,baseline,identity,3.13432987464247,10
x,-8.0,variance_matched,baseline,variance_matched,3.1359631667924246,10
x,-7.0,variance_matched,baseline,variance_matched,3.140949149497832,10
x,-6.0,variance_matched,baseline,variance_matched,3.1438106440194153,10
x,-5.0,variance_matched,baseline,variance_matched,3.1493749288702566,10
x,-4.0,variance_matched,baseline,variance_matched,3.1401257819915864,10
x,-3.0,variance_matched,baseline,variance_matched,3.141580113018817,10
x,-2.0,variance_matched,baseline,variance_matched,3.1423448209494156,10
x,-1.0,variance_matched,baseline,variance_matched,3.141373271954998,10
x,0.0,variance_matched,baseline,variance_matched,3.138536384769183,10
x,1.0,variance_matched,baseline,variance_matched,3.1456207632062494,10
x,2.0,variance_matched,baseline,variance_matched,3.1470605481062193,10
x,3.0,variance_matched,baseline,variance_matched,3.141071846397082,10
x,4.0,variance_matched,baseline,variance_matched,3.145215543441,10
x,5.0,variance_matched,baseline,variance_matched,3.1320764213092778,10
x,6.0,variance_matched,baseline,variance_matched,3.144687479259237,10
x,7.0,variance_matched,baseline,variance_matched,3.1388237163959247,10
x,8.0,variance_matched,baseline,variance_matched,3.1407138673162485,10
x,-8.0,raw EI,raw,,3.1375569250857533,10
x,-7.0,raw EI,raw,,3.1425616888490433,10
x,-6.0,raw EI,raw,,3.1375138741785014,10
x,-5.0,raw EI,raw,,3.140313324435939,10
x,-4.0,raw EI,raw,,3.1391224397826627,10
x,-3.0,raw EI,raw,,3.1412587573074466,10
x,-2.0,raw EI,raw,,3.143473317866758,10
x,-1.0,raw EI,raw,,3.143258144553282,10
x,0.0,raw EI,raw,,3.140444056468635,10
x,1.0,raw EI,raw,,3.1402695869665074,10
x,2.0,raw EI,raw,,3.144444810660922,10
x,3.0,raw EI,raw,,3.1461465021659385,10
x,4.0,raw EI,raw,,3.137738636320079,10
x,5.0,raw EI,raw,,3.1437075257405516,10
