dynamics,label,L,center,seed,repeat,noise_std,n_samples,source_dim,target_dim,ei_tm
identity,x,4.0,-8.0,20760429,0,0.05,4096,1,1,3.151830111059079
identity,x,4.0,-8.0,20760446,1,0.05,4096,1,1,3.12914498925789
identity,x,4.0,-8.0,20760463,2,0.05,4096,1,1,3.130467040192411
identity,x,4.0,-8.0,20760480,3,0.05,4096,1,1,3.1299942761292074
identity,x,4.0,-8.0,20760497,4,0.05,4096,1,1,3.1394291357353996
identity,x,4.0,-8.0,20760514,5,0.05,4096,1,1,3.129456395206252
identity,x,4.0,-8.0,20760531,6,0.05,4096,1,1,3.1391653878417927
identity,x,4.0,-8.0,20760548,7,0.05,4096,1,1,3.1400584190775773
identity,x,4.0,-8.0,20760565,8,0.05,4096,1,1,3.1387261287706965
identity,x,4.0,-8.0,20760582,9,0.05,4096,1,1,3.147297367587229
identity,x,4.0,-7.0,20761429,0,0.05,4096,1,1,3.1515236670019995
identity,x,4.0,-7.0,20761446,1,0.05,4096,1,1,3.151210683868589
identity,x,4.0,-7.0,20761463,2,0.05,4096,1,1,3.1490973750510087
identity,x,4.0,-7.0,20761480,3,0.05,4096,1,1,3.1364383619007707
identity,x,4.0,-7.0,20761497,4,0.05,4096,1,1,3.1477545656209402
identity,x,4.0,-7.0,20761514,5,0.05,4096,1,1,3.129752554026042
identity,x,4.0,-7.0,20761531,6,0.05,4096,1,1,3.1209131520902598
identity,x,4.0,-7.0,20761548,7,0.05,4096,1,1,3.138537870713373
identity,x,4.0,-7.0,20761565,8,0.05,4096,1,1,3.146682860872719
identity,x,4.0,-7.0,20761582,9,0.05,4096,1,1,3.1537057973447284
identity,x,4.0,-6.0,20762429,0,0.05,4096,1,1,3.147031823926765
identity,x,4.0,-6.0,20762446,1,0.05,4096,1,1,3.1229071810565836
identity,x,4.0,-6.0,20762463,2,0.05,4096,1,1,3.1501764863907473
identity,x,4.0,-6.0,20762480,3,0.05,4096,1,1,3.129215056947195
identity,x,4.0,-6.0,20762497,4,0.05,4096,1,1,3.1514461144317334
identity,x,4.0,-6.0,20762514,5,0.05,4096,1,1,3.1485403839646433
identity,x,4.0,-6.0,20762531,6,0.05,4096,1,1,3.144190685248508
identity,x,4.0,-6.0,20762548,7,0.05,4096,1,1,3.1224191407417132
identity,x,4.0,-6.0,20762565,8,0.05,4096,1,1,3.1385456829387626
identity,x,4.0,-6.0,20762582,9,0.05,4096,1,1,3.1206661861383638
identity,x,4.0,-5.0,20763429,0,0.05,4096,1,1,3.1454981276867127
identity,x,4.0,-5.0,20763446,1,0.05,4096,1,1,3.1395519719164824
identity,x,4.0,-5.0,20763463,2,0.05,4096,1,1,3.1443651495633382
identity,x,4.0,-5.0,20763480,3,0.05,4096,1,1,3.133859641517292
identity,x,4.0,-5.0,20763497,4,0.05,4096,1,1,3.1465029196988556
identity,x,4.0,-5.0,20763514,5,0.05,4096,1,1,3.1245114845536213
identity,x,4.0,-5.0,20763531,6,0.05,4096,1,1,3.1501777919924554
identity,x,4.0,-5.0,20763548,7,0.05,4096,1,1,3.1354185972585458
identity,x,4.0,-5.0,20763565,8,0.05,4096,1,1,3.1388320624872157
identity,x,4.0,-5.0,20763582,9,0.05,4096,1,1,3.1444154976848675
identity,x,4.0,-4.0,20764429,0,0.05,4096,1,1,3.137141652379972
identity,x,4.0,-4.0,20764446,1,0.05,4096,1,1,3.133757648166861
identity,x,4.0,-4.0,20764463,2,0.05,4096,1,1,3.1585317425160313
identity,x,4.0,-4.0,20764480,3,0.05,4096,1,1,3.1390916514403924
identity,x,4.0,-4.0,20764497,4,0.05,4096,1,1,3.139296122730591
identity,x,4.0,-4.0,20764514,5,0.05,4096,1,1,3.132838694220462
identity,x,4.0,-4.0,20764531,6,0.05,4096,1,1,3.1472999573939435
identity,x,4.0,-4.0,20764548,7,0.05,4096,1,1,3.13477154046611
identity,x,4.0,-4.0,20764565,8,0.05,4096,1,1,3.1388109726718127
identity,x,4.0,-4.0,20764582,9,0.05,4096,1,1,3.129684415840449
identity,x,4.0,-3.0,20765429,0,0.05,4096,1,1,3.139834354708178
identity,x,4.0,-3.0,20765446,1,0.05,4096,1,1,3.153810612465117
identity,x,4.0,-3.0,20765463,2,0.05,4096,1,1,3.155375335648247
identity,x,4.0,-3.0,20765480,3,0.05,4096,1,1,3.1213672630813765
identity,x,4.0,-3.0,20765497,4,0.05,4096,1,1,3.1402727576568457
identity,x,4.0,-3.0,20765514,5,0.05,4096,1,1,3.148455512218868
identity,x,4.0,-3.0,20765531,6,0.05,4096,1,1,3.148025198202991
identity,x,4.0,-3.0,20765548,7,0.05,4096,1,1,3.132291620045968
identity,x,4.0,-3.0,20765565,8,0.05,4096,1,1,3.149559234534484
identity,x,4.0,-3.0,20765582,9,0.05,4096,1,1,3.1235956845123924
identity,x,4.0,-2.0,20766429,0,0.05,4096,1,1,3.158023143396089
identity,x,4.0,-2.0,20766446,1,0.05,4096,1,1,3.161112397120971
identity,x,4.0,-2.0,20766463,2,0.05,4096,1,1,3.136478596693581
identity,x,4.0,-2.0,20766480,3,0.05,4096,1,1,3.133409813277107
identity,x,4.0,-2.0,20766497,4,0.05,4096,1,1,3.14786678481146
identity,x,4.0,-2.0,20766514,5,0.05,4096,1,1,3.145220797690214
identity,x,4.0,-2.0,20766531,6,0.05,4096,1,1,3.143034428010738
identity,x,4.0,-2.0,20766548,7,0.05,4096,1,1,3.1265406157348448
identity,x,4.0,-2.0,20766565,8,0.05,4096,1,1,3.14597827286857
identity,x,4.0,-2.0,20766582,9,0.05,4096,1,1,3.137068329064002
identity,x,4.0,-1.0,20767429,0,0.05,4096,1,1,3.129198101682995
identity,x,4.0,-1.0,20767446,1,0.05,4096,1,1,3.1532883316608427
identity,x,4.0,-1.0,20767463,2,0.05,4096,1,1,3.1530968526122107
identity,x,4.0,-1.0,20767480,3,0.05,4096,1,1,3.158095350671857
identity,x,4.0,-1.0,20767497,4,0.05,4096,1,1,3.1243141286957297
identity,x,4.0,-1.0,20767514,5,0.05,4096,1,1,3.1428630254176104
identity,x,4.0,-1.0,20767531,6,0.05,4096,1,1,3.155132762948325
identity,x,4.0,-1.0,20767548,7,0.05,4096,1,1,3.120327145336259
identity,x,4.0,-1.0,20767565,8,0.05,4096,1,1,3.1546708279558136
identity,x,4.0,-1.0,20767582,9,0.05,4096,1,1,3.141594918551179
identity,x,4.0,0.0,20768429,0,0.05,4096,1,1,3.1199396843985046
identity,x,4.0,0.0,20768446,1,0.05,4096,1,1,3.1583990109189832
identity,x,4.0,0.0,20768463,2,0.05,4096,1,1,3.127963889980654
identity,x,4.0,0.0,20768480,3,0.05,4096,1,1,3.1378988978632063
identity,x,4.0,0.0,20768497,4,0.05,4096,1,1,3.15345079283628
identity,x,4.0,0.0,20768514,5,0.05,4096,1,1,3.1105653704006215
identity,x,4.0,0.0,20768531,6,0.05,4096,1,1,3.1525518317491685
identity,x,4.0,0.0,20768548,7,0.05,4096,1,1,3.133283339753368
identity,x,4.0,0.0,20768565,8,0.05,4096,1,1,3.1578998822589277
identity,x,4.0,0.0,20768582,9,0.05,4096,1,1,3.152487864526636
identity,x,4.0,1.0,20769429,0,0.05,4096,1,1,3.1275292658455696
identity,x,4.0,1.0,20769446,1,0.05,4096,1,1,3.151359433371491
identity,x,4.0,1.0,20769463,2,0.05,4096,1,1,3.14223591875489
identity,x,4.0,1.0,20769480,3,0.05,4096,1,1,3.133653654587862
identity,x,4.0,1.0,20769497,4,0.05,4096,1,1,3.140570094640424
identity,x,4.0,1.0,20769514,5,0.05,4096,1,1,3.146326889603232
identity,x,4.0,1.0,20769531,6,0.05,4096,1,1,3.1307260821019507
identity,x,4.0,1.0,20769548,7,0.05,4096,1,1,3.167954472195958
identity,x,4.0,1.0,20769565,8,0.05,4096,1,1,3.1299597248142934
identity,x,4.0,1.0,20769582,9,0.05,4096,1,1,3.1323803337494054
identity,x,4.0,2.0,20770429,0,0.05,4096,1,1,3.138152812140336
identity,x,4.0,2.0,20770446,1,0.05,4096,1,1,3.1470315993076494
identity,x,4.0,2.0,20770463,2,0.05,4096,1,1,3.1483607834023566
identity,x,4.0,2.0,20770480,3,0.05,4096,1,1,3.154201203643227
identity,x,4.0,2.0,20770497,4,0.05,4096,1,1,3.1487680034040673
identity,x,4.0,2.0,20770514,5,0.05,4096,1,1,3.1505428769500448
identity,x,4.0,2.0,20770531,6,0.05,4096,1,1,3.15241404664504
identity,x,4.0,2.0,20770548,7,0.05,4096,1,1,3.152143742995387
identity,x,4.0,2.0,20770565,8,0.05,4096,1,1,3.1308620283898234
identity,x,4.0,2.0,20770582,9,0.05,4096,1,1,3.1219710097312863
identity,x,4.0,3.0,20771429,0,0.05,4096,1,1,3.152840512016728
identity,x,4.0,3.0,20771446,1,0.05,4096,1,1,3.1462875545488123
identity,x,4.0,3.0,20771463,2,0.05,4096,1,1,3.162762896416409
identity,x,4.0,3.0,20771480,3,0.05,4096,1,1,3.1425338712186317
identity,x,4.0,3.0,20771497,4,0.05,4096,1,1,3.13980272647921
identity,x,4.0,3.0,20771514,5,0.05,4096,1,1,3.123063399221018
identity,x,4.0,3.0,20771531,6,0.05,4096,1,1,3.124173899383409
identity,x,4.0,3.0,20771548,7,0.05,4096,1,1,3.144845444872543
identity,x,4.0,3.0,20771565,8,0.05,4096,1,1,3.1655690667172234
identity,x,4.0,3.0,20771582,9,0.05,4096,1,1,3.1595856507854014
identity,x,4.0,4.0,20772429,0,0.05,4096,1,1,3.157079404148123
identity,x,4.0,4.0,20772446,1,0.05,4096,1,1,3.123763335749828
identity,x,4.0,4.0,20772463,2,0.05,4096,1,1,3.132433169885437
identity,x,4.0,4.0,20772480,3,0.05,4096,1,1,3.134949024430262
identity,x,4.0,4.0,20772497,4,0.05,4096,1,1,3.1302733614352967
identity,x,4.0,4.0,20772514,5,0.05,4096,1,1,3.125521392456844
identity,x,4.0,4.0,20772531,6,0.05,4096,1,1,3.14279845974919
identity,x,4.0,4.0,20772548,7,0.05,4096,1,1,3.1555979834082426
identity,x,4.0,4.0,20772565,8,0.05,4096,1,1,3.1365745812955477
identity,x,4.0,4.0,20772582,9,0.05,4096,1,1,3.1383956506420185
identity,x,4.0,5.0,20773429,0,0.05,4096,1,1,3.1434711953331727
identity,x,4.0,5.0,20773446,1,0.05,4096,1,1,3.135547941797171
identity,x,4.0,5.0,20773463,2,0.05,4096,1,1,3.1373792741044246
identity,x,4.0,5.0,20773480,3,0.05,4096,1,1,3.1454055207736036
identity,x,4.0,5.0,20773497,4,0.05,4096,1,1,3.140160698526814
identity,x,4.0,5.0,20773514,5,0.05,4096,1,1,3.144483826354028
identity,x,4.0,5.0,20773531,6,0.05,4096,1,1,3.160995052367919
identity,x,4.0,5.0,20773548,7,0.05,4096,1,1,3.1488709077901698
identity,x,4.0,5.0,20773565,8,0.05,4096,1,1,3.1403682178934123
identity,x,4.0,5.0,20773582,9,0.05,4096,1,1,3.140392622464803
identity,x,4.0,6.0,20774429,0,0.05,4096,1,1,3.136478402254525
identity,x,4.0,6.0,20774446,1,0.05,4096,1,1,3.143671496026503
identity,x,4.0,6.0,20774463,2,0.05,4096,1,1,3.149322800523874
identity,x,4.0,6.0,20774480,3,0.05,4096,1,1,3.1190366904642564
identity,x,4.0,6.0,20774497,4,0.05,4096,1,1,3.1472120680422906
identity,x,4.0,6.0,20774514,5,0.05,4096,1,1,3.158681067281667
identity,x,4.0,6.0,20774531,6,0.05,4096,1,1,3.126647909795536
identity,x,4.0,6.0,20774548,7,0.05,4096,1,1,3.120262064077317
identity,x,4.0,6.0,20774565,8,0.05,4096,1,1,3.151697812270624
identity,x,4.0,6.0,20774582,9,0.05,4096,1,1,3.1362554219683387
identity,x,4.0,7.0,20775429,0,0.05,4096,1,1,3.1510752165743634
identity,x,4.0,7.0,20775446,1,0.05,4096,1,1,3.123643389588205
identity,x,4.0,7.0,20775463,2,0.05,4096,1,1,3.122215189712468
identity,x,4.0,7.0,20775480,3,0.05,4096,1,1,3.1433004630072823
identity,x,4.0,7.0,20775497,4,0.05,4096,1,1,3.1475033019678924
identity,x,4.0,7.0,20775514,5,0.05,4096,1,1,3.1299499427632567
identity,x,4.0,7.0,20775531,6,0.05,4096,1,1,3.1381784879486543
identity,x,4.0,7.0,20775548,7,0.05,4096,1,1,3.1471519217011283
identity,x,4.0,7.0,20775565,8,0.05,4096,1,1,3.157656648826176
identity,x,4.0,7.0,20775582,9,0.05,4096,1,1,3.1329278232906477
identity,x,4.0,8.0,20776429,0,0.05,4096,1,1,3.130739726953265
identity,x,4.0,8.0,20776446,1,0.05,4096,1,1,3.1455808050384135
identity,x,4.0,8.0,20776463,2,0.05,4096,1,1,3.146396216490496
identity,x,4.0,8.0,20776480,3,0.05,4096,1,1,3.1464789128976705
identity,x,4.0,8.0,20776497,4,0.05,4096,1,1,3.1378462522187203
identity,x,4.0,8.0,20776514,5,0.05,4096,1,1,3.136189252224037
identity,x,4.0,8.0,20776531,6,0.05,4096,1,1,3.1295188041667883
identity,x,4.0,8.0,20776548,7,0.05,4096,1,1,3.1429726925639523
identity,x,4.0,8.0,20776565,8,0.05,4096,1,1,3.165229371366956
identity,x,4.0,8.0,20776582,9,0.05,4096,1,1,3.1363856592044135
square,x^2,4.0,-8.0,20860429,0,0.05,4096,1,1,5.900442330732371
square,x^2,4.0,-8.0,20860446,1,0.05,4096,1,1,5.9192357103888895
square,x^2,4.0,-8.0,20860463,2,0.05,4096,1,1,5.923038275912135
square,x^2,4.0,-8.0,20860480,3,0.05,4096,1,1,5.918223881747995
square,x^2,4.0,-8.0,20860497,4,0.05,4096,1,1,5.886817045846919
square,x^2,4.0,-8.0,20860514,5,0.05,4096,1,1,5.910781169729441
square,x^2,4.0,-8.0,20860531,6,0.05,4096,1,1,5.934884605273846
square,x^2,4.0,-8.0,20860548,7,0.05,4096,1,1,5.898372778168538
square,x^2,4.0,-8.0,20860565,8,0.05,4096,1,1,5.931704972877497
square,x^2,4.0,-8.0,20860582,9,0.05,4096,1,1,5.905184885538763
square,x^2,4.0,-7.0,20861429,0,0.05,4096,1,1,5.784285065749588
square,x^2,4.0,-7.0,20861446,1,0.05,4096,1,1,5.758799502755491
square,x^2,4.0,-7.0,20861463,2,0.05,4096,1,1,5.771156009144943
square,x^2,4.0,-7.0,20861480,3,0.05,4096,1,1,5.776770065388002
square,x^2,4.0,-7.0,20861497,4,0.05,4096,1,1,5.797540063834678
square,x^2,4.0,-7.0,20861514,5,0.05,4096,1,1,5.789892143375061
square,x^2,4.0,-7.0,20861531,6,0.05,4096,1,1,5.7669649128617735
square,x^2,4.0,-7.0,20861548,7,0.05,4096,1,1,5.780897695032216
square,x^2,4.0,-7.0,20861565,8,0.05,4096,1,1,5.760765531631479
square,x^2,4.0,-7.0,20861582,9,0.05,4096,1,1,5.7838297182242755
square,x^2,4.0,-6.0,20862429,0,0.05,4096,1,1,5.6340213336668725
square,x^2,4.0,-6.0,20862446,1,0.05,4096,1,1,5.620457219315497
square,x^2,4.0,-6.0,20862463,2,0.05,4096,1,1,5.625628969300889
square,x^2,4.0,-6.0,20862480,3,0.05,4096,1,1,5.627804239530023
square,x^2,4.0,-6.0,20862497,4,0.05,4096,1,1,5.630685326057224
square,x^2,4.0,-6.0,20862514,5,0.05,4096,1,1,5.6188554686996515
square,x^2,4.0,-6.0,20862531,6,0.05,4096,1,1,5.635163958685197
square,x^2,4.0,-6.0,20862548,7,0.05,4096,1,1,5.630362051770626
square,x^2,4.0,-6.0,20862565,8,0.05,4096,1,1,5.636417702828379
square,x^2,4.0,-6.0,20862582,9,0.05,4096,1,1,5.623942204632213
square,x^2,4.0,-5.0,20863429,0,0.05,4096,1,1,5.446303180548886
square,x^2,4.0,-5.0,20863446,1,0.05,4096,1,1,5.46830789950342
square,x^2,4.0,-5.0,20863463,2,0.05,4096,1,1,5.432813628203361
square,x^2,4.0,-5.0,20863480,3,0.05,4096,1,1,5.440072040301912
square,x^2,4.0,-5.0,20863497,4,0.05,4096,1,1,5.430241092098963
square,x^2,4.0,-5.0,20863514,5,0.05,4096,1,1,5.4296862624464515
square,x^2,4.0,-5.0,20863531,6,0.05,4096,1,1,5.437827981835745
square,x^2,4.0,-5.0,20863548,7,0.05,4096,1,1,5.429843708708754
square,x^2,4.0,-5.0,20863565,8,0.05,4096,1,1,5.44239487723909
square,x^2,4.0,-5.0,20863582,9,0.05,4096,1,1,5.422589917248286
square,x^2,4.0,-4.0,20864429,0,0.05,4096,1,1,5.222481186137628
square,x^2,4.0,-4.0,20864446,1,0.05,4096,1,1,5.2394088139443635
square,x^2,4.0,-4.0,20864463,2,0.05,4096,1,1,5.222893471849703
square,x^2,4.0,-4.0,20864480,3,0.05,4096,1,1,5.22952884701262
square,x^2,4.0,-4.0,20864497,4,0.05,4096,1,1,5.23270220553294
square,x^2,4.0,-4.0,20864514,5,0.05,4096,1,1,5.219078260717906
square,x^2,4.0,-4.0,20864531,6,0.05,4096,1,1,5.212986605419734
square,x^2,4.0,-4.0,20864548,7,0.05,4096,1,1,5.234184201519248
square,x^2,4.0,-4.0,20864565,8,0.05,4096,1,1,5.207270903406243
square,x^2,4.0,-4.0,20864582,9,0.05,4096,1,1,5.24342411200007
square,x^2,4.0,-3.0,20865429,0,0.05,4096,1,1,4.95997273620002
square,x^2,4.0,-3.0,20865446,1,0.05,4096,1,1,4.961741841908299
square,x^2,4.0,-3.0,20865463,2,0.05,4096,1,1,4.929472342409138
square,x^2,4.0,-3.0,20865480,3,0.05,4096,1,1,4.950114184510719
square,x^2,4.0,-3.0,20865497,4,0.05,4096,1,1,4.954813125312534
square,x^2,4.0,-3.0,20865514,5,0.05,4096,1,1,4.954124854601389
square,x^2,4.0,-3.0,20865531,6,0.05,4096,1,1,4.9326387370023035
square,x^2,4.0,-3.0,20865548,7,0.05,4096,1,1,4.929589308550195
square,x^2,4.0,-3.0,20865565,8,0.05,4096,1,1,4.9290803484199035
square,x^2,4.0,-3.0,20865582,9,0.05,4096,1,1,4.940897827691207
square,x^2,4.0,-2.0,20866429,0,0.05,4096,1,1,4.570452557662934
square,x^2,4.0,-2.0,20866446,1,0.05,4096,1,1,4.575109025491026
square,x^2,4.0,-2.0,20866463,2,0.05,4096,1,1,4.560389396872907
square,x^2,4.0,-2.0,20866480,3,0.05,4096,1,1,4.564027909196486
square,x^2,4.0,-2.0,20866497,4,0.05,4096,1,1,4.540560569068625
square,x^2,4.0,-2.0,20866514,5,0.05,4096,1,1,4.570728846104629
square,x^2,4.0,-2.0,20866531,6,0.05,4096,1,1,4.574922401729594
square,x^2,4.0,-2.0,20866548,7,0.05,4096,1,1,4.5532916688643645
square,x^2,4.0,-2.0,20866565,8,0.05,4096,1,1,4.551937704116126
square,x^2,4.0,-2.0,20866582,9,0.05,4096,1,1,4.573935544274457
square,x^2,4.0,-1.0,20867429,0,0.05,4096,1,1,3.9751536416226223
square,x^2,4.0,-1.0,20867446,1,0.05,4096,1,1,3.9393778282590306
square,x^2,4.0,-1.0,20867463,2,0.05,4096,1,1,3.9446010924310118
square,x^2,4.0,-1.0,20867480,3,0.05,4096,1,1,3.9745455107345933
square,x^2,4.0,-1.0,20867497,4,0.05,4096,1,1,3.9089941777570334
square,x^2,4.0,-1.0,20867514,5,0.05,4096,1,1,3.9364091607895837
square,x^2,4.0,-1.0,20867531,6,0.05,4096,1,1,3.9573934529169073
square,x^2,4.0,-1.0,20867548,7,0.05,4096,1,1,3.946525694690981
square,x^2,4.0,-1.0,20867565,8,0.05,4096,1,1,3.9562515660813258
square,x^2,4.0,-1.0,20867582,9,0.05,4096,1,1,3.9415296554870083
square,x^2,4.0,0.0,20868429,0,0.05,4096,1,1,3.1799819964290315
square,x^2,4.0,0.0,20868446,1,0.05,4096,1,1,3.1759791915777136
square,x^2,4.0,0.0,20868463,2,0.05,4096,1,1,3.1693716338270503
square,x^2,4.0,0.0,20868480,3,0.05,4096,1,1,3.1781400736085663
square,x^2,4.0,0.0,20868497,4,0.05,4096,1,1,3.147050542329901
square,x^2,4.0,0.0,20868514,5,0.05,4096,1,1,3.184113414109489
square,x^2,4.0,0.0,20868531,6,0.05,4096,1,1,3.179664683622648
square,x^2,4.0,0.0,20868548,7,0.05,4096,1,1,3.1536142019045714
square,x^2,4.0,0.0,20868565,8,0.05,4096,1,1,3.1961164180526938
square,x^2,4.0,0.0,20868582,9,0.05,4096,1,1,3.166256159854407
square,x^2,4.0,1.0,20869429,0,0.05,4096,1,1,3.947983248052087
square,x^2,4.0,1.0,20869446,1,0.05,4096,1,1,3.9473351495763596
square,x^2,4.0,1.0,20869463,2,0.05,4096,1,1,3.9570493921481575
square,x^2,4.0,1.0,20869480,3,0.05,4096,1,1,3.949615676566757
square,x^2,4.0,1.0,20869497,4,0.05,4096,1,1,3.9139180355225767
square,x^2,4.0,1.0,20869514,5,0.05,4096,1,1,3.942677110562143
square,x^2,4.0,1.0,20869531,6,0.05,4096,1,1,3.964006725070023
square,x^2,4.0,1.0,20869548,7,0.05,4096,1,1,3.9294972985888372
square,x^2,4.0,1.0,20869565,8,0.05,4096,1,1,3.961439267340869
square,x^2,4.0,1.0,20869582,9,0.05,4096,1,1,3.970196221298485
square,x^2,4.0,2.0,20870429,0,0.05,4096,1,1,4.553291474165983
square,x^2,4.0,2.0,20870446,1,0.05,4096,1,1,4.557775154080282
square,x^2,4.0,2.0,20870463,2,0.05,4096,1,1,4.559038558102802
square,x^2,4.0,2.0,20870480,3,0.05,4096,1,1,4.558400549341265
square,x^2,4.0,2.0,20870497,4,0.05,4096,1,1,4.556039615129376
square,x^2,4.0,2.0,20870514,5,0.05,4096,1,1,4.577564186536422
square,x^2,4.0,2.0,20870531,6,0.05,4096,1,1,4.557639535103388
square,x^2,4.0,2.0,20870548,7,0.05,4096,1,1,4.545551841366038
square,x^2,4.0,2.0,20870565,8,0.05,4096,1,1,4.569785736956523
square,x^2,4.0,2.0,20870582,9,0.05,4096,1,1,4.566878073502886
square,x^2,4.0,3.0,20871429,0,0.05,4096,1,1,4.943244544922715
square,x^2,4.0,3.0,20871446,1,0.05,4096,1,1,4.927466658489628
square,x^2,4.0,3.0,20871463,2,0.05,4096,1,1,4.953625243981018
square,x^2,4.0,3.0,20871480,3,0.05,4096,1,1,4.948930388715089
square,x^2,4.0,3.0,20871497,4,0.05,4096,1,1,4.949900910364305
square,x^2,4.0,3.0,20871514,5,0.05,4096,1,1,4.953437535000186
square,x^2,4.0,3.0,20871531,6,0.05,4096,1,1,4.939880266270569
square,x^2,4.0,3.0,20871548,7,0.05,4096,1,1,4.9555370870559
square,x^2,4.0,3.0,20871565,8,0.05,4096,1,1,4.957364397671487
square,x^2,4.0,3.0,20871582,9,0.05,4096,1,1,4.978150012756693
square,x^2,4.0,4.0,20872429,0,0.05,4096,1,1,5.224792666288143
square,x^2,4.0,4.0,20872446,1,0.05,4096,1,1,5.240951702484225
square,x^2,4.0,4.0,20872463,2,0.05,4096,1,1,5.204904346508082
square,x^2,4.0,4.0,20872480,3,0.05,4096,1,1,5.237813134569809
square,x^2,4.0,4.0,20872497,4,0.05,4096,1,1,5.249928901016236
square,x^2,4.0,4.0,20872514,5,0.05,4096,1,1,5.21216886332612
square,x^2,4.0,4.0,20872531,6,0.05,4096,1,1,5.229583958395121
square,x^2,4.0,4.0,20872548,7,0.05,4096,1,1,5.245830702949886
square,x^2,4.0,4.0,20872565,8,0.05,4096,1,1,5.226511368087211
square,x^2,4.0,4.0,20872582,9,0.05,4096,1,1,5.222295333650441
square,x^2,4.0,5.0,20873429,0,0.05,4096,1,1,5.440438488910523
square,x^2,4.0,5.0,20873446,1,0.05,4096,1,1,5.465215848712019
square,x^2,4.0,5.0,20873463,2,0.05,4096,1,1,5.431540883343256
square,x^2,4.0,5.0,20873480,3,0.05,4096,1,1,5.455385567108057
square,x^2,4.0,5.0,20873497,4,0.05,4096,1,1,5.4330165665641665
square,x^2,4.0,5.0,20873514,5,0.05,4096,1,1,5.4665570077196515
square,x^2,4.0,5.0,20873531,6,0.05,4096,1,1,5.446205498496932
square,x^2,4.0,5.0,20873548,7,0.05,4096,1,1,5.440729661629829
square,x^2,4.0,5.0,20873565,8,0.05,4096,1,1,5.451530197803309
square,x^2,4.0,5.0,20873582,9,0.05,4096,1,1,5.4666237382450245
square,x^2,4.0,6.0,20874429,0,0.05,4096,1,1,5.631290934736544
square,x^2,4.0,6.0,20874446,1,0.05,4096,1,1,5.613245106660829
square,x^2,4.0,6.0,20874463,2,0.05,4096,1,1,5.632500430722414
square,x^2,4.0,6.0,20874480,3,0.05,4096,1,1,5.6243208111118514
square,x^2,4.0,6.0,20874497,4,0.05,4096,1,1,5.659739606833638
square,x^2,4.0,6.0,20874514,5,0.05,4096,1,1,5.649245002079982
square,x^2,4.0,6.0,20874531,6,0.05,4096,1,1,5.625436230191259
square,x^2,4.0,6.0,20874548,7,0.05,4096,1,1,5.638588856117217
square,x^2,4.0,6.0,20874565,8,0.05,4096,1,1,5.6290850394724705
