dynamics,label,L,seed,repeat,noise_mode,noise_std,n_samples,sample_count_mode,reference_l,source_dim,target_dim,ei_tm
identity,identity,0.5,20260429,0,fixed,0.05,512,fixed_density,4.0,1,1,1.1430479849131987
identity,identity,0.5,20260446,1,fixed,0.05,512,fixed_density,4.0,1,1,1.1180446582934775
identity,identity,0.5,20260463,2,fixed,0.05,512,fixed_density,4.0,1,1,1.120355520600353
identity,identity,0.5,20260480,3,fixed,0.05,512,fixed_density,4.0,1,1,1.05539629562718
identity,identity,0.5,20260497,4,fixed,0.05,512,fixed_density,4.0,1,1,1.1520932862026405
identity,identity,0.5,20260514,5,fixed,0.05,512,fixed_density,4.0,1,1,1.0873911848032285
identity,identity,0.5,20260531,6,fixed,0.05,512,fixed_density,4.0,1,1,1.1315967490186016
identity,identity,0.5,20260548,7,fixed,0.05,512,fixed_density,4.0,1,1,1.1103141087446746
identity,identity,0.5,20260565,8,fixed,0.05,512,fixed_density,4.0,1,1,1.1168274971106287
identity,identity,0.5,20260582,9,fixed,0.05,512,fixed_density,4.0,1,1,1.1362606667063189
identity,identity,1.0,20261429,0,fixed,0.05,1024,fixed_density,4.0,1,1,1.7478727060014247
identity,identity,1.0,20261446,1,fixed,0.05,1024,fixed_density,4.0,1,1,1.7609919839311319
identity,identity,1.0,20261463,2,fixed,0.05,1024,fixed_density,4.0,1,1,1.7769529453297017
identity,identity,1.0,20261480,3,fixed,0.05,1024,fixed_density,4.0,1,1,1.7906150864189585
identity,identity,1.0,20261497,4,fixed,0.05,1024,fixed_density,4.0,1,1,1.760439101855368
identity,identity,1.0,20261514,5,fixed,0.05,1024,fixed_density,4.0,1,1,1.7773667525498285
identity,identity,1.0,20261531,6,fixed,0.05,1024,fixed_density,4.0,1,1,1.7771058707934408
identity,identity,1.0,20261548,7,fixed,0.05,1024,fixed_density,4.0,1,1,1.8017666368557121
identity,identity,1.0,20261565,8,fixed,0.05,1024,fixed_density,4.0,1,1,1.7901260528536775
identity,identity,1.0,20261582,9,fixed,0.05,1024,fixed_density,4.0,1,1,1.8027452201536591
identity,identity,2.0,20262429,0,fixed,0.05,2048,fixed_density,4.0,1,1,2.441234247304007
identity,identity,2.0,20262446,1,fixed,0.05,2048,fixed_density,4.0,1,1,2.4603093656789046
identity,identity,2.0,20262463,2,fixed,0.05,2048,fixed_density,4.0,1,1,2.449313435792128
identity,identity,2.0,20262480,3,fixed,0.05,2048,fixed_density,4.0,1,1,2.4503709762721186
identity,identity,2.0,20262497,4,fixed,0.05,2048,fixed_density,4.0,1,1,2.4605775066685176
identity,identity,2.0,20262514,5,fixed,0.05,2048,fixed_density,4.0,1,1,2.447916708707543
identity,identity,2.0,20262531,6,fixed,0.05,2048,fixed_density,4.0,1,1,2.4752652233642074
identity,identity,2.0,20262548,7,fixed,0.05,2048,fixed_density,4.0,1,1,2.4269832465762677
identity,identity,2.0,20262565,8,fixed,0.05,2048,fixed_density,4.0,1,1,2.470788459271728
identity,identity,2.0,20262582,9,fixed,0.05,2048,fixed_density,4.0,1,1,2.438266764456544
identity,identity,4.0,20263429,0,fixed,0.05,4096,fixed_density,4.0,1,1,3.147417165062098
identity,identity,4.0,20263446,1,fixed,0.05,4096,fixed_density,4.0,1,1,3.137813492521702
identity,identity,4.0,20263463,2,fixed,0.05,4096,fixed_density,4.0,1,1,3.1456297504373056
identity,identity,4.0,20263480,3,fixed,0.05,4096,fixed_density,4.0,1,1,3.1388878689168056
identity,identity,4.0,20263497,4,fixed,0.05,4096,fixed_density,4.0,1,1,3.1533139381190005
identity,identity,4.0,20263514,5,fixed,0.05,4096,fixed_density,4.0,1,1,3.114513697692526
identity,identity,4.0,20263531,6,fixed,0.05,4096,fixed_density,4.0,1,1,3.1453097298628503
identity,identity,4.0,20263548,7,fixed,0.05,4096,fixed_density,4.0,1,1,3.1372761622775474
identity,identity,4.0,20263565,8,fixed,0.05,4096,fixed_density,4.0,1,1,3.156938592368296
identity,identity,4.0,20263582,9,fixed,0.05,4096,fixed_density,4.0,1,1,3.144324123719598
identity,identity,8.0,20264429,0,fixed,0.05,8192,fixed_density,4.0,1,1,3.83552657938473
identity,identity,8.0,20264446,1,fixed,0.05,8192,fixed_density,4.0,1,1,3.828238931080104
identity,identity,8.0,20264463,2,fixed,0.05,8192,fixed_density,4.0,1,1,3.8267817976610314
identity,identity,8.0,20264480,3,fixed,0.05,8192,fixed_density,4.0,1,1,3.8265374547666537
identity,identity,8.0,20264497,4,fixed,0.05,8192,fixed_density,4.0,1,1,3.8339722181406692
identity,identity,8.0,20264514,5,fixed,0.05,8192,fixed_density,4.0,1,1,3.8324351586246177
identity,identity,8.0,20264531,6,fixed,0.05,8192,fixed_density,4.0,1,1,3.8373373919180898
identity,identity,8.0,20264548,7,fixed,0.05,8192,fixed_density,4.0,1,1,3.8306718644897955
identity,identity,8.0,20264565,8,fixed,0.05,8192,fixed_density,4.0,1,1,3.844701137544189
identity,identity,8.0,20264582,9,fixed,0.05,8192,fixed_density,4.0,1,1,3.8273679164485936
identity,identity,12.0,20265429,0,fixed,0.05,12288,fixed_density,4.0,1,1,4.237441933593021
identity,identity,12.0,20265446,1,fixed,0.05,12288,fixed_density,4.0,1,1,4.243054936700221
identity,identity,12.0,20265463,2,fixed,0.05,12288,fixed_density,4.0,1,1,4.236255694827399
identity,identity,12.0,20265480,3,fixed,0.05,12288,fixed_density,4.0,1,1,4.242738136832565
identity,identity,12.0,20265497,4,fixed,0.05,12288,fixed_density,4.0,1,1,4.235554262819114
identity,identity,12.0,20265514,5,fixed,0.05,12288,fixed_density,4.0,1,1,4.23350982042359
identity,identity,12.0,20265531,6,fixed,0.05,12288,fixed_density,4.0,1,1,4.249127599254055
identity,identity,12.0,20265548,7,fixed,0.05,12288,fixed_density,4.0,1,1,4.231270618163858
identity,identity,12.0,20265565,8,fixed,0.05,12288,fixed_density,4.0,1,1,4.2314900372600155
identity,identity,12.0,20265582,9,fixed,0.05,12288,fixed_density,4.0,1,1,4.245350863885982
identity,identity,16.0,20266429,0,fixed,0.05,16384,fixed_density,4.0,1,1,4.532586221481095
identity,identity,16.0,20266446,1,fixed,0.05,16384,fixed_density,4.0,1,1,4.53082264701489
identity,identity,16.0,20266463,2,fixed,0.05,16384,fixed_density,4.0,1,1,4.514722188173426
identity,identity,16.0,20266480,3,fixed,0.05,16384,fixed_density,4.0,1,1,4.518175358278727
identity,identity,16.0,20266497,4,fixed,0.05,16384,fixed_density,4.0,1,1,4.520237630412408
identity,identity,16.0,20266514,5,fixed,0.05,16384,fixed_density,4.0,1,1,4.527195846422538
identity,identity,16.0,20266531,6,fixed,0.05,16384,fixed_density,4.0,1,1,4.533285193934365
identity,identity,16.0,20266548,7,fixed,0.05,16384,fixed_density,4.0,1,1,4.518334332719227
identity,identity,16.0,20266565,8,fixed,0.05,16384,fixed_density,4.0,1,1,4.526109677521216
identity,identity,16.0,20266582,9,fixed,0.05,16384,fixed_density,4.0,1,1,4.518431827477997
identity,identity,0.5,20260429,0,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.8012271924590466
identity,identity,0.5,20260446,1,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7549250770209963
identity,identity,0.5,20260463,2,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7580396692487565
identity,identity,0.5,20260480,3,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.716905175898039
identity,identity,0.5,20260497,4,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.8048142359780683
identity,identity,0.5,20260514,5,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7340708386910437
identity,identity,0.5,20260531,6,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7827233213858085
identity,identity,0.5,20260548,7,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7634629723066437
identity,identity,0.5,20260565,8,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7686118452243451
identity,identity,0.5,20260582,9,scaled_with_l,0.025,512,fixed_density,4.0,1,1,1.7954480716843522
identity,identity,1.0,20261429,0,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7478727060014247
identity,identity,1.0,20261446,1,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7609919839311319
identity,identity,1.0,20261463,2,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7769529453297017
identity,identity,1.0,20261480,3,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7906150864189585
identity,identity,1.0,20261497,4,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.760439101855368
identity,identity,1.0,20261514,5,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7773667525498285
identity,identity,1.0,20261531,6,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7771058707934408
identity,identity,1.0,20261548,7,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.8017666368557121
identity,identity,1.0,20261565,8,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.7901260528536775
identity,identity,1.0,20261582,9,scaled_with_l,0.05,1024,fixed_density,4.0,1,1,1.8027452201536591
identity,identity,2.0,20262429,0,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7578127029369104
identity,identity,2.0,20262446,1,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.778627972010571
identity,identity,2.0,20262463,2,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7631269149204618
identity,identity,2.0,20262480,3,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7659685542205268
identity,identity,2.0,20262497,4,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7773029076057452
identity,identity,2.0,20262514,5,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.766817598538735
identity,identity,2.0,20262531,6,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7933996327956827
identity,identity,2.0,20262548,7,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7451345289195044
identity,identity,2.0,20262565,8,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7926273260115888
identity,identity,2.0,20262582,9,scaled_with_l,0.1,2048,fixed_density,4.0,1,1,1.7523567749981241
identity,identity,4.0,20263429,0,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7748458012142665
identity,identity,4.0,20263446,1,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7619496435173798
identity,identity,4.0,20263463,2,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7778647685858524
identity,identity,4.0,20263480,3,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7644722824441255
identity,identity,4.0,20263497,4,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7828063755790269
identity,identity,4.0,20263514,5,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7421228298251044
identity,identity,4.0,20263531,6,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7754808209821267
identity,identity,4.0,20263548,7,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7612908626855601
identity,identity,4.0,20263565,8,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7838098638088713
identity,identity,4.0,20263582,9,scaled_with_l,0.2,4096,fixed_density,4.0,1,1,1.7723780521718457
identity,identity,8.0,20264429,0,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7714212568935181
identity,identity,8.0,20264446,1,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.764262712707167
identity,identity,8.0,20264463,2,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7637493499672794
identity,identity,8.0,20264480,3,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7631268533884266
identity,identity,8.0,20264497,4,scaled_with_l,0.4,8192,fixed_density,4.0,1,1,1.7693682561353186
