L,alpha,repeat,q1_noise_std,tm_ei,tm_syn,tm_single_q2,tm_single_q3
1.0,0.0,0,0.05,1.7806305496373365,-0.0006963039559692148,1.7806523345960295,0.0006745189972762318
1.0,0.0,1,0.05,1.7815453619157215,-0.000451256699262806,1.7818656252882605,0.00013099332672381902
1.0,0.0,2,0.05,1.7781486752837132,0.0002762148109440783,1.7775212576877388,0.0003512027850303216
1.0,0.0,3,0.05,1.7748639037244547,-8.677966457160124e-05,1.7749506833890263,0.0
1.0,0.5,0,0.05,1.1337219630067121,0.2571058893114929,0.8766160736952192,0.0
1.0,0.5,1,0.05,1.1439963701827427,0.2592791909687471,0.8847171792139956,0.0
1.0,0.5,2,0.05,1.1623461658271792,0.27995477473340014,0.8823913910937791,0.0
1.0,0.5,3,0.05,1.125859457058859,0.2502281967335945,0.874502698501366,0.0011285618238984696
1.0,1.0,0,0.05,0.6713685326951343,0.6707823890604487,0.00014132445001223005,0.00044481918467328225
1.0,1.0,1,0.05,0.6662383152696095,0.6662076461026568,3.066916695266592e-05,0.0
1.0,1.0,2,0.05,0.672073093834585,0.672073093834585,0.0,0.0
1.0,1.0,3,0.05,0.6724803867681234,0.6724288865272784,0.0,5.150024084499694e-05
2.0,0.0,0,0.05,2.4549495610209413,-0.0006285772014148839,2.4548419202971323,0.000736217925223861
2.0,0.0,1,0.05,2.44819138358779,-0.0002642260669349916,2.448455609654725,0.0
2.0,0.0,2,0.05,2.4626678243274553,-0.00019868750982357357,2.4627036631467476,0.00016284869053131816
2.0,0.0,3,0.05,2.4297107969121075,0.00012694885267983125,2.4295838480594276,0.0
2.0,0.5,0,0.05,1.8590058645320429,1.1493826863768635,0.7092843751167752,0.0003388030384042445
2.0,0.5,1,0.05,1.9045205893843904,1.2016992731436544,0.702821316240736,0.0
2.0,0.5,2,0.05,1.9018174999376292,1.1952929619643318,0.704925303948834,0.0015992340244633647
2.0,0.5,3,0.05,1.8976591837652956,1.1876486333700895,0.7100105503952061,0.0
