source,target,lag,coefficient,p_value
0,0,1,0.6096392553950514,9.207370705579071e-210
0,0,3,0.1318701322917425,4.4009420506141655e-22
1,0,2,-0.15249971258028897,8.092953687383984e-32
12,0,1,-0.07582188976233403,1.2074914931777836e-09
15,0,1,0.06536501438264485,9.138433894262431e-08
17,0,1,-0.08643350838724176,1.481844782369167e-11
19,0,2,-0.05793728235851085,1.3265837373643924e-06
21,0,1,0.09469957581479446,1.6193401720326813e-12
22,0,1,-0.09080921317333279,2.8906161694706493e-09
26,0,1,0.05696530326605672,1.8407633708842104e-06
28,0,1,-0.04222306865194448,0.0006608928529419621
29,0,1,0.04682074970147322,0.00011256528596279281
36,0,1,0.041476909387015225,0.0006654327047534058
41,0,1,-0.07974559931121514,5.404025248955324e-10
42,0,1,0.05761017559689835,2.9080351371961527e-06
46,0,1,-0.07344416937449166,1.0909557085742486e-09
52,0,1,-0.0977806368307612,2.113038848890721e-15
57,0,1,-0.08193427094356724,2.0273800829155113e-11
0,1,1,-0.05644675933088539,0.016731902654034618
1,1,1,0.5827786577880265,1.2886211331431985e-225
1,1,4,0.10009924748993371,1.4065792942510061e-11
3,1,1,-0.10704092083958108,4.6552711879843844e-08
6,1,1,-0.09851949257041054,5.791741945423647e-10
9,1,2,0.1347207297541057,2.489862683843331e-16
13,1,1,0.10565817734672128,2.941841742778608e-13
16,1,3,-0.047451192038415725,0.0005064361567168184
17,1,1,-0.0883070988469712,1.0721538489986848e-08
22,1,1,-0.09140231914600473,2.3605839464783235e-07
25,1,1,0.05447615400411784,0.00033292757777670236
32,1,1,0.04632521332089114,0.001003913747620518
34,1,1,-0.0466036567355207,0.0015859038488227
41,1,1,-0.11831471980950917,7.680239437665743e-15
42,1,1,0.09330802565446264,8.716332613113467e-10
42,1,2,-0.04170888924722008,0.004520274715626358
43,1,1,-0.04405627920486867,0.0028503946601167495
45,1,1,-0.09352520326941854,1.8831156248115954e-09
47,1,1,0.05633116072210627,0.00016237317324758682
52,1,1,-0.09746749785285126,1.8430019108187333e-11
57,1,1,-0.13318849917391543,1.3307277219661804e-20
1,2,2,0.08685899543079727,8.865863434854926e-08
2,2,1,0.43904025547993436,5.58427042026188e-123
2,2,4,0.06150488348974056,0.00011957734267194716
3,2,1,0.12229803990648615,6.610367560000528e-15
6,2,1,0.20786768497100408,1.2903461753320882e-31
6,2,2,-0.07805570818182898,5.416473718900609e-05
7,2,2,0.05791275156408911,0.0007840340835037708
10,2,1,-0.10590416855216803,1.0140357436833986e-12
13,2,1,0.09245724698234375,4.6389363935363747e-10
14,2,3,-0.05679867126286518,0.0001859873729095111
17,2,1,0.09719955361615248,1.720734135271357e-09
18,2,1,0.10906033899412447,3.383767836433647e-12
20,2,2,0.05120503738907207,0.0012313884755575082
21,2,1,0.09490615081170549,5.844137689853337e-09
26,2,1,-0.05190104348982816,0.00028969436189528913
27,2,1,0.09021554881217472,2.9324879850617817e-10
29,2,1,0.07167397384608791,8.853470721669259e-07
35,2,1,0.11092372432092408,1.781381442413185e-13
35,2,2,-0.05475071248641658,0.0002441965129565603
37,2,1,0.1423944774605455,4.199861638511745e-21
37,2,2,-0.07254389501539978,1.6293641998003155e-06
43,2,2,0.041439455490642915,0.004455117728393616
48,2,1,0.051354865344056366,0.0011058473097834167
56,2,1,0.0869062897117546,7.2579182674844e-09
57,2,1,0.10325031699337232,3.513040916136647e-12
1,3,2,-0.0760404340871306,2.2527450770670397e-06
3,3,1,0.5295385220966247,3.875918053266558e-183
3,3,3,0.04094508828076085,0.02590921521506307
3,3,4,0.05965027937790348,0.0002237464718528828
7,3,2,-0.09891543716586124,2.5831561014365735e-11
12,3,1,-0.07559530075810661,1.6537998723499544e-07
13,3,1,0.08860085286918624,1.4018779585830577e-09
16,3,1,-0.05042345474714954,0.00034658399796327297
17,3,1,-0.05230791331130102,0.0003281639591246816
18,3,1,0.08483258535183524,7.117298941707757e-09
20,3,1,-0.09037312498884992,7.187916586941872e-10
20,3,3,0.0553051469194746,0.00010759889185638395
32,3,1,0.053681201622408234,0.0001542161759961936
34,3,1,-0.10740273341997043,5.2141498897420934e-14
36,3,2,0.048042992705567104,0.0010168263042759946
37,3,1,0.1190786455162817,1.1203820560484112e-17
38,3,1,0.04403337503919829,0.002272059476061658
39,3,1,-0.0666744158041683,3.1091499853227924e-06
40,3,2,0.042997747836632606,0.0018904509433475504
41,3,1,-0.08978045676802843,8.224613381160808e-10
47,3,1,0.06712679018302073,5.431536997989803e-06
48,3,3,0.07045265071121412,6.828404764044488e-07
49,3,2,-0.04595022354648159,0.001368077792300279
56,3,2,0.058764495103125106,4.9775598253841916e-05
57,3,1,-0.07367210991750237,1.962865789093826e-07
4,4,1,0.5694567909455598,2.35862891490781e-295
11,4,1,0.0836535278143755,1.3612874557869556e-08
11,4,2,-0.07242296051450076,4.0755728342588456e-06
13,4,3,-0.0826439958873821,7.360818573229224e-10
16,4,1,0.08167367089749163,2.1542103187731525e-09
25,4,1,-0.0782225213974298,1.0835346617390713e-08
28,4,1,0.09685814572912078,9.375663434661068e-12
28,4,2,-0.08159246962381188,9.002946314442525e-09
31,4,1,-0.06739445234618412,5.682358085566497e-07
42,4,2,-0.05701010005519363,2.3711181716355485e-05
43,4,1,0.05532628261488005,3.564797838318269e-05
53,4,3,-0.09008013152058117,3.683084481096645e-11
2,5,1,-0.10619775694664996,6.811312123690284e-11
2,5,2,-0.0931584110161338,1.721352605884561e-08
5,5,1,0.4800029771968845,6.785748984515391e-175
5,5,3,0.05685711227789481,0.000682012994340914
5,5,4,0.06192705025355387,0.0001543295101662357
12,5,1,0.047435727834209206,0.0010124265328866307
15,5,2,0.05113948161395591,0.00034425141707835277
22,5,1,0.1022723229174931,1.967393514482205e-11
27,5,1,0.09161088843928467,3.943089368527559e-11
28,5,1,0.05763355499301046,9.76916932764965e-05
32,5,1,-0.060803737723345894,1.2900839216685253e-05
34,5,1,0.04308815446366975,0.0026658326085192354
36,5,1,-0.05319367993666196,0.0001822625282308419
39,5,1,0.052079686046044425,0.000248090489611324
49,5,1,0.047886784938654475,0.0008532053016678593
52,5,1,0.04865531052733899,0.00045048760363788773
56,5,1,-0.06347300519792502,5.48515689054528e-06
