source,target,lag,coefficient,p_value
0,0,1,0.5821216397432634,4.376904796544788e-182
0,0,3,0.13817485401830146,3.1772835312914504e-24
1,0,2,-0.14944361548246488,9.608869595979505e-31
2,0,1,0.11824006863844068,6.9215125054432155e-15
5,0,1,-0.05462542591954362,0.0003204910563587996
5,0,2,0.059742745413472235,3.011432083312464e-05
10,0,1,0.05011242566243869,2.3110299450713572e-05
11,0,1,0.048194090961560736,0.00011382836345902708
12,0,1,0.05164689995167176,4.518521974746029e-05
13,0,1,-0.09035340479408083,3.8885468081721e-13
17,0,1,-0.05408429750305617,1.5987322520897746e-05
20,0,1,-0.06042352016738685,1.9799247502598673e-06
21,0,1,0.09799655014588869,1.4294958193548394e-12
22,0,1,-0.06842237019876325,2.2421182773352225e-07
24,0,1,-0.12806159980255605,6.48090824746246e-17
25,0,1,0.05222843891114478,9.494716235477085e-06
30,0,1,0.05607489253260268,4.149488628835717e-06
39,0,1,-0.11526331531419044,2.4120591523331715e-17
47,0,1,0.056497555956592636,8.001176279864419e-06
50,0,1,-0.07679167007239811,8.542421618797516e-09
51,0,1,-0.05070567737652502,3.7834456960805706e-05
55,0,1,-0.06929370516742507,2.255400531588903e-08
1,1,1,0.5929372539718119,6.938462166557585e-216
1,1,4,0.09224678215536591,7.018554053855308e-10
2,1,1,0.09936162132268656,5.74250887849916e-09
3,1,1,-0.05871768183051308,0.0018001726307982796
6,1,1,-0.10455894984730675,1.0758511412876966e-08
8,1,2,0.11795756362317453,1.0982692067554862e-14
14,1,1,0.11787663162298498,1.7309101760064064e-16
18,1,1,0.08844523371301094,5.102285594416579e-09
20,1,1,-0.08093186432811023,6.83360819465701e-08
24,1,1,-0.07565219953907812,1.4392371782147183e-05
25,1,1,0.10136726981458251,2.706865798584102e-13
29,1,1,-0.056791106606745946,0.0001510715547755374
31,1,1,0.059442599810927435,1.9496550447407894e-05
34,1,1,-0.053691888218437164,0.00011934197422687216
38,1,1,-0.044172324095703534,0.0029677420339746744
39,1,1,-0.10949711344313724,2.0960519359454425e-12
40,1,1,-0.06174107007203378,2.366026524103951e-05
44,1,1,0.0756249981392818,2.5083739805669067e-07
51,1,1,-0.08185764412927117,2.4356210473528628e-08
55,1,1,-0.10815736737212057,7.995708356748259e-14
56,1,1,-0.08549050930289674,8.927410521187963e-09
1,2,2,0.04469624329057823,0.003846005798823857
2,2,1,0.37868813918467703,5.645000222585964e-104
2,2,3,0.06408856948420287,0.00012868815591227055
2,2,4,0.04784148279859852,0.002197863645791035
3,2,1,0.10225723753972922,6.786273539221944e-11
6,2,1,0.21055057101101096,2.7298762850809776e-33
6,2,2,-0.09360064289954168,1.2793273824294484e-06
6,2,3,-0.05049042133323351,0.002618273117276087
7,2,1,0.07269163176594555,6.278284998513242e-06
10,2,1,-0.10819811620540999,1.0315601812347874e-12
11,2,1,0.04361175001108936,0.0033140741514239864
16,2,3,0.049072506768037115,0.0007089840807409464
19,2,1,0.08772453552626487,8.022694322995926e-09
20,2,1,0.1450686884189542,7.973689954097924e-21
21,2,1,0.09005648252038664,1.3790053337947667e-07
28,2,1,0.047481961678947276,0.0019007882718804206
30,2,1,0.07866233146966607,6.131570204198206e-08
31,2,1,-0.10362497905322944,1.504292011393586e-11
33,2,1,-0.04508847108179584,0.004058186075151475
34,2,1,0.09334280402665848,1.6973721060499512e-10
37,2,1,0.18655900893398975,5.322130506255911e-35
37,2,2,-0.07849143551474301,2.0009306807983857e-07
48,2,1,-0.047297845951035394,0.0012066090558970014
55,2,1,0.10165562882715463,1.424489791711468e-11
58,2,1,0.05336806527150181,0.0005119479281594458
0,3,4,-0.055366984807148724,0.00013423770925569055
1,3,2,-0.12165825762599808,1.3058663517555452e-16
2,3,2,-0.06432301863312224,2.4290453952859453e-05
3,3,1,0.5348793284213795,1.6501752330394483e-218
3,3,4,0.09458490977636787,1.2972934395556762e-10
7,3,2,-0.09616502930916451,4.5136447610837517e-11
13,3,1,-0.057213885800625856,0.00012189668063255604
14,3,1,0.11253704564675439,8.312763556691411e-15
16,3,1,-0.0740648635995526,2.351260593798781e-07
19,3,1,0.05445373674911951,0.000227632806915816
30,3,1,0.06415063776874132,7.636275857923485e-06
32,3,1,-0.04869457065338791,0.0008453151516985475
35,3,1,0.051074808313043604,0.0004884413993890912
37,3,1,0.07365430992222859,2.2432887486351556e-07
38,3,1,-0.0944229834700853,1.0915178704591019e-10
44,3,1,0.08063432336476854,3.915090093338964e-08
46,3,1,-0.04604175224910904,0.0010422859901154402
55,3,1,-0.08162466877107655,1.796999040023582e-08
56,3,1,-0.06339907482817102,1.2879755400770712e-05
58,3,1,0.04383174937100727,0.003209240490820112
1,4,3,-0.08853237278617308,1.1111493371041952e-10
4,4,1,0.5285756091889807,9.62563496335955e-246
7,4,1,-0.0450136575026551,0.001064872010385277
11,4,1,0.09423502429763352,1.9334920226082786e-10
11,4,2,-0.05652052795325885,0.0003369329340996949
14,4,3,-0.08787172110645282,9.384253518267858e-11
16,4,2,0.04933202784774748,0.0002740898733239865
17,4,1,0.05658185394195336,2.7067951543120844e-05
22,4,1,0.07374892174626979,1.4685472955022413e-07
