component,amce,mediated_fraction,mediated_strength_fraction,paper_component
2,0.0028786067543803443,0.9687317358270018,0.08104856989696897,2
1,0.0018588266773161136,0.8135593220338984,0.04395290768757589,1
0,0.0017379282638181651,0.859146697837522,0.043396895254832264,0
21,0.0015605712106476432,0.9307422559906487,0.042215555732343785,48
8,0.0014832296627947195,0.8065458796025716,0.03476938168912364,26
3,0.0014022274860715806,0.9272355347749854,0.03778922899266634,3
11,0.0011914783953048526,0.9178842781998832,0.03178583257581686,11
14,0.0010636662916857346,0.9360023378141438,0.02893622137573745,14
7,0.0010301929073425486,0.842197545295149,0.025216918527707317,18
6,0.000983045551951272,0.8179427235534775,0.02336985534557667,6
22,0.000963703315402444,0.9120397428404442,0.025545629260075302,22
20,0.000939438754196715,0.863822326125073,0.023585896311715794,20
24,0.0009294943070557303,0.7632963179427236,0.020620509416781865,24
19,0.0009038369184392408,0.8705435417884279,0.022868625538468905,19
4,0.0008729392780241734,0.7913500876680304,0.020077617600522204,4
5,0.0008211305447792622,0.6481589713617767,0.015468679191344457,5
51,0.0007694140168160919,0.7752776154295733,0.017337114885861194,51
28,0.0007466893867545244,0.8945061367621274,0.019412559117854018,28
30,0.0007045512307424135,0.9360023378141438,0.019166773021452647,30
18,0.0007004337682066322,0.848042080654588,0.01726410094964278,7
49,0.0006864100663303412,0.6417299824663939,0.012802520000186484,49
10,0.0006794721003636162,0.869666861484512,0.017174497501076993,10
31,0.0006718005228379479,0.7188778492109877,0.014036373883527076,31
40,0.0006685810472351384,0.8725891291642315,0.016955997655312274,40
12,0.0006553123138876378,0.7644652250146113,0.014560140029532797,12
37,0.0006469675074336665,0.8363530099357102,0.015726482007785637,37
9,0.0006289292905215131,0.6785505552308592,0.012403479119387419,9
42,0.0006150235842343472,0.7080654587960257,0.01265682185263031,42
50,0.0006095738623636299,0.852717708942139,0.015107447985718711,50
25,0.0005834027965941416,0.8416130917592052,0.014270542315175423,25
34,0.0005729385610056426,0.8673290473407365,0.01444280118229142,34
55,0.0005625261562695156,0.8141437755698422,0.013310774204420839,55
46,0.0005618983091946477,0.8325540619520748,0.013596579231295609,46
39,0.0005567030393117614,0.6385154880187025,0.010331289156535547,39
54,0.0005566843333638114,0.8462887200467563,0.013692635270493345,54
47,0.0005331493381173638,0.891291642314436,0.013811097685270491,47
13,0.0005322503255776259,0.6762127410870836,0.010460652463458254,13
26,0.0005174954530421799,0.6288720046756283,0.009458631117800407,8
32,0.0005151125444247567,0.7349503214494447,0.01100321499814646,32
38,0.00050694655429683,0.7594973699590882,0.011190459976995235,38
16,0.0004957696027669354,0.549094097019287,0.007911997814836294,16
44,0.0004821860954185199,0.6814728229105786,0.009550425300213387,44
45,0.0004668424942800473,0.7168322618351841,0.009726294431636065,45
23,0.00045378322872904675,0.6674459380479252,0.008802864637496102,23
52,0.0004409204128225409,0.6119228521332554,0.007841810911253896,52
29,0.000426687547576872,0.6881940385739334,0.008534544817995463,29
58,0.00042638962039847017,0.7311513734658095,0.009060943300106178,58
36,0.00042438532064765605,0.7200467562828755,0.008881381797980812,36
27,0.00040335327992222316,0.7036820572764465,0.00824938473466075,27
53,0.000392745297054163,0.6724137931034483,0.0076755074086660435,53
17,0.00038161470340956867,0.7746931618936295,0.00859239651937553,17
56,0.00035410511087698745,0.42577440093512564,0.004381988466290938,56
57,0.00034243001404314887,0.3717124488603156,0.003699460701331195,57
59,0.0003351451878463769,0.652542372881356,0.006356253279731512,59
15,0.0003056143785482319,0.7469316189362946,0.006634590398195225,15
35,0.00030500131723140727,0.6835184102863823,0.006059146038676507,35
33,0.0002993824810996137,0.3021624780829924,0.002629216840187155,33
48,0.00028840179103733473,0.8007013442431327,0.006711629885895047,21
43,0.0002667328345843124,0.4924021040327294,0.003817296277124309,43
41,0.0002470060866920938,0.5657510227936879,0.004061556429238645,41
