source,target,lag,total_effect
0,1,1,-0.05644675933088539
0,9,1,-0.2810263093551788
0,18,1,0.08695464044463613
0,21,1,-0.1512342844915679
0,30,1,-0.29400813211841614
0,35,1,0.07719358725662215
0,38,1,0.14680473582911485
0,42,1,-0.06188731726099919
0,47,1,-0.15823681829542247
0,54,1,0.06134405007157473
0,59,1,0.11263854464775015
1,8,1,0.18600713197349578
1,13,1,-0.08628716180550619
1,15,1,0.0804878154177219
1,17,1,0.07956524036806215
1,30,1,0.14864079595891078
1,32,1,-0.08433276257562836
1,35,1,0.04059783773554997
1,37,1,0.058477074523666586
1,47,1,-0.14429251810363616
1,49,1,0.08739342462799546
1,51,1,0.1290018041177602
1,57,1,0.04724030357401603
2,5,1,-0.10619775694664996
2,8,1,-0.14012095225931792
2,9,1,-0.1836004040247032
2,12,1,0.09698246318092468
2,13,1,-0.1374593549768499
2,16,1,0.11087163684038426
2,18,1,-0.12205473286098482
2,19,1,-0.08833701506638758
2,23,1,-0.07948566200928375
2,30,1,-0.07030218494483552
2,31,1,0.11264868318266805
2,34,1,0.11044045532799959
2,37,1,-0.06686296379455856
2,39,1,0.1200022336831768
2,42,1,0.16897833530578726
2,44,1,-0.13535259306266026
2,48,1,-0.11601549744225875
2,55,1,-0.12895811592008324
2,56,1,-0.0582248784125077
2,57,1,-0.08582679029005638
2,59,1,-0.1670499007994681
3,1,1,-0.10704092083958108
3,2,1,0.12229803990648615
3,8,1,0.07475717832649437
3,12,1,0.07144528130571155
3,14,1,-0.07275419539769691
3,25,1,0.10065035869510448
3,28,1,-0.04279085311328529
3,29,1,-0.14198564652530968
3,31,1,-0.08218564222339111
3,35,1,0.09589430331827321
3,36,1,0.04353501349942425
3,43,1,-0.1051149127846129
3,54,1,0.11386539411408145
3,57,1,0.09780860678645131
4,6,1,0.07295535687137333
4,9,1,0.11914870125678823
4,14,1,0.07019767856819083
4,23,1,0.16025053613846024
4,25,1,-0.1718018535536905
4,30,1,0.1736142237447993
4,38,1,-0.13144982979988512
4,39,1,-0.19175713129976604
4,40,1,-0.09992803888232113
4,47,1,0.07623776631765715
4,53,1,-0.17583809151253693
5,21,1,0.04218571246395665
5,27,1,-0.08797181688809012
5,40,1,0.1294960986545886
5,55,1,0.16602025823730493
5,58,1,-0.09744159458506105
6,1,1,-0.09851949257041054
6,2,1,0.20786768497100408
6,7,1,0.06108681577980454
6,10,1,-0.14333267484665288
6,12,1,-0.12515216869442913
6,18,1,-0.041825005665626726
6,19,1,-0.1602299588950814
6,21,1,0.06862178487329901
6,24,1,0.0862783357481458
6,25,1,0.09256335304384722
6,34,1,0.07537045747137082
6,39,1,0.06495463341062149
6,41,1,-0.11532428873264398
6,44,1,-0.10248727371215029
6,48,1,-0.06923800373035169
6,52,1,-0.07834644666868944
6,56,1,-0.05738144531922402
6,58,1,-0.06369811899640199
7,10,1,0.041793325080078866
7,11,1,-0.057206419115245925
7,13,1,-0.13894489493976403
7,27,1,-0.06636924167290137
7,29,1,0.09547748691983793
7,31,1,-0.07371285387172548
7,32,1,-0.07434229481823085
7,49,1,0.09861258685428945
7,52,1,-0.11424811349989529
7,56,1,-0.05786260846088392
8,6,1,-0.06459889016555342
8,10,1,0.06966054429834344
8,14,1,0.04253603084560636
8,18,1,-0.10453752083869533
8,24,1,-0.0927211108801422
8,27,1,-0.08700809061331387
8,30,1,0.04328663893289429
8,37,1,0.05028397002240607
8,41,1,0.06601500014577986
8,44,1,-0.09656814640499636
8,57,1,-0.08525480813613417
8,59,1,-0.059413519576720565
9,24,1,0.06654643759486711
9,46,1,-0.23887928246209855
9,53,1,-0.09788732200891424
9,54,1,0.05396417828011664
10,2,1,-0.10590416855216803
10,7,1,-0.12820364815531854
10,8,1,-0.14122481921211577
10,11,1,-0.0963550804234398
10,17,1,0.07155830637952593
10,24,1,-0.0593023915952403
10,35,1,0.08382733098222342
10,36,1,-0.042995027307726204
10,38,1,0.07513258848872736
10,39,1,0.06150306096602501
10,42,1,-0.08429546776243353
10,49,1,0.0548186095469985
10,52,1,0.09160875805608126
11,4,1,0.0836535278143755
11,14,1,-0.13435418410026437
11,21,1,0.08969905556888612
11,22,1,0.0693388259009106
11,23,1,-0.07075969342481007
11,26,1,0.12166573864920413
11,34,1,0.1517940919116507
11,36,1,0.07017568372887735
11,42,1,0.06451118529438568
11,43,1,-0.04587221498896459
11,48,1,-0.049451188930557916
11,50,1,0.0539614535413608
11,52,1,-0.07531175528135657
11,56,1,-0.047928105122796
12,0,1,-0.07582188976233403
12,3,1,-0.07559530075810661
12,5,1,0.047435727834209206
12,10,1,0.045163734795031975
12,18,1,-0.09099691326327708
12,29,1,0.05352119982328991
12,42,1,0.04636638898498315
12,51,1,-0.05343423501475055
13,1,1,0.10565817734672128
13,2,1,0.09245724698234375
13,3,1,0.08860085286918624
13,11,1,0.06550352874323648
13,12,1,0.051920339928759204
13,16,1,0.03981817919226272
13,23,1,0.05830319184533124
13,27,1,0.06808268162155462
13,29,1,-0.07611986194421566
13,30,1,-0.10507730520977233
13,39,1,0.1164378038302688
13,45,1,-0.06445677507668823
13,52,1,0.08110191476418384
13,55,1,0.07510342665246117
13,57,1,0.07701314941803343
14,7,1,-0.07061285119205354
14,8,1,-0.03997761598187537
14,11,1,0.08144737807859276
14,12,1,-0.057997999634443645
14,18,1,0.05294174323564529
14,20,1,0.04680557917928344
14,23,1,-0.06364166219866085
14,24,1,0.0409011883439652
14,30,1,-0.06255970502743363
14,48,1,-0.0456864512789307
14,51,1,0.07980570513376982
14,58,1,0.07014806888659793
15,0,1,0.06536501438264485
15,7,1,-0.06916439373495696
15,16,1,-0.0574220176263241
15,19,1,-0.06913733641357922
15,29,1,0.08183636714992205
15,38,1,0.05691201089773738
15,42,1,0.059748235452934194
15,43,1,0.09566917154979343
15,46,1,-0.05148877460011658
15,47,1,0.05567739102381817
15,48,1,0.05503925280556951
15,54,1,0.07876103985833816
15,55,1,-0.07091856899988343
15,57,1,0.08407277860603098
15,58,1,0.08582812287154898
16,3,1,-0.05042345474714954
16,4,1,0.08167367089749163
16,9,1,0.05573273078070507
16,10,1,0.0410723055758653
16,11,1,0.06482450716808924
16,15,1,0.08072373403212915
16,25,1,0.04890877059230623
16,31,1,0.09504051902908733
16,44,1,0.12108252343883034
16,46,1,0.06131166678673834
16,48,1,-0.07815068863591425
17,0,1,-0.08643350838724176
17,1,1,-0.0883070988469712
17,2,1,0.09719955361615248
17,3,1,-0.05230791331130102
17,8,1,-0.10992617497704078
17,9,1,0.06464942536363755
17,11,1,0.09117634243411851
17,20,1,0.07088509981030457
17,31,1,0.07503557579846498
17,33,1,-0.09053697607765847
17,46,1,-0.09406127449517543
17,47,1,0.05914773604819477
17,54,1,-0.10768637210066774
18,2,1,0.10906033899412447
18,3,1,0.08483258535183524
18,7,1,-0.08793797050387833
18,8,1,0.04344031059490185
18,23,1,-0.06642804011125233
18,24,1,-0.09483015254826743
18,25,1,0.05830275511543102
18,35,1,-0.11260602221934661
18,45,1,-0.05757892558095563
18,49,1,-0.08191019766380332
18,55,1,-0.07362132598573203
19,13,1,-0.0789934491415801
19,20,1,-0.0889058287764059
19,40,1,0.10876750366544348
19,46,1,0.07643567094039655
19,48,1,0.07256291299661795
19,52,1,0.10642920761148743
20,3,1,-0.09037312498884992
20,6,1,0.07090452518839908
20,36,1,0.06789646530675197
20,41,1,-0.08281329931858455
20,43,1,-0.10225850437181896
20,45,1,-0.06364337231523454
20,51,1,-0.10157673866546486
20,56,1,0.13931294146144954
21,0,1,0.09469957581479446
21,2,1,0.09490615081170549
21,6,1,-0.09995549366701803
21,7,1,-0.08251560973516607
21,9,1,-0.12751847834096122
21,13,1,-0.11108586736574033
21,14,1,-0.05094488173311971
21,15,1,0.13255887379823098
21,23,1,-0.06454850406967028
21,25,1,0.08468003857211732
21,33,1,-0.04923453555436598
21,39,1,0.05460453828802923
21,41,1,0.04323022049691376
21,54,1,0.061791529418220505
21,59,1,-0.04639595589554309
22,0,1,-0.09080921317333279
22,1,1,-0.09140231914600473
22,5,1,0.1022723229174931
22,9,1,0.07806737258394474
22,12,1,-0.0687104487930266
22,15,1,0.05830163890815467
22,17,1,-0.07797055529001812
22,20,1,-0.0639671470981101
22,26,1,-0.05701426590350252
22,27,1,-0.16579770256136858
22,36,1,0.09920078220543316
22,39,1,-0.13867273044394646
22,45,1,0.05878880382566972
22,53,1,0.1018318299459343
23,15,1,0.04138671420819553
23,22,1,0.0976533827486469
23,24,1,0.044504510014525066
23,29,1,0.0789356550971215
23,34,1,-0.04452253029894092
23,35,1,0.07104740253638642
23,43,1,0.11964303427032599
23,45,1,0.08091424322402517
23,46,1,0.15789507905554426
23,53,1,0.14200734822734606
24,6,1,-0.06568263473879712
24,7,1,0.08078359151572652
24,17,1,0.08513053145305058
24,21,1,-0.07958726819885524
24,25,1,0.040941624658549385
24,28,1,-0.057263293959247785
24,37,1,0.0708273045682879
24,38,1,0.10328351181948772
24,45,1,-0.05501726350396236
24,56,1,0.0671091410600591
25,1,1,0.05447615400411784
25,4,1,-0.0782225213974298
25,6,1,0.05764728004514687
25,11,1,-0.061152258860477794
26,0,1,0.05696530326605672
26,2,1,-0.05190104348982816
26,11,1,-0.1068176415291468
26,20,1,-0.0435776199593116
26,22,1,-0.09351124532888075
26,25,1,-0.04822957036692679
26,34,1,-0.0634185169137752
26,47,1,-0.0782417315003722
26,57,1,-0.057003111111702955
27,2,1,0.09021554881217472
27,5,1,0.09161088843928467
27,11,1,0.0543182641304525
27,19,1,0.06673672278951694
27,34,1,0.050973439874060354
27,42,1,0.06089004405027957
27,43,1,-0.06768663479778439
27,48,1,-0.13982246518069727
27,52,1,-0.09561051419346796
28,0,1,-0.04222306865194448
28,4,1,0.09685814572912078
28,5,1,0.05763355499301046
28,7,1,0.06225152123050054
28,12,1,-0.08909511147426744
28,18,1,0.05153006548822938
28,19,1,-0.10464576191550462
28,20,1,0.06739938158449106
28,21,1,0.04760774746244277
28,36,1,0.061805000360245235
28,47,1,0.09234513995194323
28,51,1,-0.05959574200009229
28,55,1,0.17432177658453543
28,58,1,-0.0746243461951031
29,0,1,0.04682074970147322
29,2,1,0.07167397384608791
29,10,1,-0.06615998065444267
29,32,1,-0.09185673063516132
29,44,1,-0.08222248474425783
30,12,1,-0.05372213957648866
30,18,1,-0.07905607429003501
30,23,1,-0.05524210168509096
31,4,1,-0.06739445234618412
31,6,1,0.05118693287174375
31,11,1,-0.06557051899925287
31,14,1,0.07541011118582884
31,28,1,0.0436477349390446
31,32,1,-0.055363986467425
31,35,1,-0.04373119664381333
31,41,1,-0.07072417786122073
31,49,1,0.04846687380921768
31,56,1,0.05715152415620849
32,1,1,0.04632521332089114
32,3,1,0.053681201622408234
32,5,1,-0.060803737723345894
32,6,1,0.05961658808015956
32,8,1,0.07720415221819468
32,9,1,-0.08049637261336423
32,11,1,-0.10370364037509959
32,12,1,0.0761816912238858
32,29,1,0.07741030483962509
32,33,1,0.0933131831737511
32,34,1,0.0640335586062557
32,45,1,0.04328056971733455
32,49,1,0.08060836275623251
32,52,1,-0.12623017634224115
33,9,1,-0.061112342792954376
33,10,1,-0.08875216231478729
33,34,1,-0.04601497011344832
33,52,1,0.04968811464282024
33,54,1,0.046636830546612655
34,1,1,-0.0466036567355207
34,3,1,-0.10740273341997043
34,5,1,0.04308815446366975
34,8,1,-0.05319996673335124
34,22,1,0.03991268870431044
34,23,1,0.04410376531055709
34,55,1,0.058835411900917095
35,2,1,0.11092372432092408
35,6,1,-0.04478012963393744
35,7,1,0.04887320208455512
35,8,1,0.06665853981934829
35,9,1,-0.061300531348397344
35,21,1,0.05399174223934383
35,30,1,-0.04821009626977344
35,36,1,0.07910549040092495
35,56,1,0.057956659498522765
36,0,1,0.041476909387015225
36,5,1,-0.05319367993666196
36,7,1,-0.058552028852883096
36,11,1,-0.06813397166085856
36,16,1,-0.07463676801414904
36,17,1,0.05515769560583878
36,19,1,0.0695061822817345
36,22,1,-0.04597895886839828
36,26,1,-0.077699196640653
36,42,1,0.08623087442817065
36,43,1,0.07442523620751018
36,44,1,-0.06565260531341521
37,2,1,0.1423944774605455
37,3,1,0.1190786455162817
37,8,1,-0.09018391534529786
37,17,1,0.10611570516710754
37,20,1,0.047134228691396524
37,26,1,0.04221334810649424
