component,component_index,gateway_ei,susceptibility_ei,self_memory_ei,out_rank,in_rank
component_01,0,0.019931024207589628,0.01221497044434914,0.32606268221330925,1,43
component_08,7,0.017912420851827243,0.013865173373047303,0.15718341149994597,2,8
component_19,18,0.01728841000788307,0.014477784602997286,0.1384971508324977,3,5
component_25,24,0.016670823779504598,0.012269876991863625,0.36310555781530063,4,41
component_14,13,0.01626010053832188,0.013392013076961288,0.23225059811602833,5,19
component_30,29,0.015925396295401656,0.01367295182697388,0.15502666222289552,6,10
component_15,14,0.015183748288421282,0.013261060393736526,0.09564690364083228,7,20
component_16,15,0.014861124749395967,0.011741997311720603,0.43510491458833567,8,52
component_02,1,0.014789459689124047,0.012741935211527573,0.252767488913745,9,34
component_33,32,0.014356471963308902,0.012166268197412919,0.23083399754361267,10,44
component_36,35,0.014338589370737728,0.012812641101327646,0.1925958326999746,11,31
component_17,16,0.014271832187456616,0.013020562249838252,0.27672201003018415,12,25
component_13,12,0.013714790151656647,0.01143507600275868,0.48405543630972225,13,56
component_06,5,0.013585126221007156,0.01279707027391924,0.2923096918480721,14,33
component_44,43,0.013545071100591385,0.014478450763253591,0.09092605551983368,15,4
component_03,2,0.013530297824918023,0.012963681889754166,0.19299589402257045,16,27
component_10,9,0.013491399742802872,0.012116402264845408,0.4206807007603177,17,46
component_07,6,0.013471257859350163,0.012564765451268781,0.18165417193860156,18,39
component_12,11,0.013464355853612817,0.013400866094060673,0.339086875459242,19,18
component_38,37,0.013346707040250701,0.012591097423348104,0.19767758081865372,20,36
component_04,3,0.013138312234770352,0.009971679949518236,0.73170065242173,21,60
component_54,53,0.013119534740949868,0.013411718457537577,0.09098286551188117,22,17
component_18,17,0.012975140524305146,0.012996387924871589,0.300699299622619,23,26
component_05,4,0.012872210563386619,0.010664376187312023,0.5695455067545137,24,58
component_26,25,0.012860998203984743,0.012234832201611012,0.21472242033564903,25,42
component_28,27,0.012748811407052757,0.01273354310376509,0.19426776825392,26,35
component_47,46,0.012607042289845303,0.014706954229592117,0.07105799260353374,27,2
component_27,26,0.012318796119334958,0.015034381427414518,0.11200549345801702,28,1
component_09,8,0.012306013674527303,0.011904004697950893,0.2851046654802172,29,50
component_42,41,0.012063895590594087,0.013082701033817418,0.12735948732421987,30,24
component_29,28,0.012060520103443407,0.01288018710938618,0.08857550231979738,31,30
component_57,56,0.01204534893556312,0.014511147159593495,0.07280234819347209,32,3
component_22,21,0.012040067407454008,0.013467103115572383,0.25256359433701414,33,15
component_53,52,0.011931296417005766,0.010583075320285152,0.23716235527267848,34,59
component_11,10,0.011890351376326819,0.011527165362245453,0.31726743106402955,35,55
component_48,47,0.01185225377993921,0.011801321757741255,0.1626500349886193,36,51
component_58,57,0.011813315238180943,0.012296333657015397,0.2104485583600333,37,40
component_50,49,0.011715180125211935,0.012891044894195822,0.176737740299171,38,29
component_23,22,0.011582158148671086,0.013612011650426761,0.23628178651814435,39,12
component_45,44,0.011572805999508478,0.013636582790213155,0.1706116215250688,40,11
component_43,42,0.011566036842668945,0.013582149711424522,0.1545641958353965,41,13
component_34,33,0.011542011271298608,0.013452654721239217,0.18585241039394962,42,16
component_56,55,0.011540113193456634,0.013132565108216056,0.1944946599820252,43,23
component_52,51,0.01148783795203052,0.013931397937514224,0.09230734340034008,44,7
component_59,58,0.011487244044561808,0.01349884650887602,0.055262958019039576,45,14
component_46,45,0.011412252327594217,0.012031880148245104,0.265816064899703,46,49
component_32,31,0.011362903338407237,0.011723469215494439,0.2601053991833062,47,53
component_40,39,0.011288496817466371,0.012045961713799512,0.19565545157789543,48,47
component_60,59,0.011283282221096145,0.0125909055034692,0.11943710652375872,49,37
component_37,36,0.011280375648604929,0.013787918135607802,0.14413488743600444,50,9
component_51,50,0.011213513465523618,0.012576448418160186,0.11725618594682086,51,38
component_31,30,0.011193592639081486,0.011267666855195623,0.25270808314599513,52,57
component_35,34,0.011138609599358041,0.01317980892199067,0.1880733349962984,53,21
component_49,48,0.010946213167758385,0.011535755879034175,0.17087456382975663,54,54
component_24,23,0.010888949708191518,0.012033992432586396,0.33833665244566546,55,48
component_20,19,0.010706887710728424,0.0144210281795967,0.1754604292677202,56,6
component_39,38,0.01061774360854477,0.012931270195470896,0.2453429935813931,57,28
component_21,20,0.010595060929508203,0.012117299149415749,0.20990555829001156,58,45
component_41,40,0.010391564136076269,0.012799522877969519,0.2106914063122769,59,32
component_55,54,0.010354558521894328,0.013177969158732527,0.13389729410168094,60,22
