split,component,rmse,mae,corr
train,overall,0.6319252498018751,0.5027319528757312,0.596008716712397
train,component_01,0.5401192633012969,0.42919687974774384,0.7897868716636316
train,component_02,0.5780812687654855,0.46104600893760983,0.733882266114891
train,component_03,0.5909658604161642,0.4647416927330839,0.7143375354001487
train,component_04,0.645976300954077,0.5147575813251956,0.700569761027543
train,component_05,0.5973459708104102,0.4744487437978593,0.7600020731261711
train,component_06,0.5857861976950973,0.46707881350776226,0.7044716663170193
train,component_07,0.5676559792624928,0.4495071756397441,0.7128335826229327
train,component_08,0.5932247878298625,0.4703047019587102,0.6473404415451761
train,component_09,0.6202406297151023,0.48684190726054444,0.6534849882293952
train,component_10,0.6421224496574434,0.5088154860152528,0.6062387594406898
train,component_11,0.5884533867327131,0.4643572655928742,0.6821150403107943
train,component_12,0.6566787719208149,0.5238399824168514,0.6256262559610963
train,component_13,0.6875765481731305,0.5515358673982333,0.5835154296557837
train,component_14,0.6545284030071384,0.5220163238896075,0.6350050109135187
train,component_15,0.579340630973704,0.46167353338065237,0.7326675795092277
train,component_16,0.6622613531045712,0.5294903197512729,0.6165199985191454
train,component_17,0.6515536916618234,0.5262044866122354,0.6479885695004182
train,component_18,0.6970261043976236,0.5573093304598367,0.5184255458907918
train,component_19,0.6349370236818404,0.5087999782220602,0.6321391653874606
train,component_20,0.6431194849205232,0.5100192289626849,0.5843457678358486
train,component_21,0.6088573234855607,0.4885926718283605,0.5681860822468325
train,component_22,0.6450473539154535,0.515961122607666,0.5594117868768232
train,component_23,0.674960044253493,0.5380789824052389,0.5807500449734937
train,component_24,0.7007006351188722,0.5621170567895156,0.5366713630766743
train,component_25,0.7002497652832177,0.5630575960781867,0.555181665755056
train,component_26,0.6518230813760956,0.5216963123196169,0.6019973704960061
train,component_27,0.6165720814869214,0.491072516812321,0.5631371389039739
train,component_28,0.6497023126856685,0.5210548879821237,0.537265391895713
train,component_29,0.5709429946266646,0.452554898803267,0.6115191103245909
train,component_30,0.6499375627047771,0.5245584228496911,0.5247121798123057
train,component_31,0.538501526172472,0.4264896705905632,0.7872564432934726
train,component_32,0.6651922672404744,0.5265766052822625,0.48581156512704565
train,component_33,0.6913991334499496,0.5560103149517344,0.4904512085710953
train,component_34,0.7026434549277188,0.5681898135908799,0.48586876978362264
train,component_35,0.6348336640362907,0.5035379027525206,0.551448728372859
train,component_36,0.6479651149947894,0.510012750291924,0.5308514261947559
train,component_37,0.6413236439494621,0.5073132753342733,0.5184306483486422
train,component_38,0.6091344910485328,0.483273950880188,0.5842600147027679
train,component_39,0.685000853384114,0.5460601320537944,0.48214204372336233
train,component_40,0.6419034221870279,0.5078783783730684,0.5368960375359876
train,component_41,0.6345166191421034,0.5075223095223185,0.5857539402456785
train,component_42,0.6178911137681262,0.4871485269579757,0.537321484565256
train,component_43,0.6437089890065049,0.5182035486700775,0.45767475861991624
train,component_44,0.634743812490469,0.5060873242492507,0.4801497350247238
train,component_45,0.6456114575334473,0.5130405259720919,0.5498534639978103
train,component_46,0.68474827168511,0.5476469124053123,0.5090861694085473
train,component_47,0.6529401790386526,0.5232465669843684,0.46197028114694044
train,component_48,0.6666962151365246,0.5285781210678852,0.43690714119122753
train,component_49,0.6134931077616849,0.48857204831852546,0.5986754890917642
train,component_50,0.6338257146406556,0.5048871031505942,0.5386282363255337
train,component_51,0.6726095501783009,0.5372662574362729,0.45779420576643126
train,component_52,0.6145496333813147,0.48844883278542894,0.5400327186791526
train,component_53,0.5424051452581501,0.4339708907785091,0.7507468269221595
train,component_54,0.5743177535091272,0.459226002128612,0.5420592005322935
train,component_55,0.6142608012758906,0.4946524073793235,0.5448662658854331
train,component_56,0.6077986788983658,0.4872988418033266,0.4712227246305235
train,component_57,0.6139055035400683,0.48474704274079217,0.4713101055848497
train,component_58,0.596853536931524,0.4773512033071688,0.533603329536104
train,component_59,0.6040138334334085,0.4813352944430298,0.4554336635878144
train,component_60,0.6254471426965096,0.4986148422560015,0.4609710607118776
val,overall,0.7090526794804369,0.564725781345754,0.44375287984976347
val,component_01,0.6495119106268437,0.5175219565860829,0.7629864311403997
