source,target,source_index,target_index,ei
component_04,component_04,3,3,0.73170065242173
component_05,component_05,4,4,0.5695455067545137
component_13,component_13,12,12,0.48405543630972225
component_16,component_16,15,15,0.43510491458833567
component_10,component_10,9,9,0.4206807007603177
component_25,component_25,24,24,0.36310555781530063
component_12,component_12,11,11,0.339086875459242
component_24,component_24,23,23,0.33833665244566546
component_01,component_01,0,0,0.32606268221330925
component_11,component_11,10,10,0.31726743106402955
component_18,component_18,17,17,0.300699299622619
component_06,component_06,5,5,0.2923096918480721
component_09,component_09,8,8,0.2851046654802172
component_17,component_17,16,16,0.27672201003018415
component_46,component_46,45,45,0.265816064899703
component_32,component_32,31,31,0.2601053991833062
component_02,component_02,1,1,0.252767488913745
component_31,component_31,30,30,0.25270808314599513
component_22,component_22,21,21,0.25256359433701414
component_39,component_39,38,38,0.2453429935813931
component_53,component_53,52,52,0.23716235527267848
component_23,component_23,22,22,0.23628178651814435
component_14,component_14,13,13,0.23225059811602833
component_33,component_33,32,32,0.23083399754361267
component_26,component_26,25,25,0.21472242033564903
component_41,component_41,40,40,0.2106914063122769
component_58,component_58,57,57,0.2104485583600333
component_21,component_21,20,20,0.20990555829001156
component_38,component_38,37,37,0.19767758081865372
component_40,component_40,39,39,0.19565545157789543
component_56,component_56,55,55,0.1944946599820252
component_28,component_28,27,27,0.19426776825392
component_03,component_03,2,2,0.19299589402257045
component_36,component_36,35,35,0.1925958326999746
component_35,component_35,34,34,0.1880733349962984
component_34,component_34,33,33,0.18585241039394962
component_07,component_07,6,6,0.18165417193860156
component_50,component_50,49,49,0.176737740299171
component_20,component_20,19,19,0.1754604292677202
component_49,component_49,48,48,0.17087456382975663
component_45,component_45,44,44,0.1706116215250688
component_48,component_48,47,47,0.1626500349886193
component_08,component_08,7,7,0.15718341149994597
component_30,component_30,29,29,0.15502666222289552
component_43,component_43,42,42,0.1545641958353965
component_37,component_37,36,36,0.14413488743600444
component_19,component_19,18,18,0.1384971508324977
component_14,component_19,13,18,0.13595996891051954
component_55,component_55,54,54,0.13389729410168094
component_01,component_14,0,13,0.1319086673146006
component_42,component_42,41,41,0.12735948732421987
component_30,component_44,29,43,0.12351926014429004
component_60,component_60,59,59,0.11943710652375872
component_51,component_51,50,50,0.11725618594682086
component_27,component_27,26,26,0.11200549345801702
component_16,component_47,15,46,0.10885744925138807
component_25,component_15,24,14,0.10025869488246464
component_15,component_15,14,14,0.09564690364083228
component_52,component_52,51,51,0.09230734340034008
component_54,component_54,53,53,0.09098286551188117
component_44,component_44,43,43,0.09092605551983368
component_29,component_29,28,28,0.08857550231979738
component_01,component_27,0,26,0.08673685497123129
component_19,component_45,18,44,0.08567562832050912
component_01,component_41,0,40,0.07782102669655977
component_13,component_25,12,24,0.07542415127499247
component_08,component_54,7,53,0.07541333486842916
component_57,component_57,56,56,0.07280234819347209
component_12,component_29,11,28,0.0722512161741653
component_47,component_47,46,46,0.07105799260353374
component_08,component_19,7,18,0.06963768960342831
component_14,component_30,13,29,0.06924419117549929
component_19,component_17,18,16,0.06788790239142184
component_08,component_06,7,5,0.06548960730158715
component_07,component_03,6,2,0.06544218547690717
component_04,component_45,3,44,0.064899250392632
component_43,component_22,42,21,0.06319273926824387
component_27,component_57,26,56,0.05716744988898448
component_59,component_59,58,58,0.055262958019039576
component_02,component_29,1,28,0.05479379342259216
component_17,component_20,16,19,0.054687656626034364
component_30,component_12,29,11,0.05444911483917325
component_02,component_12,1,11,0.054426304776544754
