,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_01,0.32606268221330925,0.04607405991852964,0.007132284521595089,0.009922098457876949,0.011455205664685941,0.009817547965817575,0.013188748361942615,0.011461109871308661,0.01572045092319385,0.011012971725685716,0.006944463859655414,0.018868577296302202,0.009334549194928154,0.1319086673146006,0.01014766059835992,0.00913253953799309,0.020445911723212085,0.011546016818070548,0.012262209636896504,0.010734902402954383,0.014272099616901457,0.03192844304767917,0.005316939328300574,0.014982131587640612,0.014414714201486323,0.011090164039741168,0.08673685497123129,0.01057979462337677,0.008845343224893831,0.011992449042756093,0.009241522782967415,0.008743181494887509,0.008331393854827951,0.01144532437882706,0.009709561936875666,0.0307903250704471,0.025765940445558577,0.0198854207589112,0.017384293958258468,0.008231641281900792,0.07782102669655977,0.02680571161860179,0.013688409339527752,0.013134911703821306,0.009667984857939516,0.0079709560810457,0.013260016329187607,0.009196006719261351,0.01700327329562734,0.03184901500031767,0.012661440485347342,0.01376994435989598,0.009177433273255708,0.024217894515004,0.03563837895041999,0.017227810632316487,0.033240636144269864,0.043787207799229844,0.018171346760106566,0.010843508244974487
component_02,0.00973454722819067,0.252767488913745,0.013207693087506023,0.007379370094739102,0.006188951307058321,0.015332233681746743,0.011769646559084634,0.03244160017604214,0.010081649949713611,0.007267617222137979,0.010759034737036544,0.054426304776544754,0.011009921150420876,0.010508717595191008,0.013629079085646367,0.01063457604821938,0.007986826638973987,0.009987728709135002,0.021366763788763343,0.011486666376477217,0.0130891472698913,0.008724042057014714,0.01657175920269438,0.020332429884943437,0.013834492660037778,0.011561639148193859,0.011756431972145709,0.0257735312836882,0.05479379342259216,0.011018667913308633,0.00938561999279175,0.008142697917012498,0.00989164823344657,0.018813001987233235,0.009700264912007484,0.01286038265848255,0.02227862674112968,0.03233272905776996,0.008557018073576561,0.01021903083932063,0.004737817575854564,0.011164852366472466,0.01035101901037816,0.011081310519349685,0.0076199485491961205,0.008358671045495925,0.009418568280404216,0.006432376391141581,0.0172369043503533,0.011187208278601979,0.02426850544985859,0.00772793351852874,0.018751072379295408,0.02065408402800717,0.00985669011788115,0.014670185834892102,0.010450106792528224,0.023395102441449822,0.029388880357857694,0.010991000930863137
component_03,0.015242228280914816,0.012722365381161005,0.19299589402257045,0.008617694390598896,0.026934012280683373,0.011221614853081263,0.007637542397250563,0.017121259449352166,0.008157677803606767,0.013116954664964986,0.02379142802148415,0.007332129893664607,0.014186782270636744,0.00923016504444707,0.009381611951015056,0.012906159316216304,0.010329672098380982,0.013640836966213765,0.012153473675877269,0.025640012966892556,0.009878355751400836,0.005327938591423553,0.011377621615822786,0.007840336779628032,0.006659304132565325,0.008691534891588582,0.020257996715783655,0.008561474242331002,0.010262423783240493,0.009547697089616669,0.01695659210520839,0.01099367647684435,0.007463341443700422,0.009332055397322403,0.008316641642711176,0.018962783052714816,0.011056855095239015,0.016551666768451323,0.01046546575129259,0.012233675081160023,0.01115389552532653,0.02528184885725082,0.00831193706194533,0.0192540946071591,0.010145381703480894,0.01401798889883299,0.008671846460038157,0.012240594201637034,0.015012901855986804,0.011594706615996042,0.013569338348908833,0.008784415100183907,0.011167704210492513,0.013649314702480098,0.037695689265704324,0.019754536216488816,0.040827588479315224,0.0152133197890576,0.011878914073872426,0.00996049758151818
component_04,0.007218075186284256,0.008202696970704526,0.011019320120166931,0.73170065242173,0.013810203781391639,0.009395390867519282,0.017892479800933003,0.011808135064947933,0.013073344349372018,0.012473256358286555,0.010575092227969485,0.0177059974183722,0.011470072467330006,0.011983824420892297,0.015808590095653052,0.006246938182818518,0.011982959607664156,0.01772820672667308,0.010675220905920213,0.01962584816085,0.008360951001360029,0.01967889566394243,0.018487537784460883,0.01257055045344968,0.020448066455615255,0.019187421383764836,0.008321631224178727,0.024070635295695197,0.013351319238968262,0.032158048101975645,0.013854901031010503,0.008525311369173671,0.005605312273322838,0.012344986020577764,0.008183178575141614,0.01708232421953859,0.010306978369087894,0.012515808629304903,0.011933642884577544,0.006516288282440108,0.011170800549653137,0.0059385068365354066,0.01177469152255961,0.007180333081978851,0.064899250392632,0.006672862400613155,0.009047328943567745,0.006430250886760636,0.009284492944896527,0.00926749187934739,0.011569397558573336,0.005935577341367626,0.008465338808619993,0.009015595115263508,0.010547796684483579,0.007752925254464582,0.03214740326157761,0.00965136571055858,0.00896254883840486,0.007247022868257069
component_05,0.01086279886617092,0.01021566206556379,0.0103190536651665,0.008378347778065454,0.5695455067545137,0.007903055241372137,0.01465481018684578,0.014555839413599614,0.010608961595939714,0.016258043574753245,0.009841815973977042,0.007927517478532486,0.016252272205552476,0.006678636324488174,0.03186111525300728,0.00919416641995019,0.012196185499525392,0.017322911767025495,0.010837849829302915,0.010212470360031478,0.007597576975880926,0.012782193996050406,0.009626350633547887,0.03198701009216576,0.01114813225050515,0.006311954413090071,0.007858399982263897,0.00830962079164177,0.012321677532991515,0.010055044618102915,0.03533536255798886,0.008351272423070988,0.015363964311970957,0.007514543749330471,0.010726382566102366,0.008842340010474459,0.013427532824706212,0.009328084107128376,0.014754366602821811,0.027118819394374327,0.00823699612102402,0.01394546319561707,0.005754438193233291,0.014261366249923135,0.007691357213861938,0.013036397276017908,0.010336504432968852,0.016317127114091612,0.018104002850687806,0.01294148821218899,0.01930618674466711,0.016311408719191345,0.009259113101256933,0.012174051412974674,0.023288427978898962,0.013396769194886637,0.011353455897440412,0.010146961897703477,0.00925102463970573,0.00950573946039146
component_06,0.01631330237987605,0.015290549373002893,0.009613205300992522,0.007742243916565528,0.009886845705724845,0.2923096918480721,0.009304352951920336,0.02026272486665004,0.011021783975386334,0.016467974449398515,0.006746628278230027,0.014262886783044326,0.012037469995322958,0.03246436112936646,0.009925195204564474,0.026468616792224342,0.006723684699589949,0.012890113632756162,0.011778475639542929,0.008666023808647338,0.012933813919232318,0.008438967744002213,0.007856917164180466,0.0060418511000461805,0.01002211846259149,0.014987774855845792,0.024508595813522938,0.014524337897499962,0.012304550044989426,0.013384211726185313,0.009595910097912608,0.008259585922899326,0.012023679988049096,0.013119238916162512,0.00946915321659425,0.01087496223083706,0.010424119387449693,0.011176924728247162,0.021519884059752137,0.01517663343611897,0.007035338793919266,0.010932652484749283,0.011997776538216876,0.0106584592786092,0.01159251126478189,0.009831537505352816,0.007401943032558478,0.011362646270119736,0.018836473001101695,0.009383210471131331,0.007786324400870903,0.05312992104468428,0.011236380975866211,0.01285199825828709,0.015597899622420641,0.02359189175301868,0.011564710629373032,0.010661336358632312,0.026987279299164335,0.014572486461639222
component_07,0.012602889811156093,0.007849694118499784,0.06544218547690717,0.007455960245030369,0.010555017908905562,0.015558949849670434,0.18165417193860156,0.011264969863457708,0.007253290603474127,0.007917307357173442,0.0200582736697843,0.005898740054961493,0.01008168367832063,0.007151356658502639,0.009074286101746765,0.012463277254168847,0.009653614849858272,0.007679719741552571,0.006158318170881305,0.03588437458669347,0.022294787686183426,0.00736825329015911,0.008513966635073977,0.006748953699572624,0.009234681957036805,0.01666704042059397,0.010935893059411228,0.008326694095504461,0.016237097994854288,0.013463802797947455,0.01310404815254218,0.011564400111658824,0.011978013918149344,0.008826413508344011,0.03441797764667953,0.005939444431396268,0.009286454930713006,0.008385533730637995,0.012152724508797341,0.012992868524829504,0.011750663772290615,0.013045632126632789,0.006930719599712365,0.00979963885846491,0.01222680380663732,0.01360717378755183,0.01010633713694542,0.010188911710068638,0.009567563930278578,0.05128412270088756,0.011221611343615656,0.01052323263786814,0.008998751876699629,0.021157361202090996,0.016110831584950525,0.008394333075025795,0.00791036537349532,0.0071649424316326815,0.028698205123279585,0.00767405052270087
component_08,0.019658649897674074,0.015402624347374605,0.007965867407423666,0.011138571777896011,0.010833852274927391,0.06548960730158715,0.01487248526781304,0.15718341149994597,0.01831697288220724,0.020829372189016926,0.010522023980768846,0.010286880792847342,0.012965273894255613,0.017017150414918802,0.012408076528695577,0.013262919613473478,0.009299611052582701,0.012427691014160303,0.06963768960342831,0.03454847427795471,0.014437580415852747,0.008757505249830544,0.007139052623642783,0.008360194930560727,0.004665352568447023,0.012287535091763058,0.045936309499031935,0.008294911325718246,0.028768235153824318,0.011951061493825854,0.010791830065755903,0.011151041895965719,0.006648691835280829,0.01582418287024767,0.05365219540891797,0.009664559623968394,0.01820025840875994,0.014058928424553585,0.013589724000730996,0.007829321965096003,0.008153376243146049,0.02182881622595456,0.0163176083119021,0.010991065566045677,0.010625902340348325,0.010029106175080571,0.01216239544901443,0.029240775023318122,0.00969578110664493,0.00882819673736357,0.009634903109261295,0.009752856902023765,0.012489657902738482,0.07541333486842916,0.020009924641716914,0.011744642521517079,0.017251792942259314,0.007714188693141555,0.03261878641983129,0.02343745170729017
component_09,0.014377697788213961,0.010097356633721688,0.007178179671608831,0.007074823259221041,0.00696803272343427,0.011774361450662685,0.014518125873608678,0.024094201003607374,0.2851046654802172,0.02256014484631308,0.009379497093340738,0.012071464067714643,0.01126030497702235,0.01138467304310442,0.01672817578131891,0.018739902204617742,0.010410200385159829,0.010448380174630678,0.009917918709368756,0.011694964511461237,0.011932595509796862,0.016734212807814064,0.0063143254910249524,0.010873596938567154,0.006634699404076905,0.010648199111416456,0.017357707421121304,0.007996739994410973,0.011539612988374692,0.007414803240381573,0.017242077448432536,0.015329955795004402,0.012639441409175944,0.00897299753634151,0.0062409253491075845,0.04630334801459046,0.008056655218552589,0.010133487037137012,0.010965010859661728,0.012318606174174462,0.014947012848168129,0.009142805496103357,0.021858892386805273,0.008296784785391864,0.00545660149668592,0.010715608367153795,0.027840279098815923,0.007661172105015268,0.00766668868835918,0.006959001459466485,0.007346660270344252,0.01021171188092218,0.010278020025059842,0.011000757784717763,0.009669456498964557,0.010997625822233736,0.016954274314691098,0.008168409984413927,0.010841174954880017,0.01371446658162423
component_10,0.010532714976497104,0.008970245800158594,0.022590287724779667,0.0077450992131540275,0.009743555399042592,0.03129516759415285,0.008910299868054139,0.012006443995512317,0.009682908599389695,0.4206807007603177,0.007401593401000994,0.011861030983816967,0.0066759853388846935,0.016684240029369413,0.007421932718914448,0.007894388320335288,0.007533307479183016,0.007558469298118098,0.006952046017659974,0.00625555174195469,0.02368160817153031,0.008868592008875353,0.031513077476272855,0.013833030583467298,0.01077853791899308,0.01947784458512425,0.010916483085421369,0.023465743079010615,0.013019172040451998,0.017499113175520442,0.02609507886217255,0.009663212294490187,0.010639520170590444,0.00813945750268008,0.009821439137385646,0.024056495699823266,0.007273493446085855,0.0201264645646706,0.045901975838534614,0.009692978732946056,0.030514981212224512,0.006411565549001796,0.00860508042599406,0.008761616100309233,0.009426616339980765,0.010150043151734955,0.021347282099431375,0.009466932488489288,0.010815664669533653,0.013496330613052443,0.013025009647940067,0.011738712713876609,0.012614445261804441,0.010087380184327976,0.009828326040192792,0.009014163122946783,0.007687011764744955,0.011609168339149267,0.012394176261636858,0.016819491964972233
component_11,0.010803003111912624,0.013478819261976582,0.007773952495936598,0.009995803740283637,0.010352124516286754,0.006517931940380972,0.009774236165433159,0.010828634229178125,0.009160311061322979,0.016746004893837707,0.31726743106402955,0.008224513986404336,0.017262108018140765,0.009036117152157797,0.018221441810014838,0.008411746740824455,0.011521528555292981,0.020080583162759513,0.010380035260305842,0.014104627545328263,0.016411128171146316,0.009696520872008119,0.013201111564705936,0.011383187194234257,0.01831485823973189,0.009418998352943575,0.009910133688454614,0.009805783665271406,0.010288273921677416,0.009791095195031296,0.011870878830040787,0.00703061024371987,0.011568383353573353,0.0417919476103874,0.017909105696208183,0.008257790937710396,0.012035314763363392,0.009738249964699186,0.007279030870032344,0.013421892752640385,0.010240420559985974,0.008158053098412221,0.006041557104377926,0.009063146526443244,0.007754467429665901,0.0146976212129184,0.026513167355820766,0.0075981889271719005,0.006305842872602163,0.011099194864060191,0.00932329245618968,0.014262749745539427,0.014061819825594846,0.009300458869648587,0.011907516322322564,0.008926430085415049,0.008461840223712436,0.012245507086324103,0.011455890661785872,0.01231574643993305
component_12,0.012476022403106413,0.010340959913585301,0.010608935241255502,0.010650476331913517,0.009396172035348815,0.01304715377554544,0.009109305604185991,0.01396626476844176,0.023588335862722243,0.015869551724069897,0.007311603224782637,0.339086875459242,0.008101331898651587,0.022743978476246873,0.010065163336884453,0.010706517376573466,0.018800773053570197,0.013558731870566998,0.023998873146006794,0.00863724963750867,0.009002014756327892,0.012175314326276165,0.009234430063703947,0.007832402596418042,0.010216523734187355,0.009202464156207846,0.005325151198989353,0.017272672146893875,0.0722512161741653,0.011881876768881305,0.00826425308290002,0.01983276705906789,0.00941820739176169,0.011468922173135887,0.01632811734619022,0.006029446195809918,0.020547650070116497,0.006409343169515136,0.015225401475290834,0.00812997875339283,0.009767789512927116,0.007342928641807411,0.015729416556693465,0.03997918111762777,0.02159599533200618,0.010288470111165626,0.013282228108072225,0.0084723055344047,0.009351511000805335,0.010458935940114156,0.01054445923411551,0.01042108759812388,0.012778632409469637,0.012451102293670413,0.014351679637191417,0.010364429632860439,0.008916829347281663,0.009244705325600844,0.008533630645329637,0.011496125063690243
component_13,0.011235314034928834,0.0076221612567537456,0.0103062006359802,0.009946765294635895,0.008545342425350988,0.013706072608504094,0.011317162975363892,0.01023874186473872,0.008625545321466976,0.008124431965428336,0.013196471548852173,0.01630945803757644,0.48405543630972225,0.006442132622163754,0.007494751771941033,0.010685309309265367,0.008210250484598447,0.044249221991091936,0.01586290593653983,0.009504963412553469,0.026961099735672178,0.00716915772072646,0.01375690439792443,0.010466510313256183,0.07542415127499247,0.009012857912815697,0.013388342637691952,0.010494100604038437,0.011538984516155537,0.010675548010766533,0.015314077281439964,0.011836456258591532,0.008039557637494976,0.0149228754289501,0.009057105273707844,0.016688902700365382,0.008515225227584189,0.010250956147749957,0.00777964432871503,0.016080028025063253,0.010644091434305558,0.011054562134646062,0.015484213625792442,0.007770115651585918,0.009209647217777395,0.015119989195674144,0.006360817875528113,0.009329728377489133,0.015229932186588968,0.04697139833233788,0.018786814954036668,0.019157730282442387,0.009261213137894408,0.011864246224401409,0.010657972164745289,0.011214012916139993,0.009666213048679761,0.008902545056655775,0.015603796898142619,0.00788788930144202
component_14,0.023075698952851553,0.01264445062351438,0.045319832488269096,0.026071544752811704,0.012875178424836875,0.008529566976005931,0.0172450231077228,0.008323331728587569,0.01335718213092374,0.008498371622311485,0.009547360501499291,0.009040106055838049,0.005056100719695866,0.23225059811602833,0.009200306199107278,0.006497548714618162,0.047023857529474355,0.0064246789408151095,0.13595996891051954,0.030431642510528434,0.012377355578002458,0.03019847871091219,0.00972830333314123,0.00735254654102091,0.010192285095869558,0.008006610996264207,0.011673652804825352,0.01229514575885915,0.01491323377355469,0.06924419117549929,0.008357195595471545,0.021792105396532868,0.007590581946870678,0.008342335342474527,0.005810920837381772,0.009607044073073556,0.014854696817562463,0.009903163860795594,0.00905571386469628,0.008548434531281401,0.01159141238052186,0.011726203020332893,0.008743880403085491,0.015203176227013948,0.010279367841329545,0.0065538769846567035,0.011267622847055847,0.012619900644026849,0.010819230110090228,0.02142712877888009,0.01900278283937551,0.008625828101412658,0.010467625020404547,0.013360316206980638,0.006711243377441001,0.009838573416915963,0.011490203942289057,0.01095481609716309,0.016244863084466488,0.007452133513527581
component_15,0.02874599780956455,0.03908340024397727,0.05154352907559501,0.008815551009961009,0.006878505549523517,0.013132538197563548,0.03933801781605739,0.016906731003111464,0.019608659486405777,0.008369453320530518,0.015467281701288194,0.019645269774327456,0.013072921246696012,0.01118261626424033,0.09564690364083228,0.013172459317202012,0.007899654870259454,0.01298190024630852,0.008586405879523085,0.008229277760618103,0.011092422153242687,0.012630672846986712,0.038537482835445225,0.010714457679064981,0.017388180117571927,0.03360818671960475,0.009245800151592931,0.009250334215535005,0.009724002567353729,0.011549510918477779,0.011258730585218313,0.010269829451634127,0.01402975058764211,0.009451499278138709,0.01622813291917602,0.007900119211560419,0.010475954115136688,0.012813035313028909,0.00933560960991553,0.027672830975754792,0.011948420986184871,0.0111690607431143,0.014197951104583773,0.00563033768907939,0.009685503077447422,0.008215767493626736,0.019540282159751676,0.0073934361649321545,0.007559811938595118,0.01204271344720631,0.008137132115324075,0.010317138567258688,0.020482938263480577,0.01735056860582951,0.015564794781938396,0.017145341370740308,0.010014940475313594,0.012832474624479673,0.01206533528571585,0.028710487297418652
component_16,0.020120719064459003,0.009535690260325858,0.013048155910562187,0.01047113209259809,0.009343526949125991,0.01901225669838169,0.008269218442225945,0.01131736539718986,0.01374252318955893,0.032847421451565495,0.006267224075925171,0.013948396866973134,0.010432399790301972,0.013370559208341959,0.010514707587587324,0.43510491458833567,0.012202209338020076,0.012011718904752389,0.01174640235569857,0.026571962065941257,0.01937536374601212,0.008061150907489267,0.012037767218608053,0.006897385004588585,0.010835493361207149,0.00951786248464348,0.015660112065592813,0.014536347299002106,0.009481827115322083,0.009671057331543942,0.0056943584542779035,0.019049061261517508,0.008575450404975982,0.010790682908989435,0.028665917389590234,0.036185280551153554,0.015137081465183666,0.014451700987969218,0.024730416957797985,0.008841778198473982,0.008174221176567187,0.012451299983896824,0.008151159352386195,0.008707444617071403,0.008309917656450061,0.012543862213248325,0.10885744925138807,0.008767723169337494,0.01067420724935264,0.010110659962227153,0.011626552160106218,0.010906903221041375,0.009030026177470063,0.01197351993150697,0.01059622443771513,0.007398157017669327,0.010300940427792504,0.010633962739257985,0.010554266442157179,0.03406817826424602
component_17,0.008043981901643349,0.009352045436994416,0.011003301131934595,0.008716306966969789,0.015215261623446885,0.009223714443558961,0.00871057999261815,0.015535801013963457,0.010157648701039523,0.011497020890363085,0.010134346934632443,0.02412702814467682,0.009914167227433879,0.012105407061748785,0.00970493408152251,0.01313467465871021,0.27672201003018415,0.009131839064572045,0.007604677446404473,0.054687656626034364,0.006970144342986817,0.020006586134722504,0.007658504624904694,0.015221693893836097,0.0071834200164477835,0.010041243365937813,0.007372009842965266,0.014838316044420097,0.016881718829633297,0.021362968118500802,0.009051073442634117,0.03194031239327533,0.031610954189877916,0.014948377647554523,0.00712343081784006,0.01060296582434006,0.026079664374736744,0.018980454019380755,0.007666399632435095,0.01957628295363545,0.01028758219065029,0.015986942155799433,0.019783815842105312,0.03142503211239989,0.010558511213273114,0.008830908652909919,0.014211125191256002,0.008820151765690731,0.012036972527967649,0.005971726569243607,0.011448722043680526,0.016459645268315448,0.011626455716439388,0.013606760705385135,0.005756652723616806,0.010124904261551215,0.014891604266152214,0.03241466522843783,0.01442728901698409,0.010251717749748757
