component,component_index,gateway_ei,susceptibility_ei,self_memory_ei,out_rank,in_rank
component_01,0,0.00810022714776545,0.00285975241817207,0.23651946641717417,1,41
component_08,7,0.006714384288924261,0.00391044422553481,0.11182283093607426,2,7
component_19,18,0.006568468139012017,0.004572667208016132,0.09480103895159821,3,1
component_25,24,0.006038402283916656,0.0028823684222905256,0.2645892489973177,4,40
component_14,13,0.00571756167647641,0.0038067519281452557,0.16582748896700997,5,11
component_30,29,0.00545402620953608,0.0034550131600735077,0.10547242397780623,6,19
component_02,1,0.004788857975381713,0.003123049777494846,0.17904147536272758,7,30
component_15,14,0.00475630350189925,0.0034879283034322775,0.0652022339183731,8,18
component_16,15,0.004654830644037611,0.0023599589538396307,0.31156779580269317,9,54
component_17,16,0.004178246278981277,0.0032552527612546406,0.20073789492547378,10,25
component_36,35,0.004046519307115953,0.0034241411280291115,0.1382783201919402,11,21
component_33,32,0.0038773164930744337,0.0026628125275434474,0.1599597754043523,12,45
component_06,5,0.0038498678653449627,0.0030048898289603216,0.2163237394483631,13,38
component_07,6,0.003839122266104516,0.0029519658815011546,0.1279881381798199,14,39
component_12,11,0.0038131740709581217,0.003239276651897343,0.2411998105686352,15,26
component_10,9,0.003747261908078902,0.0024704806435612205,0.30399789862545323,16,49
component_44,43,0.0036525317114220295,0.004505202248480687,0.06104356976647555,17,2
component_13,12,0.0035509446883729367,0.002161847067132979,0.3530018854697165,18,56
component_03,2,0.003523889350742145,0.0038088100433904316,0.1356387175387331,19,10
component_04,3,0.0034049226289091183,0.0011504892516073046,0.5356062155756942,20,60
component_38,37,0.0033344277190125436,0.003104767410211024,0.13734257909724457,21,33
component_47,46,0.0032945490823301764,0.004310373620422392,0.04595454521150208,22,4
component_26,25,0.0032253915721864733,0.002731615920923577,0.15431173743579352,23,43
component_05,4,0.003222048896562418,0.001163054111858113,0.41720484299540517,24,59
component_54,53,0.003204490588351675,0.003318116764909935,0.06002494598066346,25,24
component_18,17,0.0031982049763644793,0.0031196635177794785,0.21930912796240754,26,31
component_28,27,0.003012380441450386,0.003083161174685265,0.1412521840958895,27,35
component_27,26,0.002812020541923656,0.004466117480635622,0.07495873937617512,28,3
component_09,8,0.0027101581905303053,0.0026609727942564984,0.20501871347648234,29,46
component_57,56,0.002606814286100007,0.004207404600739035,0.04939790352490733,30,5
component_11,10,0.002444128845082172,0.002419440124193911,0.22792997462765516,31,51
component_42,41,0.0024139650321691607,0.0034515313017710733,0.08926972773576343,32,20
component_50,49,0.0024045026622128334,0.003020612434687529,0.12839285731168754,33,37
component_45,44,0.002396992487524997,0.0037045966318374835,0.12091887237977397,34,12
component_48,47,0.0023875175464229182,0.00278241246943128,0.11308807390481729,35,42
component_53,52,0.002377211181288042,0.0016100398764431916,0.17120680623988827,36,58
component_29,28,0.0023633871399147397,0.0032003573878615285,0.05893636676169788,37,27
component_23,22,0.0023370008080633845,0.003507187449799166,0.17238647370084026,38,14
component_58,57,0.0023104620965447705,0.0026858114824924676,0.1479679318345346,39,44
component_52,51,0.0022953611486158172,0.0038288561572656092,0.06067110793761633,40,9
component_56,55,0.0022893676210553,0.0031141953358652164,0.13899794256484826,41,32
component_43,42,0.00227867060437741,0.003364683222960766,0.10969739153245327,42,23
component_22,21,0.0022737590266704156,0.00354194425321211,0.1781262872957481,43,13
component_34,33,0.002252935130799039,0.003493561447888852,0.12512428450374685,44,17
component_46,45,0.0021704472169415535,0.002373988061368871,0.18748343609039025,45,52
component_32,31,0.0020955187724612918,0.0023672387253236135,0.18397058358536683,46,53
component_24,23,0.0020569543082108797,0.0024571765865802502,0.24434839781889256,47,50
component_37,36,0.0020547046814423926,0.0038561971454802416,0.10029001816054264,48,8
component_40,39,0.002051069965177919,0.0025713040979335887,0.14305801773522586,49,48
component_49,48,0.0018815324806369287,0.0023557029369039827,0.12075871970869063,50,55
component_60,59,0.0018425088219562896,0.003193821434896804,0.08641991869784271,51,28
component_59,58,0.0018391628836442063,0.0035041610283923375,0.03502846304266087,52,16
component_31,30,0.0018008543740881267,0.0017913555357423555,0.17840468709949397,53,57
component_51,50,0.0017000105819591426,0.003092310949635751,0.07922167302116476,54,34
component_39,38,0.001620750827958772,0.0030565671613357282,0.17619527492560405,55,36
component_21,20,0.0015731263045418165,0.0025932627130594754,0.14482920761506377,56,47
component_35,34,0.0015665613894341414,0.0035048694086499453,0.13127963772447615,57,15
component_41,40,0.0015548274018662243,0.0031646333561090047,0.14945839387752988,58,29
component_55,54,0.0014968671730460118,0.003408619138657902,0.09269677086829237,59,22
component_20,19,0.0014117600653540167,0.004164475627768017,0.12191792423008166,60,6
