source,target,source_index,target_index,direct_effect,raw_ei
component_01,component_02,0,1,0.041841259796131916,0.041841259796131916
component_01,component_18,0,17,0.0413134472549511,0.0413134472549511
component_01,component_22,0,21,0.059231150685309306,0.059231150685309306
component_01,component_23,0,22,0.032914984538000555,0.032914984538000555
component_01,component_31,0,30,0.054053730297609064,0.054053730297609064
component_02,component_09,1,8,0.05911528841464599,0.05911528841464599
component_02,component_16,1,15,0.05234534987085365,0.05234534987085365
component_02,component_38,1,37,0.034973124857819435,0.034973124857819435
component_02,component_52,1,51,0.05073221345814997,0.05073221345814997
component_02,component_54,1,53,0.03845732139768768,0.03845732139768768
component_03,component_10,2,9,0.037179735341267714,0.037179735341267714
component_03,component_14,2,13,0.036048885046466486,0.036048885046466486
component_03,component_20,2,19,0.04121074980754415,0.04121074980754415
component_03,component_43,2,42,0.08832973976901257,0.08832973976901257
component_03,component_60,2,59,0.056127514928303875,0.056127514928303875
component_04,component_03,3,2,0.044731381529067145,0.044731381529067145
component_04,component_30,3,29,0.03946456244842732,0.03946456244842732
component_04,component_44,3,43,0.04623132252385275,0.04623132252385275
component_04,component_46,3,45,0.03495646680912757,0.03495646680912757
component_04,component_55,3,54,0.05411264665096791,0.05411264665096791
component_05,component_26,4,25,0.05721227373079842,0.05721227373079842
component_05,component_31,4,30,0.04018273199715727,0.04018273199715727
component_05,component_39,4,38,0.03676121447257549,0.03676121447257549
component_05,component_40,4,39,0.09779241366978475,0.09779241366978475
component_05,component_54,4,53,0.05291758564539857,0.05291758564539857
component_06,component_21,5,20,0.013990616495737278,0.013990616495737278
component_06,component_37,5,36,0.025389934242710945,0.025389934242710945
component_06,component_41,5,40,0.018635693304455282,0.018635693304455282
component_06,component_56,5,55,0.061774163823633765,0.061774163823633765
component_06,component_59,5,58,0.014651676075865185,0.014651676075865185
component_07,component_03,6,2,0.05229738134888236,0.05229738134888236
component_07,component_11,6,10,0.04825487591530017,0.04825487591530017
component_07,component_22,6,21,0.029591691103472047,0.029591691103472047
component_07,component_23,6,22,0.029294993990634073,0.029294993990634073
component_07,component_59,6,58,0.03442551408880709,0.03442551408880709
component_08,component_01,7,0,0.021377410101442642,0.021377410101442642
