,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_01,0.0,0.041841259796131916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413134472549511,0.0,0.0,0.0,0.059231150685309306,0.032914984538000555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054053730297609064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05911528841464599,0.0,0.0,0.0,0.0,0.0,0.0,0.05234534987085365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034973124857819435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05073221345814997,0.0,0.03845732139768768,0.0,0.0,0.0,0.0,0.0,0.0
component_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037179735341267714,0.0,0.0,0.0,0.036048885046466486,0.0,0.0,0.0,0.0,0.0,0.04121074980754415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08832973976901257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056127514928303875
component_04,0.0,0.0,0.044731381529067145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03946456244842732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04623132252385275,0.0,0.03495646680912757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05411264665096791,0.0,0.0,0.0,0.0,0.0
component_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05721227373079842,0.0,0.0,0.0,0.0,0.04018273199715727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03676121447257549,0.09779241366978475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05291758564539857,0.0,0.0,0.0,0.0,0.0,0.0
component_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013990616495737278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025389934242710945,0.0,0.0,0.0,0.018635693304455282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061774163823633765,0.0,0.0,0.014651676075865185,0.0
component_07,0.0,0.0,0.05229738134888236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04825487591530017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029591691103472047,0.029294993990634073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03442551408880709,0.0
component_08,0.021377410101442642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025661906664492622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0340307523188629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021623049545069682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027045229074408362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027996989361842767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154862543251553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0299872171679603,0.0,0.0,0.0,0.0,0.01745886366757361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02408808745555909,0.0,0.0
component_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035448841536130794,0.03336374027798775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017821516458585263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09547938700399355,0.0,0.0,0.0,0.0,0.0,0.0,0.030144529463370238,0.0,0.0,0.0,0.0,0.0,0.0
component_11,0.0,0.0,0.020361247065847757,0.0,0.0,0.0,0.0,0.0,0.022014494120464308,0.0,0.0,0.02624020144395047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027927008732346253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02685613660691294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_12,0.0,0.0,0.0,0.0,0.044700984736615934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051032735204344926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028512345830422302,0.0,0.0,0.0,0.04669034862648329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027308687681155144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_13,0.0,0.0,0.0,0.010259408027839274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009800048185571137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142594762918988,0.0,0.0,0.0,0.0,0.0,0.019426845455624127,0.0,0.0,0.0,0.0,0.0,0.022292892874688365,0.0,0.0
