source_index,target_index,peid_best_lag_weeks,peid_best_ei,peid_lag_4_ei,peid_lag_3_ei,peid_lag_2_ei,peid_lag_1_ei,pcmci_lags_weeks,pcmci_coefficients
0,1,1,0.007313049137929668,0.00019781609597493174,0.0,0.0,0.007313049137929668,1,0.01605
0,11,1,0.0025923555429000333,5.350944116513744e-05,0.0022847093407243725,0.0002698174641571582,0.0025923555429000333,3,-0.000403
0,18,3,0.006111240460681672,0.0,0.006111240460681672,0.0,0.0002237859268865665,,
0,19,3,0.003644702257140322,0.00020720079143825258,0.003644702257140322,0.0010215038178129393,0.002511404946414394,,
0,33,3,0.006107118483553291,0.00016474608781389977,0.006107118483553291,0.0,0.003811646874185424,,
0,54,1,0.022186210734353153,0.00021872137657075503,0.0006141342836668722,0.003442567314781136,0.022186210734353153,1,0.1549
0,57,1,0.0035467383235872844,0.0014164512189839018,5.7115676418425745e-05,0.0002121396781777738,0.0035467383235872844,1,-0.09518
1,0,2,0.020897223035911308,0.000655156215382844,0.006490934040866377,0.020897223035911308,0.004878824115986613,"1,2","-0.08055,-0.1804"
1,17,1,0.002396179412540783,3.3095641825908306e-05,0.0,0.000965278539279303,0.002396179412540783,,
1,33,1,0.015749669294793423,0.0005200104683528157,0.00244204609905908,0.0,0.015749669294793423,,
1,36,4,0.0006934249291103528,0.0006934249291103528,0.0,0.00012913863343485597,0.00013633528927953058,,
1,46,1,0.02583448294316253,0.0,0.0005438333703034141,0.0009418979689207343,0.02583448294316253,1,-0.08452
1,50,2,0.0027891558526314166,0.001101026036293316,0.0007492847139744255,0.0027891558526314166,0.0004546321736605229,,
1,54,1,0.010848370816869403,0.0,0.0037822752898255953,0.00012189861162825613,0.010848370816869403,,
4,0,3,0.0017125128343679868,0.0002492228918522968,0.0017125128343679868,0.0003158366350574912,0.00010414409256319411,,
9,0,1,0.0011562793488393388,5.411383617033629e-05,0.0006479651308572693,0.00015608643062137883,0.0011562793488393388,,
9,1,1,0.0013002810557771849,0.00023834596796493005,0.0,0.0,0.0013002810557771849,,
16,1,1,0.0025802012518657204,0.0,0.0014521278395724564,0.0003299287625079829,0.0025802012518657204,,
59,0,1,0.005094672791205794,0.0027181620498022375,0.0,0.002354679004926667,0.005094672791205794,1,0.02752
