component,component_index,ace,acs,direct_out_strength,direct_in_strength,out_rank,in_rank
component_01,0,0.004963515925963564,0.00048006296019663744,0.2565519625865645,0.026167229099132078,1,56
component_14,13,0.004098595517469834,0.002580460957241977,0.20825270660891948,0.1445549697403806,2,6
component_08,7,0.003706681760046504,0.001798630199149736,0.19669107960491072,0.0967357979351185,3,21
component_19,18,0.0034425098601708055,0.0035235376376636708,0.1850370685252809,0.18537349382184123,4,1
component_30,29,0.0033474770574337446,0.0024337538667643993,0.18019424678852128,0.12761192742717492,5,9
component_25,24,0.003094003872627704,0.001450192774611366,0.1612759537183868,0.08027799068939559,6,33
component_16,15,0.0026242285030763364,0.0006705413621379536,0.14438707477427215,0.03722080457336097,7,54
component_13,12,0.002396897787760984,0.0007965342410862954,0.1270242578771217,0.04259091109692015,8,51
component_07,6,0.0023377075839125416,0.0014594954056362643,0.12992712155642527,0.07410490550691537,9,32
component_02,1,0.002243231095964449,0.0018373878713642234,0.11980401312292328,0.09845742194570148,10,17
component_33,32,0.002167214513819777,0.0012955213856324266,0.11717092088175698,0.06843906375325395,11,35
component_15,14,0.0021442081358963067,0.002343008910100151,0.11439520585172246,0.12903878042604416,12,11
component_12,11,0.0019394497358558537,0.0012501911013168387,0.10279458668212799,0.06550540936065524,13,40
component_18,17,0.001907441371041265,0.0013703924307960143,0.1051164406069545,0.07553769440122751,14,34
component_44,43,0.0018722275816416395,0.003503527245202197,0.09968892635376483,0.1861326697022849,15,2
component_17,16,0.0018243319123571451,0.001833083509377237,0.10080976568635361,0.09245555964828683,16,19
component_04,3,0.0018216762000835317,0.0,0.09825037719940491,0.0,17,60
component_06,5,0.0017797978585683055,0.0016927957455765278,0.09383496642115625,0.08970649754010634,18,24
component_27,26,0.0017239164549139466,0.0028426883313785786,0.09268068045135612,0.15545319356838572,19,4
component_10,9,0.001595444938916044,0.0011192159184718587,0.08860477312093108,0.059898720881829855,20,47
component_03,2,0.001560336597187709,0.0021097726444277948,0.08714912593908783,0.11121435083202193,21,14
component_36,35,0.0015460197114537068,0.0020746883992173028,0.0855857214749097,0.11460358401112604,22,15
component_26,25,0.0015197022298896364,0.0016870553341189842,0.0823488663496399,0.0911905399475896,23,25
component_34,33,0.0014629515333362388,0.0015740803611812015,0.07976895915031157,0.08521712157555,24,28
component_54,53,0.0014458182226739454,0.0011233338706554262,0.0792319232588656,0.060728851679835806,25,46
component_43,42,0.001427035299829162,0.0015323379132171665,0.07929915885008554,0.08036353402180281,26,31
component_38,37,0.0014145782221707567,0.0015511082158637017,0.07641774990054373,0.08243853584233797,27,30
component_09,8,0.0014053951562195972,0.0012690906089569008,0.07502646567733487,0.0676922785205141,28,38
component_05,4,0.0014043060991435273,0.0003641766893798398,0.07737871283387694,0.019651942005930574,29,58
component_28,27,0.0013544003280256157,0.0005456744730597093,0.07496003274192733,0.03072564139553433,30,55
component_57,56,0.00132770140730441,0.0027032654628271367,0.07249092475181225,0.14212733661716825,31,5
component_47,46,0.0012870108406704047,0.002506623472755668,0.07070488639618434,0.1406028503558024,32,8
component_52,51,0.001264645629556775,0.0020465472241537,0.0688059634174375,0.11062080238583004,33,16
component_22,21,0.0012544821951853528,0.0012618641625584627,0.06740315217401999,0.0671355729961926,34,39
component_29,28,0.0012080712037606698,0.001836819543498828,0.06310100358405958,0.09911658963054922,35,18
component_23,22,0.0011988574416030222,0.0025623110772208485,0.06459104202375335,0.13890937239212447,36,7
component_11,10,0.0011911565433001805,0.00103573928920779,0.06330873398246767,0.055162702341486486,37,48
component_46,45,0.0011717823916171256,0.0007809903260790575,0.06452244847847577,0.042333345918085206,38,52
component_40,39,0.0011652764404875158,0.0009271593387770751,0.06288866642844348,0.05142640943186843,39,49
component_45,44,0.0010840102917973034,0.0030284480146022382,0.0603672591378628,0.16078201761754035,40,3
component_32,31,0.0010510620483327542,0.0011278834774150395,0.05597916341455651,0.060314859674552614,41,45
component_48,47,0.0010380188684358982,0.0012712925516147305,0.05757501260278843,0.06853776087373323,42,36
component_53,52,0.0009863107852845418,0.0003748396984858014,0.05174170186551183,0.01973915307017438,43,57
component_42,41,0.0009832169190358705,0.001813815892747807,0.050978546193319776,0.09241393317634972,44,20
component_59,58,0.0009586069380337184,0.001270635035969991,0.05022507083965551,0.06959062171263111,45,37
component_31,30,0.0009287860884406283,0.0003310675981964031,0.0513477480615967,0.019122122254177643,46,59
component_50,49,0.0009118909571474265,0.0015723970747509393,0.05096308642536314,0.08690137723738127,47,29
component_58,57,0.0008588941538576188,0.0012265834467286678,0.04439677094715591,0.06623294017775368,48,42
component_37,36,0.0008584715029544588,0.0017866148525556402,0.04749095868687675,0.09732297099575517,49,22
component_41,40,0.0008549611812474002,0.002289095237540019,0.04516588928383272,0.12814809267399632,50,12
component_51,50,0.0008467761534875477,0.0015870012691770552,0.04697783222984431,0.08755374509841923,51,27
component_39,38,0.0008434884773448378,0.0011343443696945964,0.04620972307044183,0.06274270639293467,52,44
component_56,55,0.0008144784151987171,0.0015986107060462571,0.04490592645674901,0.08765123046070536,53,26
component_24,23,0.000808625659990947,0.0008446566986160851,0.0442096651628297,0.04701491995956672,54,50
component_35,34,0.0007402907977458997,0.0022384639374961393,0.04032061946913493,0.12180580175309201,55,13
component_60,59,0.0007248886296864598,0.001199112908013654,0.039334897968085585,0.06432122737101814,56,43
component_49,48,0.0007083710677802331,0.0007034599866100605,0.039162599620087786,0.0366054391945099,57,53
component_21,20,0.0006849613174893783,0.0012300747609256446,0.03760937484695313,0.06618321485657186,58,41
component_55,54,0.0006207223436346662,0.0017632148293072823,0.033479277382412985,0.0932815111177125,59,23
component_20,19,0.0005800995489658316,0.002361744699472772,0.03231720828479688,0.12544394909400652,60,10
