split,component,rmse,mae,corr
train,overall,0.6418547639366152,0.5108035195290312,0.5813991146480831
train,component_01,0.5584347729833513,0.44400191133256905,0.7751345253942908
train,component_02,0.5991161633684478,0.4777685043064782,0.7132942851273941
train,component_03,0.6074467967843737,0.4777187831271458,0.6968829350137623
train,component_04,0.660449075303494,0.5254712822377962,0.6867477923218042
train,component_05,0.6103284024274388,0.4851942775950758,0.7492599902564423
train,component_06,0.6018222740899468,0.48012210927424664,0.6867463209673704
train,component_07,0.5824302668568908,0.4619502623925329,0.6973049647585827
train,component_08,0.6081860472124557,0.48211458400427054,0.6270457426815761
train,component_09,0.6321343730564161,0.4955622774696221,0.6387277456359469
train,component_10,0.652198463354804,0.5176097481377201,0.5925828930232964
train,component_11,0.5999141813105868,0.47396467194403896,0.6689645512498585
train,component_12,0.6675291650520186,0.5329605079148434,0.6120743576645962
train,component_13,0.6983982585210754,0.5605816539755433,0.5679104160956951
train,component_14,0.6678538567169581,0.5331039185208211,0.6187173085064476
train,component_15,0.5914575886418644,0.4715188196228102,0.7213675837459792
train,component_16,0.6736712821939824,0.5390294148041882,0.6023919231293285
train,component_17,0.6653667282265561,0.537852332227138,0.6325362025330599
train,component_18,0.7057010495066596,0.5642970052566091,0.5032261509764271
train,component_19,0.6475339819673093,0.5191791482957417,0.6157008900277526
train,component_20,0.6531017215360468,0.518015901053451,0.569037236920026
train,component_21,0.6163261909313549,0.49487329207142877,0.5560569001212061
train,component_22,0.6543218405643743,0.5233608872566201,0.5444637861941337
train,component_23,0.685821649088963,0.5457527440557206,0.5656526269624933
train,component_24,0.7107924576785469,0.5708974539438618,0.520827478612499
train,component_25,0.7109083660178915,0.5718022205055602,0.5399285125242763
train,component_26,0.6635229763196923,0.5307440945051057,0.5862450781606255
train,component_27,0.6259553883339832,0.4986457108637465,0.5472665181279286
train,component_28,0.6580823894591792,0.5273740428236361,0.5233326629792299
train,component_29,0.5791064110608396,0.4585656543409361,0.599213183792717
train,component_30,0.657067739470787,0.5304855857166947,0.5121618721444154
train,component_31,0.5495300469699727,0.43477434285051203,0.7789131604297997
train,component_32,0.6721947123233671,0.5323268385679897,0.47183615938932816
train,component_33,0.6994523158777894,0.562581176823454,0.47629093599489725
train,component_34,0.7108006141212293,0.5746614865015702,0.471283106621953
train,component_35,0.6430585838360222,0.5105721588401633,0.5379912443214718
train,component_36,0.6562790425290917,0.5167367448066382,0.5163708745489933
train,component_37,0.6501767124109022,0.5150055475504913,0.5021038359843938
train,component_38,0.6204038631669435,0.4927954245015188,0.5664754124573282
train,component_39,0.6923386578659213,0.5517921879173497,0.4691488516513014
train,component_40,0.6499292304411742,0.5137326347163549,0.5234454787958055
train,component_41,0.6455811252334797,0.5174471756047643,0.5681783992759017
train,component_42,0.6254604314471641,0.4933602061572649,0.5230779262686005
train,component_43,0.6502483001240655,0.5236558444076489,0.4430710167308812
train,component_44,0.6416442911967174,0.5108897258538386,0.46613950100475
train,component_45,0.6550712285034792,0.5208152546200175,0.5351016688053087
train,component_46,0.6927893149794406,0.5543729681056692,0.4945970192699712
train,component_47,0.660589442960039,0.5299456871702691,0.44507656850902366
train,component_48,0.6736460884178425,0.5341483482226043,0.4209592064295233
train,component_49,0.6210029287386098,0.49523225248690605,0.5875999733444285
train,component_50,0.6427004068944975,0.5124884645747024,0.5228454608603994
train,component_51,0.6800126585075914,0.5434373362162522,0.44141761536631824
train,component_52,0.623326967720731,0.49552417453741476,0.5250229685022367
train,component_53,0.5500703732925901,0.4399086626956473,0.744588577904092
train,component_54,0.5814274716476283,0.4642705322387888,0.5286567562429848
train,component_55,0.6227490329952536,0.5009872796859254,0.5299959881098963
train,component_56,0.6146076038791078,0.4923927449984729,0.45581803678391997
train,component_57,0.6211914825982461,0.4909091183085083,0.4544392217316654
train,component_58,0.6046955368518178,0.48395235211953114,0.5191642593675222
train,component_59,0.610939638713979,0.485599293350819,0.43748205961535525
train,component_60,0.6315801771795484,0.5033764077348339,0.4476731894704593
val,overall,0.7102126591265724,0.5654319928651653,0.44126022372899276
val,component_01,0.6654469222896615,0.5282513686856332,0.7555842070926003
val,component_02,0.6754439192571244,0.5306749551427166,0.6320382918654676
val,component_03,0.6871833733929148,0.5550265070750781,0.5197041095376209
val,component_04,0.76714304953331,0.6116837964572197,0.5581961429074567
val,component_05,0.6773605891361527,0.5362153138650582,0.466936393739397
val,component_06,0.6408744994972604,0.5167075203996063,0.553889272590725
val,component_07,0.661291334053222,0.5247696144998912,0.37479726875010266
val,component_08,0.7706383891822582,0.6184101260812706,0.611722183747772
val,component_09,0.6701634915970577,0.5191378260617024,0.6679562989127702
val,component_10,0.7134236412973846,0.5764523751695689,0.5641255736391155
val,component_11,0.6411768278907755,0.5178207576343494,0.6100859409760879
val,component_12,0.7575513839664488,0.5970941226669462,0.4847795623140543
val,component_13,0.7085996436503009,0.5710290640031973,0.5071941992593425
val,component_14,0.7108580215701199,0.5715203790865268,0.4996711402136875
val,component_15,0.6002714717366782,0.4647469984121732,0.5655466064320067
val,component_16,0.7452953796829973,0.6086757310218593,0.5196978398298314
val,component_17,0.698900538024615,0.5564060216633718,0.45149607756996646
val,component_18,0.7491573781657613,0.598309852014539,0.3763123473117716
val,component_19,0.7350089443858175,0.5894573016795158,0.5556153968261479
val,component_20,0.7021238324933141,0.5569799076292187,0.4602028467193026
val,component_21,0.6623897400440868,0.515925342240142,0.44408308075425734
val,component_22,0.7249576257849605,0.579979974835086,0.47289364436245523
val,component_23,0.7764086816737051,0.6135308781141897,0.36161128988151164
val,component_24,0.75890676435972,0.6175379886304228,0.4319991870521686
val,component_25,0.7725117755216349,0.6226978235152912,0.4153781195675165
val,component_26,0.7425716339625238,0.5935705841398675,0.46541785627635657
val,component_27,0.7548830517205868,0.611947578081596,0.3981376258842881
val,component_28,0.7190393206684289,0.5785727494679941,0.3488119335213048
val,component_29,0.6146840603528337,0.48906874971279457,0.3427416394769847
val,component_30,0.7424690548618496,0.6028411455114507,0.28556131660365075
val,component_31,0.5621269092420577,0.45132725952920527,0.3671723866028927
val,component_32,0.7293426299115976,0.5917377228572868,0.2539817094146984
val,component_33,0.7503623081665548,0.605870575981175,0.3349007382008872
val,component_34,0.7770336139991558,0.6260965307898436,0.3769233238955016
val,component_35,0.7234645872877051,0.5697288781508364,0.37540497356452535
val,component_36,0.6980044240379779,0.5670938806563623,0.43833577584006567
val,component_37,0.7485301424161019,0.6034709769696252,0.3545632584763128
val,component_38,0.6729362368987063,0.5301724056507537,0.49096293139783126
val,component_39,0.7838722394019436,0.6275519025344346,0.24652033689148928
val,component_40,0.681111483239178,0.5367903647415813,0.2867827389459609
val,component_41,0.7387091315642519,0.5999799985382245,0.46215850547371007
val,component_42,0.7219545523321208,0.5660327085642499,0.3498132072671677
val,component_43,0.7233631441927378,0.5634636954333865,0.21298459518203164
val,component_44,0.7388957829842805,0.5983074674475558,0.3116112283144812
val,component_45,0.7666144630832818,0.6098028836676855,0.381826400589589
val,component_46,0.7536979660996177,0.608940232598492,0.3433006942083903
val,component_47,0.7230924429467757,0.5711334502425929,0.2619765445859546
val,component_48,0.6820801101943315,0.5393220703002454,0.2414845627819974
val,component_49,0.6903201444490106,0.5519169641916011,0.38080873205580834
val,component_50,0.7342840882181781,0.5788918143384528,0.2992658903682841
val,component_51,0.7024420339454184,0.5535752324907837,0.22307282911581622
val,component_52,0.7174033751808262,0.5674893456032535,0.27594239587796443
val,component_53,0.5591188677404106,0.4477113807340437,0.34860714901353523
val,component_54,0.66383360845137,0.5249834049252465,0.42163444686937446
val,component_55,0.7121696905895243,0.5784719203008198,0.34894742127413414
val,component_56,0.6862863884483014,0.5412389380913484,0.2582260740472407
val,component_57,0.6965124181615652,0.5561117464399683,0.3099167501084661
val,component_58,0.7610790430153106,0.6104302045163515,0.47694474148330884
val,component_59,0.6264427200143408,0.49241462372262607,0.19820952150880147
val,component_60,0.7336514437358566,0.5808186384036186,0.3152236613682527
test,overall,0.7162390465454804,0.5712538587413554,0.4481518747702629
test,component_01,0.5677664696077794,0.44325209622849854,0.7491498570490476
test,component_02,0.6947388773344875,0.5419253026066376,0.6419599794233672
test,component_03,0.6575634486260004,0.5286354336393804,0.6231518327216407
test,component_04,0.7528504136965221,0.5981459747666861,0.5258130519928133
test,component_05,0.6388652760924625,0.5053689661276071,0.542418028560852
test,component_06,0.6577065254498786,0.5262623306737111,0.6085755419735798
test,component_07,0.6731005532772054,0.5513828076070046,0.4685561011732241
test,component_08,0.7305036368554457,0.5661873367769817,0.37490066560575813
test,component_09,0.6962100257791843,0.5429399943224419,0.5717770982662396
test,component_10,0.703245891619865,0.5599963977041112,0.4949531988173739
test,component_11,0.6564185349510201,0.5186177183587388,0.6332683088112455
test,component_12,0.7633318871548807,0.6205940274662037,0.42592880668734534
test,component_13,0.7556937240328289,0.6155540061376337,0.4934305526610788
test,component_14,0.7183492853928172,0.5764971514537233,0.50891603896348
test,component_15,0.6370700259035279,0.5171228934353606,0.4505150501206003
test,component_16,0.7291706286534555,0.5957418448273772,0.5225306504804336
test,component_17,0.7419901715441608,0.5905779385020699,0.486707824657206
test,component_18,0.7461765649887415,0.612097880284714,0.39327877597314964
test,component_19,0.7148566300576303,0.5648257275701697,0.41832754315544124
test,component_20,0.6887636226616259,0.5474199389478738,0.42812356901032894
test,component_21,0.6847261091544996,0.5517824051547237,0.48726754479560835
test,component_22,0.7758399626379242,0.6254882040853188,0.40606753348689584
test,component_23,0.7751790213878534,0.6229013345719792,0.3760154534217804
test,component_24,0.7522284756884249,0.603413422744198,0.40364846007354155
test,component_25,0.7442628018935902,0.5961447506488032,0.3898298781187955
test,component_26,0.6824801628269045,0.5379119448489977,0.5210140173680572
test,component_27,0.7570455252698858,0.594740326532989,0.4153530709832698
test,component_28,0.7519825190311552,0.6005459106107707,0.41520090410998206
test,component_29,0.6457567192037384,0.5189614196688139,0.2834715016955694
test,component_30,0.8008841377588358,0.6278384209284626,0.3052753517347627
test,component_31,0.5669718988469644,0.45542814598466164,0.3152909438722526
test,component_32,0.7945849880284378,0.6369167040881956,0.22668858297526995
test,component_33,0.7902784894641224,0.6342962249603975,0.33500333898484946
test,component_34,0.7597279926897164,0.6075241507795319,0.33322861859322883
test,component_35,0.6419268083058034,0.5147952833969447,0.4074338589751653
test,component_36,0.7038477362932298,0.5538425234177742,0.43106500198979864
test,component_37,0.7886028276685969,0.631553670389757,0.33198763574133416
test,component_38,0.7213411772321905,0.5776684914309648,0.5472978080524001
test,component_39,0.7525786162443727,0.6114822605035122,0.31904618759706777
test,component_40,0.6806569285356513,0.5451373416059301,0.37717437877880594
test,component_41,0.7504802083382379,0.6053788142845979,0.41837549603105867
test,component_42,0.7204300099666391,0.5813769263341493,0.3691195351812682
test,component_43,0.784213513898857,0.6316505130244504,0.27824241662402394
test,component_44,0.7702905404162993,0.6290990593525674,0.3441183909373757
test,component_45,0.7591135422386671,0.6021270214083784,0.3514353218409209
test,component_46,0.7739026465307234,0.6273939987596273,0.3384669658916372
test,component_47,0.70488325342265,0.5784280357766024,0.30701747710778715
test,component_48,0.7505236389541504,0.5896799065062543,0.302784899718196
test,component_49,0.6757865802248032,0.5468882883510432,0.38458245942338226
test,component_50,0.7075328594321328,0.5744052106438675,0.29903999510445745
test,component_51,0.7037674187905079,0.5569346863290564,0.23593580784694346
test,component_52,0.7317889996335214,0.5871134645153788,0.2638030503009084
test,component_53,0.5672788439624851,0.4528670417404618,0.35623703468975504
test,component_54,0.7021277500266535,0.5506635163079007,0.4555847768366622
test,component_55,0.6641092298676913,0.5325967892071458,0.4421807098017669
test,component_56,0.7487426596847161,0.593829418013582,0.24310024367635547
test,component_57,0.7382992084728998,0.5830671230887422,0.2758635100502499
test,component_58,0.71708719211234,0.5705046148697942,0.37857801017767684
test,component_59,0.7018390435367505,0.557081878969204,0.24151652069833632
test,component_60,0.6838001846417499,0.5526265132088694,0.23588389836784354
