component,component_index,amce,mediated_fraction
component_19,18,1.0978910020254917e-05,0.078993121691587
component_14,13,1.019588771753613e-05,0.07335928591628882
component_30,29,7.350361268208268e-06,0.05288575833716706
component_08,7,6.172582819325582e-06,0.04441165697677005
component_44,43,5.991486357513289e-06,0.043108670175761345
component_15,14,4.765000474498098e-06,0.03428411942971352
component_27,26,4.538344611957089e-06,0.032653333304425845
component_25,24,3.839884414571528e-06,0.027627920830235037
component_02,1,3.803295354028558e-06,0.027364662992551754
component_57,56,3.240803156986403e-06,0.02331753859773069
component_47,46,3.0217694162572833e-06,0.02174159354452794
component_45,44,3.003656784929479e-06,0.021611273386334413
component_03,2,2.989483844638537e-06,0.021509299256383032
component_07,6,2.986594581225172e-06,0.02148851104188907
component_17,16,2.902082872015682e-06,0.02088045034026814
component_36,35,2.73867730010151e-06,0.019704749273086988
component_23,22,2.663808220678488e-06,0.0191660671734169
component_33,32,2.546550378555965e-06,0.018322398450839803
component_06,5,2.4957566475814422e-06,0.01795693818523622
component_18,17,2.4377353553112685e-06,0.01753947570557792
component_26,25,2.2743319624757073e-06,0.016363790316840397
component_12,11,2.178430771868842e-06,0.015673782437551822
component_52,51,2.150905441688186e-06,0.015475738027628586
component_29,28,2.0620648251578665e-06,0.014836530891420343
component_01,0,2.0267546739351e-06,0.01458247479046474
component_34,33,2.0175059681328226e-06,0.014515930466703903
component_38,37,2.0102092825076593e-06,0.01446343090395401
component_43,42,1.9718808189571076e-06,0.014187658083162646
component_41,40,1.7164635275252025e-06,0.0123499338330328
component_16,15,1.6440635098390481e-06,0.01182901660199581
component_42,41,1.555075491273512e-06,0.011188748909968823
component_35,34,1.5215173434353293e-06,0.010947298451677854
component_54,53,1.5098019423185697e-06,0.010863006285663687
component_10,9,1.50414884376967e-06,0.010822332311582113
component_13,12,1.460129689355426e-06,0.010505615040469584
component_09,8,1.4463425850845392e-06,0.010406416995906371
component_37,36,1.4224957954040367e-06,0.010234839639346354
component_22,21,1.3813359325234576e-06,0.00993869493542436
component_50,49,1.3662505400096025e-06,0.009830155723024052
component_20,19,1.2369765893352477e-06,0.008900031248159796
component_56,55,1.190595844052979e-06,0.008566322359985149
component_48,47,1.1747914291890195e-06,0.008452609790676371
component_51,50,1.1586301015026425e-06,0.008336329238028399
component_59,58,1.1487485595436696e-06,0.008265231665953795
component_32,31,1.087807108875348e-06,0.007826758682768456
component_11,10,1.0711572822460127e-06,0.007706963386272862
component_40,39,1.0331046142398896e-06,0.007433174911009681
component_55,54,9.748074434754383e-07,0.007013727489000059
component_58,57,9.210671833638057e-07,0.0066270669827290405
component_39,38,9.093447783387807e-07,0.006542724423681601
component_46,45,8.374213586510663e-07,0.006025236309343745
component_21,20,7.798439565162633e-07,0.005610967613714675
component_28,27,7.174084592284441e-07,0.005161744983596341
component_60,59,7.135029583673236e-07,0.0051336449532454285
component_24,23,6.553970526526941e-07,0.004715573680901671
component_05,4,4.330252763581528e-07,0.003115611503126103
component_49,48,4.188492924205951e-07,0.003013615474175
component_53,52,3.3457576410526646e-07,0.002407268481139202
component_31,30,3.062100566157323e-07,0.0022031775668813302
component_04,3,0.0,0.0
