source,target,source_index,target_index,ei,bias_correction
component_04,component_04,3,3,0.5356062155756942,0.00012214486198658392
component_05,component_05,4,4,0.41720484299540517,0.00012214486198658392
component_13,component_13,12,12,0.3530018854697165,0.00012214486198658392
component_16,component_16,15,15,0.31156779580269317,0.00012214486198658392
component_10,component_10,9,9,0.30399789862545323,0.00012214486198658392
component_25,component_25,24,24,0.2645892489973177,0.00012214486198658392
component_24,component_24,23,23,0.24434839781889256,0.00012214486198658392
component_12,component_12,11,11,0.2411998105686352,0.00012214486198658392
component_01,component_01,0,0,0.23651946641717417,0.00012214486198658392
component_11,component_11,10,10,0.22792997462765516,0.00012214486198658392
component_18,component_18,17,17,0.21930912796240754,0.00012214486198658392
component_06,component_06,5,5,0.2163237394483631,0.00012214486198658392
component_09,component_09,8,8,0.20501871347648234,0.00012214486198658392
component_17,component_17,16,16,0.20073789492547378,0.00012214486198658392
component_46,component_46,45,45,0.18748343609039025,0.00012214486198658392
component_32,component_32,31,31,0.18397058358536683,0.00012214486198658392
component_02,component_02,1,1,0.17904147536272758,0.00012214486198658392
component_31,component_31,30,30,0.17840468709949397,0.00012214486198658392
component_22,component_22,21,21,0.1781262872957481,0.00012214486198658392
component_39,component_39,38,38,0.17619527492560405,0.00012214486198658392
component_23,component_23,22,22,0.17238647370084026,0.00012214486198658392
component_53,component_53,52,52,0.17120680623988827,0.00012214486198658392
component_14,component_14,13,13,0.16582748896700997,0.00012214486198658392
component_33,component_33,32,32,0.1599597754043523,0.00012214486198658392
component_26,component_26,25,25,0.15431173743579352,0.00012214486198658392
component_41,component_41,40,40,0.14945839387752988,0.00012214486198658392
component_58,component_58,57,57,0.1479679318345346,0.00012214486198658392
component_21,component_21,20,20,0.14482920761506377,0.00012214486198658392
component_40,component_40,39,39,0.14305801773522586,0.00012214486198658392
component_28,component_28,27,27,0.1412521840958895,0.00012214486198658392
component_56,component_56,55,55,0.13899794256484826,0.00012214486198658392
component_36,component_36,35,35,0.1382783201919402,0.00012214486198658392
component_38,component_38,37,37,0.13734257909724457,0.00012214486198658392
component_03,component_03,2,2,0.1356387175387331,0.00012214486198658392
component_35,component_35,34,34,0.13127963772447615,0.00012214486198658392
component_50,component_50,49,49,0.12839285731168754,0.00012214486198658392
component_07,component_07,6,6,0.1279881381798199,0.00012214486198658392
component_34,component_34,33,33,0.12512428450374685,0.00012214486198658392
component_20,component_20,19,19,0.12191792423008166,0.00012214486198658392
component_45,component_45,44,44,0.12091887237977397,0.00012214486198658392
component_49,component_49,48,48,0.12075871970869063,0.00012214486198658392
component_48,component_48,47,47,0.11308807390481729,0.00012214486198658392
component_08,component_08,7,7,0.11182283093607426,0.00012214486198658392
component_43,component_43,42,42,0.10969739153245327,0.00012214486198658392
component_30,component_30,29,29,0.10547242397780623,0.00012214486198658392
component_37,component_37,36,36,0.10029001816054264,0.00012214486198658392
component_19,component_19,18,18,0.09480103895159821,0.00012214486198658392
component_01,component_14,0,13,0.09334738600962554,0.00012214486198658392
component_14,component_19,13,18,0.0929483556150612,0.00012214486198658392
component_55,component_55,54,54,0.09269677086829237,0.00012214486198658392
component_42,component_42,41,41,0.08926972773576343,0.00012214486198658392
component_30,component_44,29,43,0.08749701997581516,0.00012214486198658392
component_60,component_60,59,59,0.08641991869784271,0.00012214486198658392
component_51,component_51,50,50,0.07922167302116476,0.00012214486198658392
component_27,component_27,26,26,0.07495873937617512,0.00012214486198658392
