split,component,rmse,mae,corr
train,overall,0.6222476872138264,0.49487375537883205,0.6019393736990282
train,component_01,0.5195022632146344,0.4129522441094714,0.7993607928772002
train,component_02,0.5585524953558777,0.44764551938645425,0.7411680830975688
train,component_03,0.5767936493655212,0.4547714997934877,0.7205411288166568
train,component_04,0.6306026432317505,0.5033988646249886,0.7076263202113534
train,component_05,0.5825713495773572,0.46327777221864613,0.7675078888680322
train,component_06,0.5693528425324946,0.4536672975915005,0.7138649924167262
train,component_07,0.5554393830965156,0.43738215026628785,0.7172201904943315
train,component_08,0.5803269145402533,0.46072579457470075,0.6535606247071104
train,component_09,0.6098318473090696,0.4798960952844019,0.6587363472340859
train,component_10,0.6330187839032888,0.499573287587818,0.6101658816784649
train,component_11,0.5784150537767786,0.45612304711729795,0.686778602470815
train,component_12,0.6454483355577728,0.5145062084357497,0.6320341955639396
train,component_13,0.6784126174295793,0.5431187418018191,0.5883106502865115
train,component_14,0.6404029286141427,0.5088689200250769,0.6425677307877942
train,component_15,0.5666305904398578,0.4512633632723041,0.738750449255585
train,component_16,0.6501276256221589,0.5184663523629861,0.6232378149753653
train,component_17,0.6369254384391024,0.514217716895654,0.6545956437276522
train,component_18,0.6902769814059091,0.5518331577821418,0.5210122387253857
train,component_19,0.6227630531053211,0.4988624662868197,0.6392423567026484
train,component_20,0.6344204548724698,0.5032656427948791,0.5888525428686991
train,component_21,0.6027440215142997,0.4825167264130811,0.5707580071283515
train,component_22,0.6369069887934874,0.5103331897794731,0.5632393516542215
train,component_23,0.6648530539155311,0.533198422671888,0.5856242827020894
train,component_24,0.6918689239825363,0.5513475786982237,0.5398859170259576
train,component_25,0.6901776248851825,0.5535542974608304,0.5597813471138995
train,component_26,0.6394855434306563,0.5122853613706422,0.6084964398504321
train,component_27,0.6074872235484496,0.48274434897410307,0.5686637549769172
train,component_28,0.6411568979609644,0.5151934693974187,0.5424756059646293
train,component_29,0.5628579747825314,0.4475483534288408,0.6166633463875368
train,component_30,0.6428777327622597,0.5175304757089275,0.5287768600665921
train,component_31,0.5245318072949763,0.41871265683666853,0.7937816417976071
train,component_32,0.6575003310959646,0.5196216658766528,0.49204582813487835
train,component_33,0.6835773841641256,0.5496133542375344,0.49412661724743334
train,component_34,0.6945249955260674,0.5600062091060012,0.48945727951221213
train,component_35,0.6273594468227216,0.49661362780873824,0.5550237522425957
train,component_36,0.6407820101819585,0.506582530755091,0.5344002331034058
train,component_37,0.6316653677959457,0.4982002096521859,0.525632483946443
train,component_38,0.5986637378435941,0.4745636999675337,0.5897697503069916
train,component_39,0.6771802152645793,0.5392005988514332,0.4866375853300506
train,component_40,0.6347403362321079,0.505007537929615,0.5399880739007724
train,component_41,0.6233555881409291,0.4965572909157679,0.5939494362918869
train,component_42,0.6104797425378895,0.48067140028977984,0.5431846981378045
train,component_43,0.6371482006376349,0.5110712490565124,0.46173575501928804
train,component_44,0.6282295218056058,0.5026751490555078,0.4835236310933262
train,component_45,0.6366685194672729,0.5048556025642456,0.5536540156006811
train,component_46,0.678418433088009,0.5400887258555358,0.5107004138916916
train,component_47,0.6459932679325318,0.516608265722798,0.465463249042826
train,component_48,0.6605113962739646,0.5245592045871258,0.43941165975
train,component_49,0.6064416874794144,0.4832756756961197,0.602264828426557
train,component_50,0.6247059014970864,0.4964999117268813,0.544791716898518
train,component_51,0.6660531961495956,0.5323202645353018,0.46104295715241816
train,component_52,0.6061896101682253,0.4818397637733789,0.5438566571315325
train,component_53,0.5325419912190936,0.42746240431935284,0.7550818435655976
train,component_54,0.5668149966497595,0.4542228536538417,0.5475122437274237
