,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_01,0.0,0.030215418224024786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09334738600962554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058689354663633814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047541093844482796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02675870984479755,0.0,0.0
component_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017576116295926918,0.0,0.0,0.0,0.032688177668289756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03529143550801572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018955680161056372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015292603489634512,0.0
component_03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01236658655150391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012336859944110224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015081280306150205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023152494686644712,0.0,0.024211904450678785,0.0,0.0,0.0
component_04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009284044955587527,0.0,0.01099222568931139,0.0,0.01717418292167886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044300407813081435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0164995158197457,0.0,0.0,0.0
component_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016879131138420315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016532480370184347,0.0,0.0,0.0,0.0,0.0,0.0,0.019122122254177643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013949867124454838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010895111946639793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017693327229526212,0.0,0.013724030214210675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012652650106313095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037004371351570566,0.0,0.0,0.0,0.0,0.0,0.0,0.012760587519535715,0.0
component_07,0.0,0.0,0.04160941919985654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021128349558393267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020983371500477965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03115497959618328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015051001701514216,0.0
component_08,0.0,0.0,0.0,0.0,0.0,0.041882374462328786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0460572714826879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025460761220361502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03469109752808777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04859957491144476,0.0,0.0,0.0,0.0,0.0,0.0
component_09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010381457393659154,0.0,0.009796847021690232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029380476681993395,0.0,0.0,0.0,0.0,0.0,0.0,0.010348718807361958,0.0,0.0,0.0,0.015118965772630132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_10,0.0,0.0,0.0,0.0,0.0,0.01539859323831149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01193288545892595,0.0,0.01754537304939368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028842482932220206,0.0,0.014885438442079747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007650333463839946,0.0,0.0,0.0,0.0,0.009550845455787778,0.0,0.0,0.0,0.0,0.0,0.0,0.009966823864247163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023993904541584968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012146826657007805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
component_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011485845365293637,0.0,0.0,0.0,0.0,0.010654830079552959,0.0,0.0,0.0,0.0,0.010774307562221346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04602013475538173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023859468919678325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
