,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_01,0.0015559014117140324,0.0419596911340357,0.0016081319425019335,4.3237234403813945e-05,5.564206356812967e-05,1.9866191236932288e-05,0.001590115619091734,2.891921025392685e-05,0.0033255565753089107,0.0032418643060120223,7.812579645515797e-05,0.0009180458838973806,2.9131859258894206e-06,0.0006127137973459144,4.89791201159637e-05,0.002196394712884055,3.0435627881224374e-06,0.041425432774122,0.00011794242522998033,0.001075266689261948,8.333400857625617e-05,0.0593794591355821,0.033056485255433594,2.2264752133019246e-05,0.00014170353043580533,0.00011305551665543607,0.000910340342506034,0.001184131842730297,2.975068873291099e-05,0.0001012647197332827,0.05422494683766138,0.001656248748846012,2.16712033297447e-05,0.002962158176561631,1.416121348257929e-05,8.000530764699912e-05,4.977564716403793e-05,0.0015716015554149137,9.820500236137853e-06,0.0006072980386883123,2.1136910311013468e-05,4.2276133733332656e-05,0.00014314091188084033,0.00012200634427135534,0.0001306331683109509,5.996128039437403e-05,0.001216975138087884,0.00011775954115330573,0.00012259364527821896,8.781627136104694e-05,3.9847800985112214e-05,0.002131536253428058,0.0009952793864794823,0.0027751511970229114,0.0012179599458031656,7.665580529050315e-05,4.1730383084021775e-05,0.00012823040896621784,8.698628262818383e-05,0.00015125071068679573
component_02,8.954905744778033e-05,1.5402455084270404e-05,0.0015464868393119803,0.0006166587052962372,1.0357665635835506e-05,7.453653502839373e-07,9.736567776415745e-06,5.292404559221492e-05,0.05913492492830904,0.00011417087929660874,1.204511454177752e-05,5.005926604330299e-05,3.76413229506605e-05,0.00011299093113028027,2.7448500985990183e-05,0.0523461561177539,1.962146700482263e-05,0.0009067680454398955,0.0016667187405469519,9.73920706609828e-05,1.3766803321067193e-05,0.000159728821692632,0.00010850483104046419,0.000432477666491517,0.0005046387703020166,3.632804038354571e-05,0.001475505391714505,3.886802378784813e-06,1.5143874742803498e-05,0.001604746506235376,0.0009272075956925648,7.036646055312072e-05,3.459611045005146e-05,0.0006028684109442278,2.1214557968838725e-05,0.0007846445570769927,2.6932423357927656e-05,0.035010263042932865,2.1456487235004485e-05,1.7743052053220396e-05,3.4926212796918565e-05,3.6647152912723055e-05,0.00015002387477898937,0.002249065838477237,0.0024437489912636284,0.0007350133052018024,0.0005817797051804844,0.0023196270903549946,0.0014336388228911273,0.0011431223718431653,2.5616676123914723e-05,0.05073454029089755,3.0078798320318508e-05,0.03859493545996478,0.0006593213390062266,0.00130236338919991,3.554636357817939e-05,0.002570669170442164,0.0004226254913197704,0.0001121664339476527
component_03,0.00011244165554293014,1.0253496217811227e-05,0.00020637249321185918,0.0008973294513950547,5.49642908833288e-06,3.8297127920544555e-06,6.10702745982795e-05,2.9698592108572634e-05,6.380031775712266e-05,0.037324437974027125,1.1802433419482751e-05,0.00010077385916914428,7.277130516970744e-05,0.03706057464028575,5.25101441465137e-06,5.367228469208033e-07,3.127545658000139e-05,0.003091240983011443,1.8095394347504492e-05,0.04125246775097531,0.0009329400260076887,2.7838622147811594e-05,0.0022214432310495606,0.001431693045717502,0.0021827963057434335,0.0013030095406315668,6.0130979781948155e-05,7.957535855301133e-05,0.0009763688503803638,0.00016997341275196539,0.0015250364413786862,0.00013819071467929738,6.487997621776675e-06,0.00012959849070555846,1.752546296930897e-05,6.936106362876087e-05,5.048578794172795e-05,0.003743760277291072,7.73762412073118e-05,0.0008870657528674162,0.0007031461486011108,0.00013674639185510284,0.08836206506840384,8.504209586954656e-05,7.962957355663385e-05,0.0007718856045710591,0.00368326518602777,0.0024376450228322183,6.234056453623317e-06,6.979700975036705e-05,0.0013932169641545846,2.331232219799034e-05,0.0006489858326365703,0.0012551088838316893,5.0470132567184365e-05,0.004144368955200455,2.625951079895744e-05,3.1708545415762917e-06,5.92790602740565e-05,0.05679203215091584
component_04,6.681615837259832e-06,1.3275342215638193e-05,0.044764869863101464,6.447647730941734e-05,0.0006391313786713189,3.0415843072452754e-07,5.011996900678138e-06,3.1689177111585106e-06,1.2521524895183012e-05,0.0016863801532079222,0.00037929670330679664,5.0908097646160825e-05,1.6459569064301313e-05,0.002682186306728305,2.6279104498149575e-06,6.949024329328946e-07,0.0009226775193669495,0.00016635080441762884,6.009312891373466e-06,0.0025986791468873183,8.939347707209284e-05,1.7206587484617006e-05,0.00011712210237599954,0.0005278079071401705,0.00013257629494177974,0.00010288270134859619,2.3242703369427747e-05,4.195485691817228e-06,8.851681835529093e-05,0.03951319514853935,0.0001367550743385783,4.5634927193371265e-05,0.0007482841839474044,0.0007194997944432112,1.9699960738793276e-06,0.000533764826895338,0.0013383345435081925,0.00019228973320091882,3.88310631639663e-05,0.00014191449791351135,0.000598953274636159,1.2697771878435443e-05,0.004594037767734018,0.0463026409060883,0.000956723696310152,0.03504298708457355,0.00021145796820511468,0.000837321841300428,1.7237284225010847e-06,0.00042544781240924905,9.502172094456666e-05,2.8436752511666356e-05,7.414966306173377e-05,0.0006417169326116961,0.05412338939410081,0.0002988933676065114,0.0006811996940260476,6.837561110164931e-07,1.403663543795674e-05,0.004509650918095595
component_05,1.4177657693260784e-05,2.4265986611904966e-05,7.691464669937924e-05,0.0004393428860654354,5.9183228260233935e-05,9.952894068495475e-07,4.182030946469575e-05,2.744741020200137e-05,2.0293007082818543e-06,4.5899944020259325e-05,1.4622583525213277e-05,0.0011709353399072552,6.559273143668404e-07,0.00042980960965143905,7.131019743618922e-05,1.270211559161616e-06,0.0005057778862966903,1.3404493724755511e-05,2.151198199314211e-05,0.0007426738335166804,0.0010776313206145116,1.9428002776390928e-05,5.234173234392856e-05,1.9460784132404246e-06,2.4213559263301783e-05,0.05721739475425283,9.615463251347325e-05,1.874957712327398e-06,1.8320075874216345e-05,0.0004954555846775698,0.04134825224819656,0.00040117613285618785,6.059939823854072e-05,0.0007307139960356906,0.0010692803797233475,0.004712086936398334,0.002947898840734863,0.00034028503990276595,0.03677489076010149,0.09824447075096387,8.572038871789061e-05,5.1802090022562704e-05,7.66121783429556e-06,0.00010169160258385757,2.6371342151028652e-05,4.749473783970547e-05,0.0007591942909769973,1.3982547545959904e-06,0.0006654055254198691,0.0004999963913464403,0.0006042671085215657,8.096691561588346e-05,0.0007001169603020009,0.05292589837665817,3.2849986340903847e-05,2.2233128518635996e-05,7.802227148325602e-05,9.129790572378665e-08,0.0014087583784276405,1.7226294009567632e-05
component_06,4.332402610400527e-06,3.0940064065354874e-05,3.72538150645769e-05,0.00026208577640451794,1.7959764397425553e-05,1.6570278998719834e-05,0.0003233220749155814,1.0746026318910862e-06,9.906538577350277e-06,1.4706630528314584e-05,0.0001539156669714625,0.00030714809684109377,2.3179519094752088e-07,1.0328539854075499e-05,1.609913718666946e-05,1.6195684785276273e-06,0.00032014406023005425,0.0002303231319242337,8.179672656229729e-06,3.617247357777636e-05,0.014013032995137138,1.2567781025430211e-05,2.29877568319847e-05,1.0002282449150655e-05,2.7713202415453685e-05,0.0005326174507715686,0.0003641956432993061,8.234552054568385e-07,6.037845448296467e-06,0.0002460793931343806,2.5169330890445112e-05,1.6733327459457398e-05,0.0004298994739161502,0.0005931413405355161,1.2708660508407637e-05,3.462993355930394e-05,0.025408424377857036,1.5945619792428698e-05,0.00011266386752766604,0.00031934205951964303,0.01864051135552806,0.0008887216745089323,2.4135160240025986e-05,0.00044462285313154445,0.00019221407627704603,0.0011413921235529864,1.5338284598724468e-05,1.4368434585128895e-06,2.444870919527505e-05,0.0008166354594789593,0.0004615409148710012,0.0007921197768051295,1.9794704467268768e-05,2.369839805767243e-05,3.649235962574567e-05,0.06177961653630768,0.00030025764505494176,2.7923462416481327e-07,0.014677345954604652,3.980777774113729e-06
component_07,0.0013772047829652286,7.602213820036332e-05,0.054069941437195006,6.768700245604095e-05,6.619425589813243e-05,1.7261824216482723e-05,0.0008048010640204498,5.169422826190872e-06,0.0010788822393114753,0.0039294060333589145,0.04859492090027326,0.0013023654440803324,4.23491085007144e-06,0.0020058333865884408,6.793768317450652e-05,3.979405422028405e-06,1.3578712846121229e-05,0.00022572740982240564,4.4595131896747575e-05,0.0022526521512981775,6.894870467787258e-05,0.02970153578290351,0.029530272752809485,7.84232020340352e-05,0.00021348808106320052,0.00013810253250965722,0.0007805177928973123,0.0010578177329171683,5.748651535011738e-05,2.7428280454321973e-05,0.00019789582984674266,1.0556497914936427e-05,0.0002798292023875516,0.0010133939797553942,2.880612083478825e-05,3.0959489913901635e-05,2.6945678198736913e-05,0.0002587855500103956,0.0016179334973621907,7.047279673898425e-05,3.9347479473560994e-05,1.1722946620072698e-05,0.00478455027357227,4.2597231587443056e-05,3.841938180888621e-05,0.00046907443353966027,0.00039734087288888556,0.00014041686522001874,8.491155955022048e-05,0.0013316555283517117,0.0005556340926019378,5.961105835835158e-06,9.453591238101975e-05,0.0010770661784610923,0.0006189555043995241,0.00022809572730098318,2.4090222484087654e-06,2.616969125654932e-05,0.034503903426548826,0.0030927361736033305
component_08,0.02142315783222106,0.0012792819517578559,9.932303646833432e-05,0.0005916574567463104,7.570121783409379e-06,5.779130403067282e-07,0.00036491661039952597,2.790624697213464e-05,9.454392714450843e-05,0.0004937822467511451,2.7983410781288162e-05,4.225955558355904e-05,2.285136094173135e-07,0.025695439174158674,2.5946668540035242e-06,6.69644613482335e-05,1.248979919946798e-05,0.000899004325799439,0.0002706347712064742,0.00030754586064063384,0.00038800498268374927,0.0012806424182239802,0.0007180132291594299,1.6360291659041496e-06,0.03436007508701867,2.1047155817924027e-05,2.1969664123076166e-05,2.5720288215140265e-05,2.100183536028213e-06,2.7275516151410565e-05,0.0021859830989392247,4.592757219121616e-05,6.412662505814803e-06,0.021693045590514347,1.269756315632717e-05,2.6293414661127175e-05,2.858512897696728e-05,0.0004998940571777424,0.0012084514996389428,0.0003292644099552242,5.974980332846662e-06,8.776693143301418e-06,1.7238589772621348e-05,3.2158624309161726e-05,1.2803531696691889e-05,0.00046354364989833184,6.768063129839496e-05,9.741818551725488e-06,2.5227123073878553e-05,0.027062123095768126,0.00043256124531621806,7.394093306127635e-05,0.0009092063265983222,9.461339964052588e-05,0.0004764522294026644,0.0004714223330417885,9.898036368771724e-06,3.747721581575107e-06,0.0006247342470623287,2.7648555926904422e-05
component_09,0.0007250369513983847,3.245128529087956e-05,3.7238799237088714e-05,5.408884222831947e-06,4.136041031508017e-06,8.767758812012644e-07,4.454194218485986e-05,0.0005377131431689174,2.8675427270495626e-06,6.888112878787778e-05,1.321506361760142e-05,1.0811638016800816e-05,1.0323576799140696e-07,0.00018269737792032554,5.92520710539908e-07,1.6986738823099781e-06,1.1720790163153422e-05,3.2332383840963525e-05,0.0281681670559847,0.00028146963553731566,9.986690563725808e-06,0.0011658676729296236,0.0008161758669667019,9.087971050333683e-06,0.001014482567226333,1.20963112841328e-05,2.0763642267292255e-05,2.9236618045604786e-05,9.510872720256501e-07,1.1085225152648483e-05,0.015546825163115527,0.0001478619552854232,8.104187793476737e-06,9.143257968268562e-05,8.526169990841679e-07,0.0005818282849338855,2.4433201131312297e-05,2.3223198444814127e-05,4.139373880565473e-05,0.00017730813093771533,1.312346415689168e-05,2.177756965504191e-05,1.1297004627361877e-05,0.0009779952348108398,0.029996311820961862,0.00043848116930760256,2.3667727773562503e-05,4.396128860986908e-06,2.3481357444400265e-06,0.01812801652280762,0.00028047815844014747,2.3321898957064604e-06,0.000260481933011092,0.001133533550888417,0.000303609370362237,0.0011076944507703219,8.417448359100792e-06,0.0240881959991743,0.0007368553994407731,1.7505568409003333e-05
component_10,1.7639574457622615e-06,5.628679662032026e-05,0.0008985212602512176,0.00039812223428084163,4.835846797786697e-06,3.676464695148514e-05,0.00033122391977277255,2.9211445657035823e-05,1.6742762612026747e-05,0.0020047007959024346,2.8200528599878486e-05,2.798973741472136e-05,7.39953652880919e-05,6.409052378040523e-05,1.823178626708977e-06,2.946352062200247e-06,0.0002861047098637904,0.000628448196509514,3.3014948678528527e-06,0.00010180666229858892,1.4731098482306879e-05,1.4652717313366564e-05,1.9145220089016477e-05,2.5944652855976813e-06,0.03552576413048285,0.033432338362145875,2.160669963116787e-06,6.858098968570096e-07,0.002101020840870934,0.002081659789054681,8.290848441857324e-06,2.4876989886245564e-05,4.713874389177714e-05,0.00043248409327909025,0.0004208304839868596,0.0005982966702229452,1.894674050351877e-05,0.01990501213864387,0.0012512605651382425,0.0003165386589819382,3.965925900435949e-05,0.0019728027805735507,8.676611687940688e-05,3.2502451673213386e-05,0.00039412559500930826,0.0004052027418900057,0.09611476238458928,8.35494524845292e-05,2.2735753554996487e-05,0.00028278640738817385,3.7473149641817504e-05,4.976254502336646e-06,1.084232214313312e-05,0.030220506256339687,2.626316954915928e-05,8.031371610124699e-05,4.117618232723927e-05,2.1173408169853995e-06,0.0009129669768395897,5.298782203971343e-05
