source,target,source_index,target_index,total_effect
component_01,component_02,0,1,0.0419596911340357
component_01,component_03,0,2,0.0016081319425019335
component_01,component_04,0,3,4.3237234403813945e-05
component_01,component_05,0,4,5.564206356812967e-05
component_01,component_06,0,5,1.9866191236932288e-05
component_01,component_07,0,6,0.001590115619091734
component_01,component_08,0,7,2.891921025392685e-05
component_01,component_09,0,8,0.0033255565753089107
component_01,component_10,0,9,0.0032418643060120223
component_01,component_11,0,10,7.812579645515797e-05
component_01,component_12,0,11,0.0009180458838973806
component_01,component_13,0,12,2.9131859258894206e-06
component_01,component_14,0,13,0.0006127137973459144
component_01,component_15,0,14,4.89791201159637e-05
component_01,component_16,0,15,0.002196394712884055
component_01,component_17,0,16,3.0435627881224374e-06
component_01,component_18,0,17,0.041425432774122
component_01,component_19,0,18,0.00011794242522998033
component_01,component_20,0,19,0.001075266689261948
component_01,component_21,0,20,8.333400857625617e-05
component_01,component_22,0,21,0.0593794591355821
component_01,component_23,0,22,0.033056485255433594
component_01,component_24,0,23,2.2264752133019246e-05
component_01,component_25,0,24,0.00014170353043580533
component_01,component_26,0,25,0.00011305551665543607
component_01,component_27,0,26,0.000910340342506034
component_01,component_28,0,27,0.001184131842730297
component_01,component_29,0,28,2.975068873291099e-05
component_01,component_30,0,29,0.0001012647197332827
component_01,component_31,0,30,0.05422494683766138
component_01,component_32,0,31,0.001656248748846012
component_01,component_33,0,32,2.16712033297447e-05
component_01,component_34,0,33,0.002962158176561631
component_01,component_35,0,34,1.416121348257929e-05
component_01,component_36,0,35,8.000530764699912e-05
component_01,component_37,0,36,4.977564716403793e-05
component_01,component_38,0,37,0.0015716015554149137
component_01,component_39,0,38,9.820500236137853e-06
component_01,component_40,0,39,0.0006072980386883123
component_01,component_41,0,40,2.1136910311013468e-05
component_01,component_42,0,41,4.2276133733332656e-05
component_01,component_43,0,42,0.00014314091188084033
component_01,component_44,0,43,0.00012200634427135534
component_01,component_45,0,44,0.0001306331683109509
component_01,component_46,0,45,5.996128039437403e-05
component_01,component_47,0,46,0.001216975138087884
component_01,component_48,0,47,0.00011775954115330573
component_01,component_49,0,48,0.00012259364527821896
component_01,component_50,0,49,8.781627136104694e-05
component_01,component_51,0,50,3.9847800985112214e-05
component_01,component_52,0,51,0.002131536253428058
component_01,component_53,0,52,0.0009952793864794823
component_01,component_54,0,53,0.0027751511970229114
component_01,component_55,0,54,0.0012179599458031656
component_01,component_56,0,55,7.665580529050315e-05
component_01,component_57,0,56,4.1730383084021775e-05
component_01,component_58,0,57,0.00012823040896621784
component_01,component_59,0,58,8.698628262818383e-05
component_01,component_60,0,59,0.00015125071068679573
component_02,component_01,1,0,8.954905744778033e-05
component_02,component_03,1,2,0.0015464868393119803
component_02,component_04,1,3,0.0006166587052962372
component_02,component_05,1,4,1.0357665635835506e-05
component_02,component_06,1,5,7.453653502839373e-07
component_02,component_07,1,6,9.736567776415745e-06
component_02,component_08,1,7,5.292404559221492e-05
component_02,component_09,1,8,0.05913492492830904
component_02,component_10,1,9,0.00011417087929660874
component_02,component_11,1,10,1.204511454177752e-05
component_02,component_12,1,11,5.005926604330299e-05
component_02,component_13,1,12,3.76413229506605e-05
component_02,component_14,1,13,0.00011299093113028027
