component,component_index,hyper_ace_order1,hyper_ace_order2,hyper_ace_order3,hyper_ace_order2_signed,hyper_ace_order3_signed,hyper_ace_total,hyper_ace_rank
component_05,4,0.01828783142097726,0.0007787211077488544,0.0,0.0007614009279853551,0.0,0.01906655252872612,1
component_03,2,0.01644500903044009,0.0009782513505467228,0.0,0.0009755124702977024,0.0,0.017423260380986814,2
component_02,1,0.01646778550097117,0.0008275473560661425,0.0,0.0008275473560661425,0.0,0.017295332857037313,3
component_07,6,0.016614135349628627,0.0005512412118736371,0.0,0.0005278217341145552,0.0,0.017165376561502264,4
component_04,3,0.015349715535341023,0.0007496739485234436,0.0,0.0007163592803371468,0.0,0.016099389483864468,5
component_01,0,0.014501227720257871,0.0007662752578772508,0.0,0.0007558460123200628,0.0,0.015267502978135122,6
component_08,7,0.013595845326234762,0.0005385711533707275,0.0,0.0005057678844326932,0.0,0.01413441647960549,7
component_11,10,0.014124347449991735,0.0,0.0,0.0,0.0,0.014124347449991735,8
component_06,5,0.013255161897946878,0.0,0.0,0.0,0.0,0.013255161897946878,9
component_12,11,0.012278616305544788,0.0005859925327251239,0.0,0.000573321479628153,0.0,0.012864608838269913,10
component_23,22,0.011903403776720008,0.0006582706444220636,0.0,0.0006569783716515858,0.0,0.012561674421142071,11
component_16,15,0.011854488662819134,0.0005511693335124181,0.0,0.0005371201076954956,0.0,0.012405657996331552,12
component_14,13,0.011537950402228245,0.0,0.0,0.0,0.0,0.011537950402228245,13
component_58,57,0.010321304173155214,0.0007801200151945106,0.0,0.0007801200151945106,0.0,0.011101424188349723,14
component_10,9,0.010539879726796873,0.0005029337185510223,0.0,0.0005029337185510223,0.0,0.011042813445347896,15
component_09,8,0.010525742320486437,0.0,0.0,0.0,0.0,0.010525742320486437,16
component_13,12,0.010525337297000746,0.0,0.0,0.0,0.0,0.010525337297000746,17
component_24,23,0.010290953826939125,0.0,0.0,0.0,0.0,0.010290953826939125,18
component_17,16,0.010209559652951979,0.0,0.0,0.0,0.0,0.010209559652951979,19
component_22,21,0.009545482322923,0.00044521918640139183,0.0,0.00042779993370307826,0.0,0.009990701509324391,20
component_19,18,0.009874629902061833,0.0,0.0,0.0,0.0,0.009874629902061833,21
component_21,20,0.009773814015891648,0.0,0.0,0.0,0.0,0.009773814015891648,22
component_29,28,0.009584368400509833,0.0,0.0,0.0,0.0,0.009584368400509833,23
component_38,37,0.009527984815399933,0.0,0.0,0.0,0.0,0.009527984815399933,24
component_28,27,0.009271638038449617,0.0,0.0,0.0,0.0,0.009271638038449617,25
component_20,19,0.008627900086232782,0.0,0.0,0.0,0.0,0.008627900086232782,26
component_42,41,0.007694113588248596,0.0005810266233894765,0.0,0.0005599440115818396,0.0,0.008275140211638072,27
component_18,17,0.008242452141891279,0.0,0.0,0.0,0.0,0.008242452141891279,28
component_43,42,0.008234627980307059,0.0,0.0,0.0,0.0,0.008234627980307059,29
component_33,32,0.008106773516156377,0.0,0.0,0.0,0.0,0.008106773516156377,30
component_15,14,0.007823098148726131,0.0,0.0,0.0,0.0,0.007823098148726131,31
component_37,36,0.007616024041804435,0.0,0.0,0.0,0.0,0.007616024041804435,32
component_51,50,0.0075907431382530215,0.0,0.0,0.0,0.0,0.0075907431382530215,33
component_60,59,0.007476216421461087,0.0,0.0,0.0,0.0,0.007476216421461087,34
component_27,26,0.007130915321447154,0.0,0.0,0.0,0.0,0.007130915321447154,35
component_25,24,0.0070474837239858,0.0,0.0,0.0,0.0,0.0070474837239858,36
component_49,48,0.0068384475690681885,0.0,0.0,0.0,0.0,0.0068384475690681885,37
component_45,44,0.0067563525326721574,0.0,0.0,0.0,0.0,0.0067563525326721574,38
component_30,29,0.006634520875993064,0.0,0.0,0.0,0.0,0.006634520875993064,39
component_57,56,0.006582777268680249,0.0,0.0,0.0,0.0,0.006582777268680249,40
component_35,34,0.006382035574432092,0.0,0.0,0.0,0.0,0.006382035574432092,41
component_34,33,0.006285286542472575,0.0,0.0,0.0,0.0,0.006285286542472575,42
component_47,46,0.006275718076531381,0.0,0.0,0.0,0.0,0.006275718076531381,43
component_59,58,0.0061441826405233,0.0,0.0,0.0,0.0,0.0061441826405233,44
component_41,40,0.0061055885970394755,0.0,0.0,0.0,0.0,0.0061055885970394755,45
component_55,54,0.005985949008704305,0.0,0.0,0.0,0.0,0.005985949008704305,46
component_53,52,0.005804780309900091,0.0,0.0,0.0,0.0,0.005804780309900091,47
component_39,38,0.005675619042701274,0.0,0.0,0.0,0.0,0.005675619042701274,48
component_52,51,0.0056343886358350345,0.0,0.0,0.0,0.0,0.0056343886358350345,49
component_40,39,0.005620367762082437,0.0,0.0,0.0,0.0,0.005620367762082437,50
component_32,31,0.005612357760955903,0.0,0.0,0.0,0.0,0.005612357760955903,51
component_26,25,0.005538019490643079,0.0,0.0,0.0,0.0,0.005538019490643079,52
component_36,35,0.005473903675806916,0.0,0.0,0.0,0.0,0.005473903675806916,53
component_50,49,0.005437612240425164,0.0,0.0,0.0,0.0,0.005437612240425164,54
component_44,43,0.005377488172135143,0.0,0.0,0.0,0.0,0.005377488172135143,55
component_31,30,0.005049730116545968,0.0,0.0,0.0,0.0,0.005049730116545968,56
component_46,45,0.004842487215246595,0.0,0.0,0.0,0.0,0.004842487215246595,57
component_48,47,0.004589546262116342,0.0,0.0,0.0,0.0,0.004589546262116342,58
component_54,53,0.004035739792213495,0.0,0.0,0.0,0.0,0.004035739792213495,59
component_56,55,0.003921447135864643,0.0,0.0,0.0,0.0,0.003921447135864643,60
