component,component_index,mediator_path_amce,mediator_synergy_order2,mediator_synergy_order3,mediator_synergy_order3_signed,hyper_amce_total,hyper_amce_rank
component_08,7,6.172582819325582e-06,0.000630473453331913,0.0,0.0,0.0006366460361512386,1
component_14,13,1.019588771753613e-05,0.0005901059462543612,0.0,0.0,0.0006003018339718973,2
component_01,0,2.0267546739351e-06,0.0005675407444660336,0.0,0.0,0.0005695674991399687,3
component_19,18,1.0978910020254916e-05,0.0005129445913995453,0.0,0.0,0.0005239235014198002,4
component_07,6,2.986594581225172e-06,0.0005152427551262026,0.0,0.0,0.0005182293497074278,5
component_15,14,4.765000474498098e-06,0.0004586907280567699,0.0,0.0,0.000463455728531268,6
component_16,15,1.644063509839048e-06,0.0004558235172183435,0.0,0.0,0.0004574675807281826,7
component_30,29,7.350361268208268e-06,0.00044072906935428507,0.0,0.0,0.00044807943062249333,8
component_33,32,2.546550378555965e-06,0.0004306949008043326,0.0,0.0,0.0004332414511828886,9
component_25,24,3.839884414571528e-06,0.00040475984582994046,0.0,0.0,0.000408599730244512,10
component_02,1,3.803295354028558e-06,0.00036609451863853486,0.0,0.0,0.0003698978139925634,11
component_17,16,2.902082872015682e-06,0.00034951448556968677,0.0,0.0,0.00035241656844170244,12
component_06,5,2.4957566475814422e-06,0.00030707489124666816,0.0,0.0,0.0003095706478942496,13
component_36,35,2.73867730010151e-06,0.000281404908560081,0.0,0.0,0.00028414358586018246,14
component_44,43,5.991486357513289e-06,0.0,0.0,0.0,5.991486357513289e-06,15
component_27,26,4.538344611957089e-06,0.0,0.0,0.0,4.538344611957089e-06,16
component_57,56,3.240803156986403e-06,0.0,0.0,0.0,3.240803156986403e-06,17
component_47,46,3.0217694162572838e-06,0.0,0.0,0.0,3.0217694162572838e-06,18
component_45,44,3.003656784929479e-06,0.0,0.0,0.0,3.003656784929479e-06,19
component_03,2,2.989483844638537e-06,0.0,0.0,0.0,2.989483844638537e-06,20
component_23,22,2.663808220678488e-06,0.0,0.0,0.0,2.663808220678488e-06,21
component_18,17,2.4377353553112685e-06,0.0,0.0,0.0,2.4377353553112685e-06,22
component_26,25,2.2743319624757078e-06,0.0,0.0,0.0,2.2743319624757078e-06,23
component_12,11,2.178430771868842e-06,0.0,0.0,0.0,2.178430771868842e-06,24
component_52,51,2.150905441688186e-06,0.0,0.0,0.0,2.150905441688186e-06,25
component_29,28,2.0620648251578665e-06,0.0,0.0,0.0,2.0620648251578665e-06,26
component_34,33,2.0175059681328226e-06,0.0,0.0,0.0,2.0175059681328226e-06,27
component_38,37,2.0102092825076597e-06,0.0,0.0,0.0,2.0102092825076597e-06,28
component_43,42,1.971880818957108e-06,0.0,0.0,0.0,1.971880818957108e-06,29
component_41,40,1.7164635275252025e-06,0.0,0.0,0.0,1.7164635275252025e-06,30
component_42,41,1.555075491273512e-06,0.0,0.0,0.0,1.555075491273512e-06,31
component_35,34,1.5215173434353293e-06,0.0,0.0,0.0,1.5215173434353293e-06,32
component_54,53,1.5098019423185695e-06,0.0,0.0,0.0,1.5098019423185695e-06,33
component_10,9,1.50414884376967e-06,0.0,0.0,0.0,1.50414884376967e-06,34
component_13,12,1.460129689355426e-06,0.0,0.0,0.0,1.460129689355426e-06,35
component_09,8,1.4463425850845392e-06,0.0,0.0,0.0,1.4463425850845392e-06,36
component_37,36,1.4224957954040369e-06,0.0,0.0,0.0,1.4224957954040369e-06,37
component_22,21,1.3813359325234576e-06,0.0,0.0,0.0,1.3813359325234576e-06,38
component_50,49,1.3662505400096025e-06,0.0,0.0,0.0,1.3662505400096025e-06,39
component_20,19,1.2369765893352477e-06,0.0,0.0,0.0,1.2369765893352477e-06,40
component_56,55,1.190595844052979e-06,0.0,0.0,0.0,1.190595844052979e-06,41
component_48,47,1.1747914291890195e-06,0.0,0.0,0.0,1.1747914291890195e-06,42
component_51,50,1.1586301015026423e-06,0.0,0.0,0.0,1.1586301015026423e-06,43
component_59,58,1.1487485595436696e-06,0.0,0.0,0.0,1.1487485595436696e-06,44
component_32,31,1.087807108875348e-06,0.0,0.0,0.0,1.087807108875348e-06,45
component_11,10,1.0711572822460127e-06,0.0,0.0,0.0,1.0711572822460127e-06,46
component_40,39,1.0331046142398896e-06,0.0,0.0,0.0,1.0331046142398896e-06,47
component_55,54,9.748074434754385e-07,0.0,0.0,0.0,9.748074434754385e-07,48
component_58,57,9.210671833638055e-07,0.0,0.0,0.0,9.210671833638055e-07,49
component_39,38,9.093447783387808e-07,0.0,0.0,0.0,9.093447783387808e-07,50
component_46,45,8.374213586510663e-07,0.0,0.0,0.0,8.374213586510663e-07,51
component_21,20,7.798439565162633e-07,0.0,0.0,0.0,7.798439565162633e-07,52
component_28,27,7.174084592284441e-07,0.0,0.0,0.0,7.174084592284441e-07,53
component_60,59,7.135029583673236e-07,0.0,0.0,0.0,7.135029583673236e-07,54
component_24,23,6.553970526526941e-07,0.0,0.0,0.0,6.553970526526941e-07,55
component_05,4,4.330252763581528e-07,0.0,0.0,0.0,4.330252763581528e-07,56
component_49,48,4.188492924205951e-07,0.0,0.0,0.0,4.188492924205951e-07,57
component_53,52,3.345757641052665e-07,0.0,0.0,0.0,3.345757641052665e-07,58
component_31,30,3.062100566157323e-07,0.0,0.0,0.0,3.062100566157323e-07,59
component_04,3,0.0,0.0,0.0,0.0,0.0,60
