,component_01,component_02,component_03,component_04,component_05,component_06,component_07,component_08,component_09,component_10,component_11,component_12,component_13,component_14,component_15,component_16,component_17,component_18,component_19,component_20,component_21,component_22,component_23,component_24,component_25,component_26,component_27,component_28,component_29,component_30,component_31,component_32,component_33,component_34,component_35,component_36,component_37,component_38,component_39,component_40,component_41,component_42,component_43,component_44,component_45,component_46,component_47,component_48,component_49,component_50,component_51,component_52,component_53,component_54,component_55,component_56,component_57,component_58,component_59,component_60
component_01,0.23651946641717417,0.030215418224024786,0.00023676314298436284,0.0023205755090967587,0.0027767330308262,0.0015138131014125682,0.0022942611479263952,0.002033859862922278,0.0038809330014542964,0.00021736584864294557,0.0,0.006512181285444446,0.0005139054336314093,0.09334738600962554,5.245493878344083e-05,0.0008452555841997775,0.009527556746415195,0.0006662112994201064,0.0,0.0003472486589517331,0.00025806286250634877,0.01582281321348838,0.0,0.005992445532081014,0.005162390353142635,0.0,0.058689354663633814,0.00015819924601098126,0.0001792807131104362,0.0003472677706751655,0.0006766550754271536,0.00025592320074972817,0.00035936949725726933,0.0020727997241534405,0.0,0.01640273983517595,0.013502209860991862,0.007340333065613518,0.008140626476456884,0.00038273146038376646,0.047541093844482796,0.012815651437815618,0.001535237831249421,0.0029651533435338176,0.0,0.00041468141399194063,0.004044584891253979,0.0016334566702087758,0.004070094217379073,0.01592134439111072,0.0030773027165776606,7.58758906424082e-05,0.0,0.010398039223432954,0.020531854649794307,0.0063618339008916355,0.019243834750282244,0.02675870984479755,0.006515516080488112,0.000964011243608036
component_02,0.0,0.17904147536272758,0.004814108486060774,0.0,0.00014277151799491015,0.0030316808087717645,0.0028096474727926247,0.017576116295926918,0.0005801927768928107,0.0007209469891788603,0.0013144860021856,0.032688177668289756,0.002749163581850635,0.001759572580917045,0.004868759122569975,0.0019875205982056265,0.0,0.0004243710873099554,0.011080320668606349,0.0011093356014909136,0.0046002261103114585,0.0,0.006608440646526844,0.0076542965380234276,0.004322618981308701,0.0030687087044537504,0.0001972137871388804,0.013316183663710107,0.03529143550801572,0.0004316087900828982,0.0020528835458108454,0.00032914674126785916,0.0003986261413702309,0.008270858515063935,0.0005414791170373415,0.004045231657846382,0.009164954229740601,0.018955680161056372,1.2227698820425046e-05,0.0012653589795278296,0.0002173545666336688,0.0017541352625309696,0.0016462943504747022,0.0012112800135274026,3.984144042086719e-05,0.0,6.243780901741083e-05,0.0,0.005685207131929684,0.0004674703018146652,0.011682862414797377,0.0006572095306027744,0.007311132458255178,0.010590077766358931,0.001176401977708067,0.004505347238162347,0.0,0.009666197237418697,0.015292603489634512,0.0023924167820757506
component_03,0.0034183655020075614,0.000663539592658957,0.1356387175387331,0.00013289681534772632,0.011678001919223083,0.0009853312896059287,5.561607866317762e-05,0.006003967877011044,0.0,0.0003949616043823975,0.01236658655150391,0.0,0.0066409615616422725,0.0003857885334180892,0.00038387497151192134,0.002128783255609636,0.0013608237865495893,0.0031614524993024357,0.002879498196723457,0.012336859944110224,0.0009622719929908175,0.0,0.0003935554247491132,0.0,0.0,2.2002622590442116e-05,0.008948604440931361,0.00012563907107755726,0.0018199740203591248,0.0005090381229266804,0.0003883687113809337,0.0013108993419055105,0.0,0.0009216402610902273,0.0,0.006527658900447918,0.0007027382845613158,0.007121640471472315,0.0023715304877630003,0.000635679946904361,0.003075790184496365,0.015081280306150205,0.00024923886715732646,0.00674414889899348,0.00035939300470974145,0.005893581066376325,0.0012769412301496122,0.0024570265512104004,0.0037526446550875787,0.0004128560661568788,0.005765269923104825,0.001286701196673388,0.0017089805804209224,0.0026474467540148158,0.023152494686644712,0.006442042237864239,0.024211904450678785,0.0021889862064746876,0.0009580837132184893,0.0025061090337817424
component_04,0.0,0.0,0.0025104741599822574,0.5356062155756942,0.0024096817617189964,0.0009290671512660466,0.003621578309628801,0.002248044094606507,0.004018432156893719,0.0002907339021833038,0.0034584963829969637,0.00708617086051559,0.0013474470304703442,0.002534604039446762,0.00506814813279402,0.0,0.0025669273568599627,0.005582184119243019,0.0003104375425680926,0.005187844447630505,0.0003609406598205869,0.008313165951015705,0.007549587054151298,0.0007082694770389852,0.00676751223256058,0.009284044955587527,0.0,0.01099222568931139,0.0037421296029255305,0.01717418292167886,0.003896803986792055,0.00022005991105943093,0.0,0.00033467736339391264,0.00011213720880452443,0.005534444644799129,0.0028222847443483213,0.0016065980755616044,0.0037066677429740784,0.00028146122043128634,0.0008537470161238897,0.0,0.0021109091706316475,0.0,0.044300407813081435,0.0,0.0007041764391970073,0.0002774381579639679,0.0,0.0,1.1331995369655924e-05,6.074412379283712e-05,0.0,0.0,0.0014801999254784788,9.80497531496662e-05,0.0164995158197457,0.0017903256841560748,0.000126124315887902,0.0
component_05,0.0020544798085950296,0.0005381238274027119,0.0017672382456773307,0.0002802891180432887,0.41720484299540517,0.00020932685597350371,0.004814719310437069,0.0040612454441648176,0.0013934674608625335,0.0035943621696536716,0.0009886918960290046,0.0,0.006041397082669764,3.7582295360772766e-05,0.016879131138420315,0.0030542598718092248,0.0001572917262230366,0.006393786247484205,0.0006920384760602379,0.0012579427738907993,0.00010596343537706151,0.004003476221763764,0.0004005539807579911,0.016532480370184347,0.0,0.0,0.0,0.0,0.001181161385202835,0.0012759668721013032,0.019122122254177643,0.0016431247082904041,0.0037340318251762013,0.00016653657206606442,0.0008760459201272575,0.0001205632983293437,0.0007312297272582297,0.0,0.0031391424889383648,0.013949867124454838,0.0002185045310748652,0.004812581600042475,0.0002977186100197321,0.004125003528091607,0.0,0.0034664215870808014,0.0007945810558539539,0.006995542778784798,0.006106224074287552,0.0040046269903022,0.010895111946639793,0.006024495760224903,0.0,0.0016251152453441416,0.01074679354286295,0.0018637273888569036,0.0028173586821263826,0.001978700852108449,0.00030346012010160084,0.0018272766704166082
component_06,0.006448207744111436,0.00608255214852808,0.002118650808383207,0.0009688229464716395,0.0002607648069461303,0.2163237394483631,0.002156583923055809,0.008215692907366227,0.0027870736975897457,0.002971055298807086,0.0,0.0045086003470322464,0.0029653838020975943,0.017693327229526212,0.002786593569179507,0.013724030214210675,0.0012957357466896013,0.002074123343446114,0.004456335500655048,0.0,0.0023177387047521106,0.0007927201704936836,0.00022947831231304983,0.00044349123056711397,0.0011325488493655468,0.005441797365909332,0.012652650106313095,0.0036887793580420635,0.002287037327803774,0.0022641087711897075,0.0,0.00011489812013015728,0.0010973843542126972,0.0013188301342948621,0.0,0.0021410332440110285,6.573524382812285e-05,0.00020401901790481034,0.010249370876054861,0.0048957323567742714,0.0004205162931729424,0.0020562995819007404,0.0007501096821625915,0.00014168510882962826,0.0013008934260705805,0.0,0.00030419677342481395,0.0021059056574260445,0.008835134605616479,0.0012877326984687722,0.00021097069500649714,0.037004371351570566,0.00017869837171386813,0.004020149397693704,0.004635297948282256,0.010512305575063958,0.003846677521901979,0.00019235155138855466,0.012760587519535715,0.0037274327180664125
component_07,0.003234336761304835,9.122564928153837e-05,0.04160941919985654,0.0004389081111248396,0.0,0.004775090138950445,0.1279881381798199,0.002515962778590961,0.0016426381045255912,0.0,0.009738097873859822,0.0,0.00030617902660044934,0.000303946456259112,0.0008119181282287616,0.0035596736710913814,0.0003573534419020146,0.0,0.00016496626086427387,0.021128349558393267,0.00983495449271517,0.0011341160892581188,0.0,0.00010993140516098957,0.0003727582658872554,0.0076469657547916835,0.002561032856675198,0.0010584578458787308,0.007988746181707234,0.002580541766200638,0.0018254914993960285,0.00014106816439043795,0.0033564778483995573,0.0001705741676630756,0.020983371500477965,0.0008781510931193568,0.0,0.0003601774514635225,0.0,0.0002476645574267934,0.00041098086904114544,0.0020828434101017425,0.0,0.0009449047039077035,0.0013462461638279583,0.0014416471191107743,0.0,0.0013867686750510134,0.0012361764158780367,0.03115497959618328,0.0028740817525597494,0.0008030859952067996,0.000386035463220334,0.00973263570858404,0.004155388345746275,0.0004669300827325125,4.0597421654109514e-05,0.00012173812236940514,0.015051001701514216,0.0009436260520317653
component_08,0.0062744374279067126,0.005383834739422787,0.00014444632107395435,0.0015580012570334224,0.0005930827429416096,0.041882374462328786,0.004588653166279644,0.11182283093607426,0.006560338405212827,0.009807776795373023,0.0005387071452357087,0.0013274844763830167,0.0028627074436977486,0.006093373337898094,0.0025323385654547944,0.0006739732672089598,0.0,0.00418084696724116,0.0460572714826879,0.018354908200085868,0.0023388026234498413,0.0009345679187444456,2.3950076670281573e-05,0.0007045967485973987,0.0,0.005336801805417234,0.025460761220361502,0.00025832778642660497,0.014130390039543254,0.001394538051108184,0.00021095778709578073,0.0015971086016847373,0.0004581312076597177,0.0018008867896110922,0.03469109752808777,0.0007594788485337648,0.005109154163981286,0.00368597969253777,0.0031487913158525878,9.68714608523296e-05,0.0,0.009794636984496657,0.004299638310459784,0.000397426538598458,0.001661065962888903,0.0,0.0,0.014399315335694286,0.0006298490141771096,0.0004037886445736824,0.001879963538040669,0.0019697935211211272,0.0010215380608715684,0.04859957491144476,0.010765209484691191,0.0030469983580571104,0.006150264279003629,9.525794016642999e-05,0.018071740640869825,0.011406861651694671
component_09,0.0025791268262418906,0.0031738099650970263,0.0016191498412801192,1.6641677115878767e-05,7.55518282384996e-05,0.002088291969197481,0.0030143861031368055,0.010381457393659154,0.20501871347648234,0.009796847021690232,0.00239949631813319,0.0,0.0,0.0012245332161651534,0.004919800883339144,0.006547501847044243,0.0,0.0,0.0025481010004060767,0.0013037778093955951,0.0031461194960734472,0.0013748067227470485,0.00010361486765566701,0.0012593748648620973,0.0,0.0,0.0067937248486699894,0.0009952983117884184,0.0015079810180220288,0.00031068944901586513,0.00487214643163893,0.0033453043127954617,0.0027265923565144234,0.00016120139201257865,0.00016519770790772648,0.029380476681993395,0.0008958118794002872,0.000838295645745708,0.0,0.00031778267396580977,0.003106168382558094,0.0001397225841113827,0.010348718807361958,0.00029806488861388615,0.0,0.001697872118360875,0.015118965772630132,0.0,0.0005003893279316679,0.00013739328624838625,0.0004310149551141084,0.00266247777163103,6.874459679336262e-05,0.0017045152959528494,5.536431172974761e-06,0.0010462644729487334,0.006975056453944373,0.00010154912041590092,0.0016858774657200054,0.003988109148828968
component_10,0.003706999381372828,0.0,0.01017781781976497,0.00011186069523298344,0.0009174133123570644,0.01539859323831149,0.0016564067484047301,0.0039702300218159995,0.0,0.30399789862545323,0.000302227332459684,0.0013204562143387874,0.0,0.006687384681191839,5.538091156704109e-05,0.0005527812727466587,0.0006291228584677907,0.0,0.0,0.0002011315954289443,0.01193288545892595,0.0,0.01754537304939368,0.003083371999864479,0.0011001247604103615,0.005774423775658978,0.00011523298193196523,0.008789443285285501,0.0030879728899415367,0.005015718805572489,0.010994299247982526,0.0010454641020944365,0.0018445701217427225,0.0011837110230179296,0.0011739394787681741,0.011013223076525903,0.0,0.00879079371113315,0.028842482932220206,0.0016461647174983967,0.014885438442079747,0.0,0.0,0.0,0.0,0.0016402823446852019,0.008023056564266821,0.001419953533937026,0.004195911580953292,0.004022849007465357,0.0012109730830726303,0.0032515306569067754,0.0030823525852598523,1.9955075986855854e-05,0.0005425305860557747,0.0007743481251231864,0.0,0.0032299602997168933,0.0019972005640563908,0.004125108625660167
