model,horizon,component,rmse,mae,corr
RNN,1,overall,0.7154408790387956,0.5708805328378751,0.4556348035873178
RNN,1,component_01,0.5767831458682134,0.4617924658053989,0.7407441297854189
RNN,1,component_02,0.6991851376186192,0.5451494712709787,0.6324547963573386
RNN,1,component_03,0.6745725625247435,0.5383590370026266,0.5883324631327939
RNN,1,component_04,0.6550511948733849,0.5275235559799152,0.5438876180579276
RNN,1,component_05,0.6760172852792484,0.5339425156518663,0.4793309288861396
RNN,1,component_06,0.6361408308904122,0.5154849117940793,0.6922749553640811
RNN,1,component_07,0.7309782541846835,0.5877109085010239,0.47890521537411385
RNN,1,component_08,0.7191996780496424,0.5721532047598904,0.5513560694704298
RNN,1,component_09,0.6710398106640685,0.5336848924925457,0.5940147302607584
RNN,1,component_10,0.7422939016097386,0.5985422756195793,0.43574871631945533
RNN,1,component_11,0.779564338418471,0.6305709209648301,0.5411990231424828
RNN,1,component_12,0.68911404840652,0.5496473114299191,0.5107602872256564
RNN,1,component_13,0.7278190706801536,0.5781437575629117,0.461293643938622
RNN,1,component_14,0.7111012800120798,0.5565881123124357,0.5046620131926834
RNN,1,component_15,0.7351904903065485,0.5855355102655057,0.4764713054517772
RNN,1,component_16,0.7047404141027148,0.562931387508722,0.5489003781916234
RNN,1,component_17,0.7370368676791993,0.5836470276126929,0.39757043211340165
RNN,1,component_18,0.7294971390648148,0.5800242260451265,0.4229790469189448
RNN,1,component_19,0.7301286936084976,0.5851847459122892,0.4075740239520467
RNN,1,component_20,0.6865134914367045,0.5375501009050714,0.46183271616673016
RNN,1,component_21,0.7289506088154739,0.5862578187154643,0.40992645677448997
RNN,1,component_22,0.7302132755629729,0.5887924857794132,0.5189801894684127
RNN,1,component_23,0.7339620077717319,0.5973392077695482,0.46083644873967056
RNN,1,component_24,0.7565560658553493,0.6094615312003517,0.3100669355039947
RNN,1,component_25,0.664473509567287,0.5359944357744443,0.46724217838122917
RNN,1,component_26,0.7393392498109113,0.586666890207442,0.40657313760832936
RNN,1,component_27,0.7331423873520867,0.5802332679412808,0.3949302030534717
RNN,1,component_28,0.6957797693817853,0.5575094752212356,0.3415070322934278
RNN,1,component_29,0.647963601559825,0.5207953508119778,0.5142707214895899
RNN,1,component_30,0.7968630524972051,0.6301014861105568,0.4707111068217644
RNN,1,component_31,0.7424148860664332,0.5932030922702335,0.36100534820829916
RNN,1,component_32,0.7770025267212488,0.6169272656804279,0.32031194215057013
RNN,1,component_33,0.7442701350917725,0.597600529451185,0.37777938715384224
RNN,1,component_34,0.7301390166793532,0.592826044585787,0.4565138184056356
RNN,1,component_35,0.8047316266685367,0.6494296899956123,0.29428191063948905
RNN,1,component_36,0.6450012608558816,0.5164318478662338,0.4078928250962247
RNN,1,component_37,0.7423102894269804,0.5952889392471328,0.34668583711497686
RNN,1,component_38,0.7393068690904008,0.5743297735756812,0.27823913974360565
RNN,1,component_39,0.7140389251472627,0.5762222700026736,0.31181023530973634
RNN,1,component_40,0.7168733371567444,0.581006593234062,0.28602837412674414
RNN,1,component_41,0.7322548349573601,0.5926757862652826,0.3131429233337187
RNN,1,component_42,0.7879459948887735,0.6357241227924707,0.2973149575357373
