model,horizon,component,rmse,mae,corr
RNN,1,overall,0.7094156841406533,0.56543778495279,0.4721652016342996
RNN,1,component_01,0.5614972261360377,0.4470100260487797,0.7587592787827054
RNN,1,component_02,0.6918894755572248,0.5411333622517251,0.6353470276767921
RNN,1,component_03,0.6572709653194713,0.520581962580618,0.6091475855731466
RNN,1,component_04,0.6486186789001411,0.5241737117914521,0.5650222224117758
RNN,1,component_05,0.6717518931050033,0.535062294746831,0.49854092307151343
RNN,1,component_06,0.619770818148326,0.4965260073680844,0.7032040354116764
RNN,1,component_07,0.7116912705392172,0.5734662841941521,0.5168049332703963
RNN,1,component_08,0.7104148885051601,0.5668931755346951,0.5676812904324572
RNN,1,component_09,0.65059506773186,0.50942948685768,0.6296938855823966
RNN,1,component_10,0.7324928690402195,0.5844824449528891,0.48152871069934133
RNN,1,component_11,0.7653467559328507,0.6148633772043208,0.5617309303773206
RNN,1,component_12,0.6829303455757102,0.5478008251406035,0.5219301640607407
RNN,1,component_13,0.7362188506617039,0.5831948416506332,0.45168126250526275
RNN,1,component_14,0.7016459677810853,0.55476414279638,0.5247443427396374
RNN,1,component_15,0.7200958608652546,0.5719635863030882,0.5041899635935383
RNN,1,component_16,0.6896273815785603,0.5517345598285237,0.5611985490028276
RNN,1,component_17,0.7428218131349241,0.5914661379069839,0.3940626733137954
RNN,1,component_18,0.7253145033319485,0.5724644158697894,0.43386080038662544
RNN,1,component_19,0.7180091772271766,0.5683966680653852,0.44113534790652154
RNN,1,component_20,0.6842312924448327,0.5389674023026791,0.46920013905940605
RNN,1,component_21,0.7368260139009907,0.591884635229669,0.4062512340987101
RNN,1,component_22,0.7218748609914342,0.5822763431876521,0.5269315819878766
RNN,1,component_23,0.7191954367567819,0.5773330491498085,0.4902290190602294
RNN,1,component_24,0.7495679162427793,0.6013110932918803,0.3551423852565099
RNN,1,component_25,0.6611757757716349,0.5322289612212501,0.47454477775370413
RNN,1,component_26,0.7207898449653052,0.5773865227251553,0.4544792741593374
RNN,1,component_27,0.7351298664776779,0.5815820107914269,0.3815339638633133
RNN,1,component_28,0.6854606016001779,0.5475309729826727,0.384874594766177
RNN,1,component_29,0.6460578794659468,0.520747222201318,0.5233551701474489
RNN,1,component_30,0.7949678978760919,0.6296873856857308,0.4622992121094781
RNN,1,component_31,0.7290365838621788,0.5765645974791128,0.3993546659896007
RNN,1,component_32,0.7777696207305929,0.6184692905327613,0.33283826733812644
RNN,1,component_33,0.7431935520780735,0.5930390009478057,0.386787820782453
RNN,1,component_34,0.73166020653105,0.5999590252998003,0.4507995351456109
RNN,1,component_35,0.8017686472897922,0.6488173542369694,0.3075842024590551
RNN,1,component_36,0.6511262250797036,0.5233763493004868,0.4013468565412633
RNN,1,component_37,0.7272676863245952,0.5787581085854706,0.40228582472037605
RNN,1,component_38,0.7378415552670107,0.5734159945262204,0.3135332103241165
RNN,1,component_39,0.7146414791477312,0.5726638987022357,0.3307509424202031
RNN,1,component_40,0.7086467882165748,0.5788703616511279,0.33686779146235624
RNN,1,component_41,0.7367367099537782,0.6011009205596094,0.3291581776430231
RNN,1,component_42,0.7805688468451132,0.6321523331986454,0.3307970462480663
RNN,1,component_43,0.6942494137418554,0.5589959712232119,0.3239605406489055
RNN,1,component_44,0.6651461576856764,0.5314750469162604,0.4239579080831149
RNN,1,component_45,0.6882322691857776,0.5500985050788818,0.4578208032895429
