model,horizon,component,rmse,mae,corr
RNN,1,overall,0.7469316117725202,0.5966105365313978,0.37146495859521517
RNN,1,component_01,0.6242582754785261,0.5012607317602621,0.6822705766710135
RNN,1,component_02,0.7241854847282496,0.5662883675896048,0.5896909330887824
RNN,1,component_03,0.7146167753611689,0.584158253581753,0.5167519435790738
RNN,1,component_04,0.6982792109336659,0.5501212795170491,0.4505978930234713
RNN,1,component_05,0.727361363445357,0.5725819680253772,0.3549502540543906
RNN,1,component_06,0.7098205532265438,0.5688690079501488,0.5885595121478121
RNN,1,component_07,0.7692181289273785,0.619040651976338,0.3813948636995783
RNN,1,component_08,0.7698319319682343,0.615232680707009,0.4464651123223552
RNN,1,component_09,0.7026910649552124,0.5627234820289753,0.5426244417373377
RNN,1,component_10,0.7638512667478515,0.6144523642358238,0.377157291537616
RNN,1,component_11,0.8137875931204711,0.6599246075268319,0.45822253574117333
RNN,1,component_12,0.722655295744252,0.5704255922172317,0.4318607735293643
RNN,1,component_13,0.7789795384013839,0.6109965064542824,0.31484613772023
RNN,1,component_14,0.7643912581117532,0.5961473541220921,0.3753535864875073
RNN,1,component_15,0.7666152625344181,0.6162071447267249,0.40123469162924136
RNN,1,component_16,0.7783394245990144,0.630791653796246,0.35815570349192966
RNN,1,component_17,0.7890857149269139,0.6294670867224297,0.2348671957005009
RNN,1,component_18,0.7857173280843607,0.6299954038389259,0.24005053920316347
RNN,1,component_19,0.7456968170691,0.5978698131482916,0.36699661191443345
RNN,1,component_20,0.7259037807176297,0.5713715574811775,0.35621469406253536
RNN,1,component_21,0.7495916385239514,0.5978623422926277,0.3520466491642811
RNN,1,component_22,0.7584457328961015,0.6161324660437274,0.44044958975497933
RNN,1,component_23,0.7433737108618099,0.6024401189212585,0.44003392554228876
RNN,1,component_24,0.791850496666293,0.6459517357961861,0.19121415415529752
RNN,1,component_25,0.6860883885627594,0.5582860068403042,0.3944424272153734
RNN,1,component_26,0.7857600691454489,0.6297286861792885,0.25240819853605134
