component,ace,acs,incoming_total_effect,direct_out_strength,direct_in_strength
2,8.534246811167044,6.312828865559706,6.312828865559706,2.7653107396169814,2.2237517852649336
57,8.038180044385003,6.529890320985421,6.529890320985421,3.05105028603691,2.546379001542409
9,6.745164025935031,6.35117742612021,6.35117742612021,2.049886614382856,2.006571027176419
4,6.568290672162998,6.6458120031499295,6.6458120031499295,1.9930719033127413,1.826343768167091
1,6.486653987647992,6.742687028533259,6.742687028533259,2.3747937861335067,2.696183049025237
58,5.598488190211017,6.324378461325538,6.324378461325538,1.352826310646523,1.5546716365502802
0,5.400834499697425,5.116681991733309,5.116681991733309,2.392775783041964,2.9461516938762418
16,5.280022300899809,2.3400635082238437,2.3400635082238437,2.196288911335737,0.9897303072832317
30,5.110350809111077,6.167864943567753,6.167864943567753,1.221232156557391,1.4233373222125865
52,4.9327953124917485,2.8613723678092517,2.8613723678092517,1.3853792685854687,1.0047365532901658
25,4.834650267433605,1.6166325184303538,1.6166325184303538,1.8771301365652158,0.6256110595092229
3,4.553087845662605,4.194487163511648,4.194487163511648,1.2189173628311631,0.9877327767424057
5,4.471926672204082,4.7936226554615695,4.7936226554615695,1.251464099021127,1.280979060308771
21,4.405179397660374,2.6451751748504027,2.6451751748504027,1.7155252198099835,1.017086603201343
7,4.0994803881885655,3.487116865178145,3.487116865178145,1.3787914368157395,1.505137619653722
56,3.8262299132187905,3.405313259509657,3.405313259509657,1.7825117278335523,1.16537470030655
38,3.7860636902401135,2.753274303708272,2.753274303708272,1.7149570401354584,1.2745170176617782
20,3.595942508969803,4.113363791331206,4.113363791331206,1.3987879843729878,1.2059613465149424
40,3.5729493630331635,3.036829841891401,3.036829841891401,1.4049223596760017,1.0756745666764582
13,3.4274992987608495,2.924748112711831,2.924748112711831,1.3029587150208468,1.2000538814801935
14,3.4119180884368805,3.7395284612564175,3.7395284612564175,1.196272596097342,1.4325047714868773
27,3.335420537877523,2.8653640404261966,2.8653640404261966,1.3898358735071858,1.1588231236331425
49,3.2864297074956066,5.516521646308935,5.516521646308935,0.9621907468671027,1.7879310827720876
11,3.269940673401597,4.164259390183201,4.164259390183201,1.1795186011648764,1.583408371274146
36,3.2654618189759446,4.90233996733432,4.90233996733432,1.1232281441964511,1.3149058765598038
34,3.2550567213548827,2.1947597097812057,2.1947597097812057,1.507795103367922,0.858993932645086
32,3.1674905417288515,2.8719052597562404,2.8719052597562404,1.1771256315560135,1.0769661901969174
12,3.089812780814614,1.938298357687022,1.938298357687022,1.3104794411505538,0.9099774846057804
18,3.0881678568475124,3.270144426544202,3.270144426544202,1.2810456382216167,1.6158358014911565
8,3.0788547327851066,3.248924282629438,3.248924282629438,1.174085391821982,1.2324160612092405
29,3.0760947587090985,4.152202780692546,4.152202780692546,1.1997276663898546,1.3299155164243355
37,3.0681930709845155,0.7998405806470182,0.7998405806470182,1.2486543168786983,0.3267526420191156
46,3.0014361736718995,2.9100740778783454,2.9100740778783454,1.5711207369444042,1.2426121548963363
41,2.9742162977609055,2.959928871617934,2.959928871617934,1.2758007059805454,1.0266841848823471
33,2.9099843504880276,2.0759815553794168,2.0759815553794168,1.0672222919953134,0.8920286938928217
19,2.9062453438404137,3.0342705816166258,3.0342705816166258,1.175030983432203,1.0710580597293278
17,2.867698586766874,3.0457361906150253,3.0457361906150253,1.0307802216765931,0.9047431676087927
15,2.865091851961342,2.5721209933134737,2.5721209933134737,0.9044430604957479,0.8059865944379218
31,2.835729908843458,1.212540371985517,1.212540371985517,0.995146136281774,0.4939982686208588
42,2.7724973161012265,5.160379441193447,5.160379441193447,0.9003734022217013,1.7483207997802912
48,2.717563386781792,3.4261671978846056,3.4261671978846056,0.7286052291842892,1.1189056588026083
53,2.7090420239012034,2.160111584703191,2.160111584703191,0.7984170146844767,0.7947794129382347
23,2.641301126938605,2.7677066041636627,2.7677066041636627,0.9988596740610141,1.0958183125990426
59,2.622561179370229,4.876720809297091,4.876720809297091,0.9161060685901099,1.421891988495652
26,2.5571908550916147,1.7779908195902303,1.7779908195902303,1.1499903525038702,0.7652275831484249
24,2.548370457915855,3.1422819043446326,3.1422819043446326,1.1811695890880602,1.2316433278542052
55,2.404245511221868,1.584156084387824,1.584156084387824,0.808454657048964,0.5863026702637624
45,2.3781255365590677,2.868546700465936,2.868546700465936,0.9050140537846808,1.3634386295462744
28,2.3404983108902244,1.5493700193816313,1.5493700193816313,0.9075161729413515,0.7025953056657075
35,2.2665150366452482,3.826157033215558,3.826157033215558,0.828077698402973,1.4316776655746244
44,2.220713538303051,3.061993084445054,3.061993084445054,0.8210700657955542,1.2104494484315353
54,2.213901611895658,4.757699135420628,4.757699135420628,0.869796891447518,1.9385134492158083
39,2.193890500945295,3.485692036506112,3.485692036506112,0.7768827450248484,1.2264706016956182
51,1.990972272386782,2.850044260783471,2.850044260783471,0.6170586787109986,0.9168690846457671
43,1.9614091996554217,3.3923816594036422,3.3923816594036422,0.523534691998489,1.327710731985218
22,1.7171298929881023,1.862544557558584,1.862544557558584,0.7533785126131639,0.6805985851989302
6,1.6563263436461744,2.9412554956987953,2.9412554956987953,0.6211854652347808,1.2446519828996214
10,1.5704824656103784,2.393882452222501,2.393882452222501,0.7413853366399761,1.0679092252758575
50,1.344430883980492,2.111326574077183,2.111326574077183,0.5352238606985814,1.1032709580769422
47,1.2695417839290624,2.283519432593929,2.283519432593929,0.571957733866572,0.9535708473761046
